年月日,時刻,データ01(mG)
2022/12/01,11:03:16,284.0
2022/12/01,11:03:17,284.0
2022/12/01,11:03:18,280.0
2022/12/01,11:03:19,279.0
2022/12/01,11:03:20,282.0
2022/12/01,11:03:21,285.0
2022/12/01,11:03:22,284.0
2022/12/01,11:03:23,283.0
2022/12/01,11:03:24,280.0
2022/12/01,11:03:25,282.0
2022/12/01,11:03:26,283.0
2022/12/01,11:03:27,283.0
2022/12/01,11:03:28,278.0
2022/12/01,11:03:29,279.0
2022/12/01,11:03:30,279.0
2022/12/01,11:03:31,282.0
2022/12/01,11:03:32,283.0
2022/12/01,11:03:33,279.0
2022/12/01,11:03:34,469.0
2022/12/01,11:03:35,670.0
2022/12/01,11:03:36,712.0
2022/12/01,11:03:37,761.0
2022/12/01,11:03:38,754.0
2022/12/01,11:03:39,754.0
2022/12/01,11:03:40,757.0
2022/12/01,11:03:41,759.0
2022/12/01,11:03:42,762.0
2022/12/01,11:03:43,762.0
2022/12/01,11:03:44,711.0
2022/12/01,11:03:45,429.0
2022/12/01,11:03:46,467.0
2022/12/01,11:03:47,580.0
2022/12/01,11:03:48,508.0
2022/12/01,11:03:49,502.0
2022/12/01,11:03:50,498.0
2022/12/01,11:03:51,499.0
2022/12/01,11:03:52,499.0
2022/12/01,11:03:53,503.0
2022/12/01,11:03:54,503.0
2022/12/01,11:03:55,502.0
2022/12/01,11:03:56,497.0
2022/12/01,11:03:57,499.0
2022/12/01,11:03:58,498.0
2022/12/01,11:03:59,502.0
2022/12/01,11:04:00,502.0
2022/12/01,11:04:01,497.0
2022/12/01,11:04:02,498.0
2022/12/01,11:04:03,499.0
2022/12/01,11:04:04,497.0
2022/12/01,11:04:05,501.0
2022/12/01,11:04:06,502.0
2022/12/01,11:04:07,502.0
2022/12/01,11:04:08,497.0
2022/12/01,11:04:09,497.0
2022/12/01,11:04:10,498.0
2022/12/01,11:04:11,500.0
2022/12/01,11:04:12,501.0
2022/12/01,11:04:13,502.0
2022/12/01,11:04:14,497.0
2022/12/01,11:04:15,497.0
2022/12/01,11:04:16,498.0
2022/12/01,11:04:17,499.0
2022/12/01,11:04:18,501.0
2022/12/01,11:04:19,501.0
2022/12/01,11:04:20,497.0
2022/12/01,11:04:21,497.0
2022/12/01,11:04:23,498.0
2022/12/01,11:04:24,500.0
2022/12/01,11:04:25,501.0
2022/12/01,11:04:26,503.0
2022/12/01,11:04:27,497.0
2022/12/01,11:04:28,498.0
2022/12/01,11:04:29,499.0
2022/12/01,11:04:30,502.0
2022/12/01,11:04:31,501.0
2022/12/01,11:04:32,501.0
2022/12/01,11:04:33,498.0
2022/12/01,11:04:34,498.0
2022/12/01,11:04:35,498.0
2022/12/01,11:04:36,502.0
2022/12/01,11:04:37,501.0
2022/12/01,11:04:38,498.0
2022/12/01,11:04:39,498.0
2022/12/01,11:04:40,497.0
2022/12/01,11:04:41,498.0
2022/12/01,11:04:42,501.0
2022/12/01,11:04:43,501.0
2022/12/01,11:04:44,496.0
2022/12/01,11:04:45,497.0
2022/12/01,11:04:46,498.0
2022/12/01,11:04:47,501.0
2022/12/01,11:04:48,501.0
2022/12/01,11:04:49,496.0
2022/12/01,11:04:50,498.0
2022/12/01,11:04:51,498.0
2022/12/01,11:04:52,502.0
2022/12/01,11:04:53,502.0
2022/12/01,11:04:54,498.0
2022/12/01,11:04:55,499.0
2022/12/01,11:04:56,500.0
2022/12/01,11:04:57,501.0
2022/12/01,11:04:58,499.0
2022/12/01,11:04:59,496.0
2022/12/01,11:05:00,497.0
2022/12/01,11:05:01,499.0
2022/12/01,11:05:02,502.0
2022/12/01,11:05:03,499.0
2022/12/01,11:05:04,497.0
2022/12/01,11:05:05,500.0
2022/12/01,11:05:06,501.0
2022/12/01,11:05:07,505.0
