,v0,v1,v2,v3
,-1.04242e+06,-729354,-847587,-902125
,-1.04146e+06,-787221,-846624,-867266
,-1.04084e+06,-847851,-844538,-863699
,-1.04011e+06,-844847,-841501,-859956
,-1.03956e+06,-910647,-837688,-855251
,-1.0388e+06,-912940,-800759,-849454
,-1.03859e+06,-983007,-796118,-843300
,-1.03502e+06,-990953,-793355,-838888
,-993045,-1.03342e+06,-791788,-802313
,-976675,-1.11083e+06,-791238,-800034
,-925665,-1.1228e+06,-789026,-796437
,-971480,-1.16992e+06,-790297,-795452
,-918822,-1.18348e+06,-790587,-794160
,-904748,-1.29612e+06,-792127,-794125
,-864222,-1.31053e+06,-796213,-795846
,-861932,-1.32614e+06,-837619,-800963
,-860469,-1.44052e+06,-850383,-843502
,-859708,-1.45644e+06,-866576,-856596
,-855604,-1.50534e+06,-855542,-906986
,-915512,-1.51759e+06,-910635,-859858
,-910585,-1.62636e+06,-968248,-914125
,-903936,-1.63302e+06,-929329,-968986
,-866852,-1.69955e+06,-987890,-926173
,-867799,-1.69449e+06,-1.04524e+06,-980032
,-909114,-1.71669e+06,-1.03711e+06,-1.03419e+06
,-852026,-1.76746e+06,-1.09798e+06,-993033
,-857839,-1.71361e+06,-1.05882e+06,-1.04934e+06
,-859961,-1.71875e+06,-1.11867e+06,-1.10545e+06
,-860100,-1.71441e+06,-1.1743e+06,-1.0596e+06
,-859431,-1.76915e+06,-1.16353e+06,-1.11227e+06
,-858819,-1.71573e+06,-1.18098e+06,-1.12694e+06
,-857919,-1.68856e+06,-1.23091e+06,-1.17452e+06
,-854782,-1.65165e+06,-1.24314e+06,-1.11878e+06
,-854732,-1.57539e+06,-1.18813e+06,-1.12748e+06
,-916768,-1.55704e+06,-1.2293e+06,-1.16681e+06
,-912659,-1.5009e+06,-1.23752e+06,-1.17297e+06
,-905197,-1.43568e+06,-1.24158e+06,-1.17455e+06
,-903374,-1.366e+06,-1.2442e+06,-1.17507e+06
,-867111,-1.2565e+06,-1.24393e+06,-1.17395e+06
,-867018,-1.18249e+06,-1.25158e+06,-1.17812e+06
,-800748,-1.17939e+06,-1.30407e+06,-1.19193e+06
,-838146,-1.05597e+06,-1.29506e+06,-1.1838e+06
,-797705,-972289,-1.30048e+06,-1.18607e+06
,-788737,-855246,-1.30506e+06,-1.18786e+06
,-786180,-837659,-1.24951e+06,-1.19272e+06
,-783829,-723212,-1.26084e+06,-1.23239e+06
,-780995,-647885,-1.31375e+06,-1.18022e+06
,-776419,-573933,-1.36552e+06,-1.19298e+06
,-775108,-473076,-1.32398e+06,-1.24318e+06
,-773946,-406528,-1.3799e+06,-1.26006e+06
,-777228,-379887,-1.43949e+06,-1.24726e+06
,-788673,-320253,-1.43059e+06,-1.29636e+06
,-846373,-267584,-1.45533e+06,-1.31486e+06
,-799487,-256030,-1.45301e+06,-1.37085e+06
,-845820,-181560,-1.51222e+06,-1.32553e+06
,-856559,-145675,-1.57005e+06,-1.37753e+06
,-865500,-80142,-1.55673e+06,-1.39207e+06
,-903111,-119587,-1.57726e+06,-1.44022e+06
,-907760,-64494,-1.62402e+06,-1.38499e+06
,-911662,-12761,-1.63195e+06,-1.39028e+06
,-914715,-65263,-1.63603e+06,-1.4259e+06
,-853295,-56324,-1.63378e+06,-1.39064e+06
,-856891,-56045,-1.63044e+06,-1.38823e+06
,-858157,-59398,-1.6223e+06,-1.38061e+06
,-860733,-4586,-1.57639e+06,-1.43637e+06
,-861132,-56887,-1.56241e+06,-1.42689e+06
,-860373,-114927,-1.51035e+06,-1.37988e+06
,-861460,-81463,-1.52118e+06,-1.36419e+06
,-864312,-186631,-1.49809e+06,-1.31487e+06
,-866877,-203834,-1.50662e+06,-1.36453e+06
,-867869,-261086,-1.44901e+06,-1.31555e+06
,-902609,-326646,-1.39084e+06,-1.29966e+06
,-902458,-401184,-1.43124e+06,-1.25182e+06
,-903189,-514880,-1.37192e+06,-1.30127e+06
,-903876,-539669,-1.31359e+06,-1.25497e+06
,-904217,-667916,-1.32146e+06,-1.2408e+06
,-906508,-771884,-1.29712e+06,-1.19555e+06
,-907800,-913961,-1.30738e+06,-1.18522e+06
,-906752,-997107,-1.25435e+06,-1.24165e+06
,-907027,-1.1161e+06,-1.23164e+06,-1.23163e+06
,-908597,-1.24057e+06,-1.18036e+06,-1.19197e+06
,-908048,-1.36677e+06,-1.19548e+06,-1.18522e+06
,-908839,-1.49458e+06,-1.17781e+06,-1.17831e+06
,-908482,-1.62408e+06,-1.16354e+06,-1.17379e+06
,-911124,-1.71952e+06,-1.17893e+06,-1.16708e+06
,-914711,-1.84861e+06,-1.16885e+06,-1.16433e+06
,-915202,-1.97371e+06,-1.12507e+06,-1.12792e+06
,-915412,-2.15994e+06,-1.11587e+06,-1.12416e+06
,-912904,-2.24152e+06,-1.10852e+06,-1.12072e+06
,-910840,-2.34322e+06,-1.10032e+06,-1.11533e+06
,-912187,-2.42739e+06,-1.06006e+06,-1.17508e+06
,-913110,-2.47808e+06,-1.05598e+06,-1.1702e+06
,-912186,-2.49696e+06,-1.05135e+06,-1.16349e+06
,-915183,-2.50568e+06,-1.11228e+06,-1.12308e+06
,-916689,-2.54287e+06,-1.11079e+06,-1.1156e+06
,-922311,-2.54573e+06,-1.10715e+06,-1.10519e+06
,-926917,-2.54774e+06,-1.10821e+06,-1.06469e+06
,-929479,-2.5488e+06,-1.1082e+06,-1.05493e+06
,-932368,-2.54949e+06,-1.10931e+06,-1.1105e+06
,-933314,-2.5495e+06,-1.11022e+06,-1.0985e+06
,-968913,-2.54876e+06,-1.1116e+06,-1.0532e+06
,-970471,-2.54766e+06,-1.11256e+06,-1.03932e+06
,-972600,-2.54569e+06,-1.11384e+06,-992052
,-973522,-2.54313e+06,-1.0506e+06,-1.04341e+06
,-975884,-2.50671e+06,-1.05162e+06,-993990
,-977092,-2.50115e+06,-1.05449e+06,-979249
,-977968,-2.49196e+06,-1.0563e+06,-930624
,-978410,-2.47507e+06,-1.05905e+06,-980517
,-979725,-2.43783e+06,-1.06063e+06,-931351
,-981978,-2.37055e+06,-1.06266e+06,-916417
,-917734,-2.24432e+06,-1.09869e+06,-903136
,-918276,-2.16119e+06,-1.10126e+06,-856825
,-922053,-2.02644e+06,-1.10186e+06,-908601
,-921566,-1.84751e+06,-1.10901e+06,-901389
,-978665,-1.71882e+06,-1.11457e+06,-861216
,-968755,-1.51351e+06,-1.12053e+06,-856290
,-923388,-1.36374e+06,-1.1262e+06,-852792
,-909320,-1.17347e+06,-1.16577e+06,-851191
,-864489,-977200,-1.17176e+06,-851168
,-856364,-778479,-1.17916e+06,-854758
,-917263,-579530,-1.12329e+06,-861982
,-912908,-381958,-1.16891e+06,-906690
,-910820,-185077,-1.18302e+06,-855342
,-907467,1984,-1.23497e+06,-910578
,-902160,184307,-1.18754e+06,-933691
,-868142,388820,-1.2416e+06,-927938
,-866562,517591,-1.2959e+06,-989905
,-902081,660698,-1.25214e+06,-988659
,-903403,772088,-1.3087e+06,-1.05625e+06
,-908293,846644,-1.36221e+06,-1.05724e+06
,-914984,845317,-1.31998e+06,-1.12791e+06
,-854768,846618,-1.37291e+06,-1.16348e+06
,-862498,845761,-1.39207e+06,-1.23314e+06
,-867892,846629,-1.44127e+06,-1.23595e+06
,-905015,845606,-1.38981e+06,-1.30325e+06
,-908087,846834,-1.432e+06,-1.30156e+06
,-913142,845611,-1.43638e+06,-1.36142e+06
,-918308,846799,-1.43901e+06,-1.32248e+06
,-918813,845523,-1.44104e+06,-1.38059e+06
,-916029,846888,-1.43643e+06,-1.4339e+06
,-915397,845078,-1.42688e+06,-1.38447e+06
,-914164,847579,-1.38316e+06,-1.43108e+06
,-912156,844573,-1.43354e+06,-1.44174e+06
,-910380,848446,-1.38344e+06,-1.44968e+06
,-909620,842755,-1.36473e+06,-1.4548e+06
,-906771,786433,-1.31228e+06,-1.49193e+06
,-904924,785466,-1.32298e+06,-1.49328e+06
,-867136,598823,-1.30333e+06,-1.49528e+06
,-858064,508189,-1.2495e+06,-1.49424e+06
,-916419,325675,-1.26026e+06,-1.49169e+06
,-910330,136189,-1.23883e+06,-1.45462e+06
,-906522,-6969,-1.18575e+06,-1.45044e+06
,-903165,-189967,-1.2331e+06,-1.44613e+06
,-867859,-384789,-1.18424e+06,-1.44108e+06
,-866879,-583141,-1.16915e+06,-1.43534e+06
,-901577,-788202,-1.12381e+06,-1.42931e+06
,-906285,-990739,-1.17708e+06,-1.38751e+06
,-861668,-1.19191e+06,-1.12847e+06,-1.43772e+06
,-923940,-1.42595e+06,-1.12e+06,-1.42742e+06
,-977175,-1.62353e+06,-1.1144e+06,-1.38373e+06
,-926446,-1.78096e+06,-1.1088e+06,-1.37088e+06
,-966895,-1.96099e+06,-1.10289e+06,-1.32145e+06
,-975075,-2.15936e+06,-1.06006e+06,-1.36288e+06
,-981012,-2.24404e+06,-1.05016e+06,-1.30477e+06
,-985873,-2.36641e+06,-1.10158e+06,-1.30477e+06
,-991200,-2.47501e+06,-1.05497e+06,-1.23574e+06
,-994091,-2.4998e+06,-1.03682e+06,-1.19503e+06
,-997861,-2.54135e+06,-985554,-1.11748e+06
,-998857,-2.54592e+06,-1.03249e+06,-1.10365e+06
,-1.03301e+06,-2.54878e+06,-977700,-1.05216e+06
,-1.03521e+06,-2.55022e+06,-924966,-1.03317e+06
,-1.03548e+06,-2.55104e+06,-970001,-979486
,-1.03625e+06,-2.55105e+06,-916978,-860356
,-1.03703e+06,-2.55083e+06,-865477,-839905
,-1.03936e+06,-2.55e+06,-912163,-786156
,-1.03939e+06,-2.54874e+06,-866317,-770261
,-1.03604e+06,-2.54689e+06,-853018,-656687
,-1.03454e+06,-2.54441e+06,-841423,-643548
,-1.03327e+06,-2.5411e+06,-799425,-601636
,-1.03471e+06,-2.50392e+06,-790569,-529121
,-1.03497e+06,-2.49722e+06,-789703,-530213
,-1.03378e+06,-2.48606e+06,-787756,-467729
,-1.03507e+06,-2.43228e+06,-789223,-509947
,-1.03276e+06,-2.42411e+06,-794063,-459756
,-1.03272e+06,-2.35695e+06,-797688,-444916
,-1.03266e+06,-2.23798e+06,-840751,-406014
,-998341,-2.16675e+06,-850683,-403485
,-997338,-2.08202e+06,-861751,-406229
,-997637,-1.9525e+06,-905768,-446014
,-1.0324e+06,-1.78002e+06,-854254,-459490
,-996803,-1.63399e+06,-902426,-511213
,-993780,-1.44585e+06,-917004,-467442
,-991722,-1.31949e+06,-931348,-526828
,-988175,-1.12357e+06,-978471,-524347
,-988883,-990492,-924932,-589079
,-991509,-792887,-970508,-592676
,-990683,-660448,-982480,-664019
,-988632,-465667,-993234,-704821
,-986673,-340443,-1.03583e+06,-780810
,-986427,-188443,-1.04528e+06,-793554
,-988672,-8141,-984378,-836870
,-993827,65799,-988210,-913920
,-997601,261097,-991254,-926424
,-999421,382262,-991203,-969004
,-1.03324e+06,458788,-989914,-1.04452e+06
,-1.03353e+06,588736,-985825,-1.05194e+06
,-1.03272e+06,641991,-1.04524e+06,-1.05702e+06
,-1.03471e+06,712477,-1.03476e+06,-1.12379e+06
,-1.03878e+06,735511,-990265,-1.1218e+06
,-1.04122e+06,835646,-976699,-1.18227e+06
,-1.04216e+06,845551,-927951,-1.23852e+06
,-1.04403e+06,846049,-975087,-1.19141e+06
,-1.04396e+06,846110,-922646,-1.23934e+06
,-1.04527e+06,846100,-866599,-1.24798e+06
,-1.04499e+06,846364,-909365,-1.25339e+06
,-1.04472e+06,846035,-849944,-1.25307e+06
,-1.04422e+06,846387,-792799,-1.24975e+06
,-1.04223e+06,845792,-797988,-1.23986e+06
,-1.03916e+06,839999,-771854,-1.19473e+06
,-999182,775889,-779205,-1.24389e+06
,-989691,666142,-721367,-1.19193e+06
,-974047,594699,-665630,-1.17012e+06
,-924102,514341,-709655,-1.17654e+06
,-972284,458511,-656376,-1.11594e+06
,-926745,330040,-640710,-1.05398e+06
,-916006,262137,-593381,-1.0557e+06
,-913454,121332,-647194,-990207
,-912321,7110,-645183,-995369
,-906031,-80348,-646188,-968388
,-901613,-201508,-650801,-973843
,-862982,-328660,-597248,-918470
,-858630,-517120,-640710,-859114
,-854274,-647140,-661291,-905961
,-916746,-772361,-713265,-851665
,-855278,-864576,-705272,-800487
,-858582,-987588,-731638,-849372
,-866584,-1.10689e+06,-727254,-801255
,-904139,-1.19111e+06,-793839,-790218
,-903654,-1.36863e+06,-795925,-780326
,-868057,-1.441e+06,-860887,-736805
,-866794,-1.57159e+06,-859595,-726309
,-865065,-1.6312e+06,-923946,-783671
,-865492,-1.71569e+06,-921851,-775954
,-862254,-1.82782e+06,-989481,-773316
,-857369,-1.89642e+06,-983265,-734724
,-853461,-1.96039e+06,-1.04659e+06,-734957
,-913644,-1.97886e+06,-1.10281e+06,-731841
,-912922,-2.02546e+06,-1.06365e+06,-734923
,-909630,-2.09541e+06,-1.1195e+06,-770755
,-911670,-2.09329e+06,-1.17526e+06,-778226
