,v0,v1,v2,v3
,-1.04376e+06,-985549,-655915,-780578
,-1.043e+06,-1.0471e+06,-658708,-781339
,-1.0422e+06,-1.04171e+06,-662264,-782295
,-1.04142e+06,-1.10208e+06,-667871,-784086
,-1.03883e+06,-1.06262e+06,-706798,-785904
,-1.03737e+06,-1.11951e+06,-712714,-786688
,-1.03583e+06,-1.17577e+06,-720920,-789212
,-1.03298e+06,-1.16327e+06,-728571,-790231
,-1.03371e+06,-1.18113e+06,-734510,-789478
,-1.03752e+06,-1.22929e+06,-773861,-788186
,-1.0417e+06,-1.24268e+06,-781776,-787970
,-1.04422e+06,-1.1884e+06,-724193,-787478
,-1.04529e+06,-1.19584e+06,-731623,-786234
,-1.04603e+06,-1.23336e+06,-771105,-783907
,-1.04652e+06,-1.23391e+06,-776730,-780600
,-1.04625e+06,-1.23134e+06,-781118,-775962
,-1.04625e+06,-1.19245e+06,-784912,-770826
,-1.04554e+06,-1.18245e+06,-787700,-731918
,-1.04545e+06,-1.23495e+06,-789976,-725207
,-1.04476e+06,-1.18531e+06,-790780,-783404
,-1.04418e+06,-1.16577e+06,-791292,-775960
,-1.04326e+06,-1.17583e+06,-791030,-735009
,-1.0425e+06,-1.11801e+06,-790242,-727767
,-1.04168e+06,-1.0573e+06,-788691,-719677
,-1.04085e+06,-1.0601e+06,-787682,-713196
,-1.04062e+06,-995581,-785869,-705792
,-1.03961e+06,-995360,-785453,-668384
,-1.03444e+06,-929810,-787213,-665883
,-990667,-929249,-791002,-665566
,-971024,-864528,-796937,-668652
,-981231,-864220,-801257,-670449
,-927275,-800498,-840747,-708358
,-906974,-801821,-847394,-714266
,-861909,-773382,-791236,-723735
,-854234,-780751,-836070,-736242
,-853529,-727049,-853215,-721466
,-915662,-710861,-908297,-777427
,-912935,-667660,-902868,-838646
,-905705,-658990,-928986,-801556
,-909548,-656833,-928049,-901844
,-843019,-711144,-989723,-927963
,-843573,-670443,-1.0404e+06,-920110
,-842951,-713680,-1.11004e+06,-993811
,-837123,-726327,-1.11362e+06,-1.03423e+06
,-843837,-776951,-1.12029e+06,-1.10923e+06
,-840135,-772129,-1.23576e+06,-1.12774e+06
,-802542,-798753,-1.24522e+06,-1.17319e+06
,-799747,-800018,-1.25846e+06,-1.18863e+06
,-796363,-867374,-1.36706e+06,-1.3002e+06
,-798784,-904187,-1.37576e+06,-1.31122e+06
,-800209,-978979,-1.3868e+06,-1.32322e+06
,-801298,-987943,-1.49216e+06,-1.4303e+06
,-796196,-1.03602e+06,-1.50373e+06,-1.44211e+06
,-788422,-1.11154e+06,-1.56768e+06,-1.44261e+06
,-787498,-1.12356e+06,-1.56592e+06,-1.5078e+06
,-784885,-1.16895e+06,-1.62605e+06,-1.56957e+06
,-782321,-1.18247e+06,-1.58495e+06,-1.56283e+06
,-780542,-1.26002e+06,-1.63843e+06,-1.58417e+06
,-778691,-1.30588e+06,-1.68913e+06,-1.63662e+06
,-777973,-1.31637e+06,-1.70295e+06,-1.58614e+06
,-775480,-1.3924e+06,-1.64997e+06,-1.63175e+06
,-771870,-1.43432e+06,-1.69035e+06,-1.63994e+06
,-736723,-1.44411e+06,-1.69723e+06,-1.64733e+06
,-732898,-1.51497e+06,-1.70058e+06,-1.65018e+06
,-730600,-1.51942e+06,-1.70165e+06,-1.65021e+06
,-729147,-1.58848e+06,-1.70168e+06,-1.64939e+06
,-728095,-1.62298e+06,-1.69955e+06,-1.645e+06
,-730672,-1.6886e+06,-1.69656e+06,-1.63942e+06
,-731406,-1.6876e+06,-1.69324e+06,-1.63305e+06
,-733969,-1.7172e+06,-1.68787e+06,-1.62426e+06
,-772850,-1.71086e+06,-1.64689e+06,-1.57948e+06
,-795120,-1.76436e+06,-1.69855e+06,-1.62636e+06
,-790789,-1.82141e+06,-1.69085e+06,-1.58103e+06
,-842777,-1.77564e+06,-1.64918e+06,-1.56601e+06
,-859372,-1.82529e+06,-1.6384e+06,-1.51624e+06
,-901877,-1.8399e+06,-1.6269e+06,-1.5641e+06
,-910322,-1.84864e+06,-1.5775e+06,-1.50809e+06
,-916161,-1.88703e+06,-1.62436e+06,-1.44951e+06
,-856266,-1.88748e+06,-1.56851e+06,-1.45276e+06
,-863486,-1.8844e+06,-1.51091e+06,-1.38855e+06
,-867062,-1.84522e+06,-1.51808e+06,-1.38881e+06
,-903478,-1.8335e+06,-1.45539e+06,-1.31966e+06
,-906250,-1.82073e+06,-1.49277e+06,-1.31711e+06
,-907232,-1.77182e+06,-1.42893e+06,-1.24699e+06
,-909857,-1.78458e+06,-1.42945e+06,-1.24139e+06
,-913431,-1.76335e+06,-1.36575e+06,-1.23705e+06
,-915227,-1.70857e+06,-1.36756e+06,-1.16842e+06
,-919081,-1.71676e+06,-1.30564e+06,-1.16736e+06
,-921032,-1.6906e+06,-1.30998e+06,-1.10153e+06
,-921912,-1.69605e+06,-1.24955e+06,-1.10334e+06
,-921622,-1.63554e+06,-1.19322e+06,-1.04319e+06
,-923846,-1.6384e+06,-1.23396e+06,-983513
,-927017,-1.57694e+06,-1.18146e+06,-994529
,-926965,-1.51378e+06,-1.12943e+06,-974329
,-930837,-1.51573e+06,-1.17835e+06,-924670
,-930769,-1.45434e+06,-1.16631e+06,-978635
,-931528,-1.45516e+06,-1.12099e+06,-967642
,-930048,-1.42674e+06,-1.11279e+06,-929486
,-928259,-1.42851e+06,-1.1046e+06,-924400
,-929079,-1.36496e+06,-1.09775e+06,-921659
,-929506,-1.36828e+06,-1.06142e+06,-922629
,-930616,-1.30486e+06,-1.05784e+06,-924984
,-933436,-1.30713e+06,-1.05574e+06,-928817
,-967674,-1.24694e+06,-1.05656e+06,-969779
,-933330,-1.18634e+06,-1.05755e+06,-978483
,-968244,-1.18987e+06,-1.05672e+06,-920589
,-971483,-1.16427e+06,-1.0608e+06,-932821
,-970502,-1.17151e+06,-1.06312e+06,-977364
,-971276,-1.1138e+06,-1.09778e+06,-988614
,-971324,-1.05733e+06,-1.09876e+06,-1.03273e+06
,-974877,-1.09876e+06,-1.09931e+06,-1.04371e+06
,-976072,-1.04477e+06,-1.10339e+06,-991946
,-974786,-990991,-1.10363e+06,-1.03609e+06
,-972783,-1.03858e+06,-1.1051e+06,-1.04804e+06
,-974362,-985559,-1.101e+06,-1.05544e+06
,-979706,-969960,-1.10055e+06,-1.09777e+06
,-982226,-923375,-1.0993e+06,-1.10692e+06
,-918573,-975372,-1.06367e+06,-1.11314e+06
,-921073,-931048,-1.05989e+06,-1.05342e+06
,-922639,-922089,-1.05628e+06,-1.05851e+06
,-923183,-916689,-1.05292e+06,-1.06372e+06
,-925395,-908593,-1.11102e+06,-1.06347e+06
,-926941,-905264,-1.1054e+06,-1.06413e+06
,-928265,-902672,-1.09895e+06,-1.06322e+06
,-928486,-903917,-1.05906e+06,-1.0619e+06
,-926956,-905777,-1.0521e+06,-1.0593e+06
,-927805,-907263,-1.04266e+06,-1.05364e+06
,-930620,-910870,-1.03369e+06,-1.11262e+06
,-931382,-918470,-994249,-1.10742e+06
,-931833,-925452,-984788,-1.09905e+06
,-932341,-967188,-1.04317e+06,-1.05858e+06
,-933686,-975894,-1.03322e+06,-1.04802e+06
,-966659,-923417,-995551,-1.0411e+06
,-924630,-969176,-992055,-1.03342e+06
,-981556,-981456,-984852,-990995
,-967725,-997847,-984856,-985402
,-921544,-1.04319e+06,-979258,-1.04043e+06
,-911346,-993010,-977440,-1.03315e+06
,-867327,-1.04366e+06,-979662,-995616
,-858155,-1.05882e+06,-981201,-989704
,-854069,-1.10954e+06,-987369,-987454
,-917216,-1.06215e+06,-995014,-987109
,-916001,-1.11493e+06,-1.0399e+06,-990192
,-911336,-1.17117e+06,-992720,-998411
,-905752,-1.12518e+06,-1.04272e+06,-1.03858e+06
,-903901,-1.17992e+06,-1.06286e+06,-984034
,-901938,-1.23345e+06,-1.05238e+06,-996335
,-901843,-1.18961e+06,-1.10944e+06,-1.04376e+06
,-863964,-1.24596e+06,-1.17013e+06,-1.06221e+06
,-864804,-1.29532e+06,-1.12616e+06,-1.108e+06
,-867826,-1.25102e+06,-1.18833e+06,-1.06237e+06
,-905154,-1.29747e+06,-1.24188e+06,-1.10819e+06
