年月日,時刻,データ01(mG),データ02(m/sec2)
2023/11/09,17:21:58,585.0,0.0
2023/11/09,17:21:59,585.0,0.0
2023/11/09,17:22:00,585.0,0.0
2023/11/09,17:22:01,586.0,0.0
2023/11/09,17:22:02,581.0,0.0
2023/11/09,17:22:03,581.0,0.0
2023/11/09,17:22:04,580.0,0.0
2023/11/09,17:22:05,581.0,0.0
2023/11/09,17:22:06,586.0,0.0
2023/11/09,17:22:07,585.0,0.0
2023/11/09,17:22:08,582.0,0.0
2023/11/09,17:22:09,582.0,0.0
2023/11/09,17:22:10,584.0,0.0
2023/11/09,17:22:11,584.0,0.0
2023/11/09,17:22:12,587.0,0.0
2023/11/09,17:22:13,587.0,0.0
2023/11/09,17:22:14,586.0,0.0
2023/11/09,17:22:15,587.0,0.0
2023/11/09,17:22:16,588.0,0.0
2023/11/09,17:22:17,588.0,0.0
2023/11/09,17:22:18,591.0,0.0
2023/11/09,17:22:19,592.0,0.0
2023/11/09,17:22:20,590.0,0.0
2023/11/09,17:22:21,591.0,0.0
2023/11/09,17:22:22,592.0,0.0
2023/11/09,17:22:23,591.0,0.0
2023/11/09,17:22:24,589.0,0.0
2023/11/09,17:22:25,589.0,0.0
2023/11/09,17:22:26,589.0,0.0
2023/11/09,17:22:27,587.0,0.0
2023/11/09,17:22:28,587.0,0.0
2023/11/09,17:22:29,586.0,0.0
2023/11/09,17:22:30,590.0,0.0
2023/11/09,17:22:31,592.0,0.0
2023/11/09,17:22:32,589.0,0.0
2023/11/09,17:22:33,589.0,0.0
2023/11/09,17:22:34,589.0,0.0
2023/11/09,17:22:35,594.0,0.0
2023/11/09,17:22:36,595.0,0.0
2023/11/09,17:22:37,595.0,0.0
2023/11/09,17:22:38,591.0,0.0
2023/11/09,17:22:39,593.0,0.0
2023/11/09,17:22:40,594.0,0.0
2023/11/09,17:22:41,593.0,0.0
2023/11/09,17:22:42,595.0,0.0
2023/11/09,17:22:43,593.0,0.0
2023/11/09,17:22:44,588.0,0.0
2023/11/09,17:22:45,586.0,0.0
2023/11/09,17:22:46,586.0,0.0
2023/11/09,17:22:47,587.0,0.0
2023/11/09,17:22:48,588.0,0.0
2023/11/09,17:22:49,588.0,0.0
2023/11/09,17:22:50,586.0,0.0
2023/11/09,17:22:51,587.0,0.0
2023/11/09,17:22:52,589.0,0.0
2023/11/09,17:22:53,590.0,0.0
2023/11/09,17:22:54,595.0,0.0
2023/11/09,17:22:55,595.0,0.0
2023/11/09,17:22:56,588.0,0.0
2023/11/09,17:22:57,589.0,0.0
2023/11/09,17:22:58,591.0,0.0
2023/11/09,17:22:59,592.0,0.0
2023/11/09,17:23:00,594.0,0.0
2023/11/09,17:23:01,593.0,0.0
2023/11/09,17:23:02,594.0,0.0
2023/11/09,17:23:03,592.0,0.0
2023/11/09,17:23:04,591.0,0.0
2023/11/09,17:23:05,592.0,0.0
2023/11/09,17:23:07,593.0,0.0
2023/11/09,17:23:08,589.0,0.0
2023/11/09,17:23:09,588.0,0.0
2023/11/09,17:23:10,589.0,0.0
