年月日,時刻,データ01(mG),データ02(m/sec2)
2023/11/09,17:20:00,584.0,0.0
2023/11/09,17:20:01,583.0,0.0
2023/11/09,17:20:02,585.0,0.0
2023/11/09,17:20:03,586.0,0.0
2023/11/09,17:20:04,586.0,0.0
2023/11/09,17:20:05,585.0,0.0
2023/11/09,17:20:06,582.0,0.0
2023/11/09,17:20:07,582.0,0.0
2023/11/09,17:20:08,585.0,0.0
2023/11/09,17:20:09,587.0,0.0
2023/11/09,17:20:10,587.0,0.0
2023/11/09,17:20:11,587.0,0.0
2023/11/09,17:20:12,584.0,0.0
2023/11/09,17:20:13,586.0,0.0
2023/11/09,17:20:14,587.0,0.0
2023/11/09,17:20:15,590.0,0.0
2023/11/09,17:20:16,590.0,0.0
2023/11/09,17:20:17,586.0,0.0
2023/11/09,17:20:18,585.0,0.0
2023/11/09,17:20:19,588.0,0.0
2023/11/09,17:20:20,590.0,0.0
2023/11/09,17:20:21,591.0,0.0
2023/11/09,17:20:22,592.0,0.0
2023/11/09,17:20:23,586.0,0.0
2023/11/09,17:20:24,586.0,0.0
2023/11/09,17:20:25,589.0,0.0
2023/11/09,17:20:26,592.0,0.0
2023/11/09,17:20:27,590.0,0.0
2023/11/09,17:20:28,584.0,0.0
2023/11/09,17:20:29,586.0,0.0
2023/11/09,17:20:30,588.0,0.0
2023/11/09,17:20:31,589.0,0.0
2023/11/09,17:20:32,590.0,0.0
2023/11/09,17:20:33,584.0,0.0
2023/11/09,17:20:34,584.0,0.0
2023/11/09,17:20:35,585.0,0.0
2023/11/09,17:20:36,588.0,0.0
2023/11/09,17:20:37,589.0,0.0
2023/11/09,17:20:38,584.0,0.0
2023/11/09,17:20:39,584.0,0.0
2023/11/09,17:20:40,585.0,0.0
2023/11/09,17:20:41,587.0,0.0
2023/11/09,17:20:42,591.0,0.0
2023/11/09,17:20:43,591.0,0.0
2023/11/09,17:20:44,587.0,0.0
2023/11/09,17:20:45,587.0,0.0
2023/11/09,17:20:46,589.0,0.0
2023/11/09,17:20:47,591.0,0.0
2023/11/09,17:20:48,594.0,0.0
2023/11/09,17:20:49,594.0,0.0
2023/11/09,17:20:50,590.0,0.0
2023/11/09,17:20:51,591.0,0.0
2023/11/09,17:20:52,589.0,0.0
2023/11/09,17:20:53,588.0,0.0
2023/11/09,17:20:54,590.0,0.0
2023/11/09,17:20:55,590.0,0.0
2023/11/09,17:20:56,588.0,0.0
2023/11/09,17:20:57,587.0,0.0
2023/11/09,17:20:58,589.0,0.0
2023/11/09,17:20:59,589.0,0.0
2023/11/09,17:21:00,593.0,0.0
2023/11/09,17:21:01,594.0,0.0
2023/11/09,17:21:02,596.0,0.0
2023/11/09,17:21:03,593.0,0.0
2023/11/09,17:21:04,594.0,0.0
2023/11/09,17:21:05,598.0,0.0
