年月日,時刻,データ01(mG)
2023/11/30,07:23:36,-11.6
2023/11/30,07:23:37,-11.3
2023/11/30,07:23:38,-10.8
2023/11/30,07:23:39,-10.6
2023/11/30,07:23:40,-10.3
2023/11/30,07:23:41,-10.0
2023/11/30,07:23:42,-9.4
2023/11/30,07:23:43,-4.3
2023/11/30,07:23:44,-4.2
2023/11/30,07:23:45,-4.1
2023/11/30,07:23:46,-3.6
2023/11/30,07:23:47,-3.3
2023/11/30,07:23:48,-2.6
2023/11/30,07:23:49,-2.2
2023/11/30,07:23:50,-1.3
2023/11/30,07:23:51,-1.6
2023/11/30,07:23:52,5.8
2023/11/30,07:23:53,-8.9
2023/11/30,07:23:54,-12.0
2023/11/30,07:23:55,-10.0
2023/11/30,07:23:56,-10.0
2023/11/30,07:23:57,-9.8
2023/11/30,07:23:58,-9.7
2023/11/30,07:23:59,-9.5
2023/11/30,07:24:00,-9.5
2023/11/30,07:24:01,-9.3
2023/11/30,07:24:02,-9.2
2023/11/30,07:24:03,-9.2
2023/11/30,07:24:04,-9.3
2023/11/30,07:24:05,-15.7
2023/11/30,07:24:06,-15.7
2023/11/30,07:24:07,-15.7
2023/11/30,07:24:08,-15.4
2023/11/30,07:24:09,-14.1
2023/11/30,07:24:10,-14.0
2023/11/30,07:24:11,-20.6
2023/11/30,07:24:12,-20.6
2023/11/30,07:24:13,-20.9
2023/11/30,07:24:14,-21.0
2023/11/30,07:24:15,-21.0
2023/11/30,07:24:16,-20.8
2023/11/30,07:24:17,-20.6
2023/11/30,07:24:18,-20.1
2023/11/30,07:24:19,-19.8
2023/11/30,07:24:20,-19.0
2023/11/30,07:24:21,-18.4
2023/11/30,07:24:22,-17.0
2023/11/30,07:24:23,-16.3
2023/11/30,07:24:24,-15.7
2023/11/30,07:24:25,-15.5
2023/11/30,07:24:26,-15.4
2023/11/30,07:24:27,-15.4
2023/11/30,07:24:28,-15.8
2023/11/30,07:24:29,-16.1
2023/11/30,07:24:30,-17.0
2023/11/30,07:24:31,-17.3
2023/11/30,07:24:32,-17.6
2023/11/30,07:24:33,-17.7
2023/11/30,07:24:34,-17.5
2023/11/30,07:24:35,-17.4
2023/11/30,07:24:36,-17.2
2023/11/30,07:24:37,-18.8
2023/11/30,07:24:38,-18.9
2023/11/30,07:24:39,-19.2
2023/11/30,07:24:40,-19.5
2023/11/30,07:24:41,-20.2
2023/11/30,07:24:42,-20.5
2023/11/30,07:24:43,-20.8
2023/11/30,07:24:44,-20.8
2023/11/30,07:24:45,-20.8
2023/11/30,07:24:46,-20.7
2023/11/30,07:24:47,-20.7
2023/11/30,07:24:48,-20.5
2023/11/30,07:24:49,-19.9
2023/11/30,07:24:50,-19.7
2023/11/30,07:24:51,-19.8
2023/11/30,07:24:52,-19.9
2023/11/30,07:24:53,-20.0
2023/11/30,07:24:54,-20.0
2023/11/30,07:24:55,-20.1
2023/11/30,07:24:56,-20.3
2023/11/30,07:24:57,-27.6
2023/11/30,07:24:58,-27.7
