年月日,時刻,データ01(mG)
2023/11/30,07:51:37,-18.8
2023/11/30,07:51:38,-19.0
2023/11/30,07:51:39,-19.2
2023/11/30,07:51:40,-19.3
2023/11/30,07:51:41,-19.3
2023/11/30,07:51:42,-19.0
2023/11/30,07:51:43,-18.5
2023/11/30,07:51:44,-18.2
2023/11/30,07:51:45,-17.4
2023/11/30,07:51:46,-12.0
2023/11/30,07:51:47,-11.8
2023/11/30,07:51:48,-11.6
2023/11/30,07:51:49,-11.3
2023/11/30,07:51:50,-11.1
2023/11/30,07:51:51,-14.9
2023/11/30,07:51:52,-15.0
2023/11/30,07:51:53,-15.4
2023/11/30,07:51:54,-15.5
2023/11/30,07:51:55,-19.7
2023/11/30,07:51:56,-22.0
2023/11/30,07:51:57,-22.3
2023/11/30,07:51:58,-22.6
2023/11/30,07:51:59,-22.9
2023/11/30,07:52:00,-23.1
2023/11/30,07:52:01,-23.4
2023/11/30,07:52:02,-23.6
2023/11/30,07:52:03,-23.6
2023/11/30,07:52:04,-23.4
2023/11/30,07:52:05,-23.1
2023/11/30,07:52:06,-21.9
2023/11/30,07:52:07,-21.4
2023/11/30,07:52:08,-20.7
2023/11/30,07:52:09,-20.2
2023/11/30,07:52:10,-19.4
2023/11/30,07:52:11,-19.4
2023/11/30,07:52:12,-19.8
2023/11/30,07:52:13,-20.2
2023/11/30,07:52:14,-21.2
2023/11/30,07:52:15,-21.6
2023/11/30,07:52:16,-22.4
2023/11/30,07:52:17,-23.1
2023/11/30,07:52:18,-24.2
2023/11/30,07:52:19,-24.5
2023/11/30,07:52:20,-21.5
2023/11/30,07:52:21,-21.3
2023/11/30,07:52:22,-20.7
2023/11/30,07:52:23,-20.5
2023/11/30,07:52:24,-20.2
2023/11/30,07:52:25,-20.1
2023/11/30,07:52:26,-23.8
2023/11/30,07:52:27,-24.1
2023/11/30,07:52:28,-24.4
2023/11/30,07:52:29,-24.7
2023/11/30,07:52:30,-24.8
2023/11/30,07:52:31,-19.6
2023/11/30,07:52:32,-19.6
2023/11/30,07:52:33,-19.8
2023/11/30,07:52:34,-19.8
2023/11/30,07:52:35,-19.7
2023/11/30,07:52:36,-19.6
2023/11/30,07:52:37,-19.2
2023/11/30,07:52:38,-14.2
2023/11/30,07:52:39,-14.0
2023/11/30,07:52:40,-13.9
2023/11/30,07:52:41,-13.9
2023/11/30,07:52:42,-13.9
2023/11/30,07:52:43,-14.0
2023/11/30,07:52:44,-14.0
2023/11/30,07:52:45,-14.0
2023/11/30,07:52:46,-14.0
2023/11/30,07:52:47,-14.3
2023/11/30,07:52:48,-14.6
2023/11/30,07:52:49,-14.8
2023/11/30,07:52:50,-15.3
2023/11/30,07:52:51,-15.4
2023/11/30,07:52:52,-15.8
2023/11/30,07:52:53,-16.0
2023/11/30,07:52:54,-16.4
2023/11/30,07:52:55,-16.5
2023/11/30,07:52:56,-16.4
2023/11/30,07:52:57,-16.1
2023/11/30,07:52:58,-15.5
2023/11/30,07:52:59,-15.1
2023/11/30,07:53:00,-14.3
2023/11/30,07:53:01,-13.9
2023/11/30,07:53:02,-13.4
2023/11/30,07:53:03,-13.1
2023/11/30,07:53:04,-13.3
2023/11/30,07:53:05,-13.6
2023/11/30,07:53:06,-20.4
2023/11/30,07:53:07,-20.4
2023/11/30,07:53:08,-20.6
2023/11/30,07:53:09,-20.8
2023/11/30,07:53:10,-21.1
2023/11/30,07:53:11,-21.7
2023/11/30,07:53:12,-22.0
2023/11/30,07:53:13,-22.4
2023/11/30,07:53:14,-22.6
2023/11/30,07:53:15,-22.7
2023/11/30,07:53:16,-25.6
2023/11/30,07:53:17,-25.9
2023/11/30,07:53:18,-26.2
2023/11/30,07:53:19,-26.9
2023/11/30,07:53:20,-27.3
2023/11/30,07:53:21,-27.9
2023/11/30,07:53:22,-28.2
2023/11/30,07:53:23,-28.8
2023/11/30,07:53:24,-29.1
2023/11/30,07:53:26,-29.0
2023/11/30,07:53:27,-28.8
2023/11/30,07:53:28,-28.2
2023/11/30,07:53:29,-27.8
2023/11/30,07:53:30,-27.1
2023/11/30,07:53:31,-26.8
2023/11/30,07:53:32,-26.2
2023/11/30,07:53:33,-26.0
2023/11/30,07:53:34,-25.7
2023/11/30,07:53:35,-28.2
2023/11/30,07:53:36,-28.2
2023/11/30,07:53:37,-27.9
2023/11/30,07:53:38,-27.5
2023/11/30,07:53:39,-26.6
2023/11/30,07:53:40,-26.1
2023/11/30,07:53:41,-24.7
2023/11/30,07:53:42,-24.0
2023/11/30,07:53:43,-22.7
2023/11/30,07:53:44,-21.9
2023/11/30,07:53:45,-20.5
2023/11/30,07:53:46,-19.9
2023/11/30,07:53:47,-18.8
2023/11/30,07:53:48,-18.2
2023/11/30,07:53:49,-17.3
2023/11/30,07:53:50,-17.1
2023/11/30,07:53:51,-18.7
2023/11/30,07:53:52,-18.6
2023/11/30,07:53:53,-18.6
2023/11/30,07:53:54,-18.6
2023/11/30,07:53:55,-18.6
2023/11/30,07:53:56,-18.5
2023/11/30,07:53:57,-15.3
2023/11/30,07:53:58,-15.2
2023/11/30,07:53:59,-15.1
2023/11/30,07:54:00,-14.8
2023/11/30,07:54:01,-14.8
2023/11/30,07:54:02,-14.6
2023/11/30,07:54:03,-14.6
2023/11/30,07:54:04,-14.5
2023/11/30,07:54:05,-14.4
2023/11/30,07:54:06,-14.2
2023/11/30,07:54:07,-14.3
2023/11/30,07:54:08,-14.4
2023/11/30,07:54:09,-14.3
2023/11/30,07:54:10,-14.6
2023/11/30,07:54:11,-14.6
2023/11/30,07:54:12,-14.5
2023/11/30,07:54:13,-14.5
2023/11/30,07:54:14,-14.6
2023/11/30,07:54:15,-14.5
2023/11/30,07:54:16,-14.6
2023/11/30,07:54:17,-14.5
2023/11/30,07:54:18,-14.1
2023/11/30,07:54:19,-14.1
2023/11/30,07:54:20,-14.1
2023/11/30,07:54:21,-14.2
2023/11/30,07:54:22,-14.3
2023/11/30,07:54:23,-14.2
2023/11/30,07:54:24,-14.2
2023/11/30,07:54:25,-19.2
2023/11/30,07:54:26,-19.3
2023/11/30,07:54:27,-19.6
2023/11/30,07:54:28,-19.9
2023/11/30,07:54:29,-20.1
2023/11/30,07:54:30,-20.2
2023/11/30,07:54:31,-20.3
2023/11/30,07:54:32,-20.5
2023/11/30,07:54:33,-20.8
2023/11/30,07:54:34,-20.7
2023/11/30,07:54:35,-20.6
2023/11/30,07:54:36,-20.4
2023/11/30,07:54:37,-20.5
2023/11/30,07:54:38,-20.7
2023/11/30,07:54:39,-20.9
2023/11/30,07:54:40,-20.9
2023/11/30,07:54:41,-21.0
2023/11/30,07:54:42,-21.3
2023/11/30,07:54:43,-22.0
2023/11/30,07:54:44,-22.2
2023/11/30,07:54:45,-22.9
2023/11/30,07:54:46,-23.2
2023/11/30,07:54:47,-23.6
2023/11/30,07:54:48,-24.4
2023/11/30,07:54:49,-24.8
2023/11/30,07:54:50,-25.0
2023/11/30,07:54:51,-24.9
2023/11/30,07:54:52,-24.8
2023/11/30,07:54:53,-24.9
2023/11/30,07:54:54,-24.6
2023/11/30,07:54:55,-24.5
2023/11/30,07:54:56,-24.0
2023/11/30,07:54:57,-23.8
2023/11/30,07:54:58,-23.5
2023/11/30,07:54:59,-23.3
2023/11/30,07:55:00,-22.4
2023/11/30,07:55:01,-21.9
2023/11/30,07:55:02,-20.7
2023/11/30,07:55:03,-20.3
2023/11/30,07:55:04,-19.6
2023/11/30,07:55:05,-19.4
2023/11/30,07:55:06,-19.1
2023/11/30,07:55:07,-19.3
2023/11/30,07:55:08,-19.7
2023/11/30,07:55:09,-20.4
2023/11/30,07:55:10,-20.8
2023/11/30,07:55:11,-21.3
2023/11/30,07:55:12,-21.2
2023/11/30,07:55:13,-21.1
2023/11/30,07:55:14,-20.9
2023/11/30,07:55:15,-20.1
2023/11/30,07:55:16,-19.5
2023/11/30,07:55:17,-18.6
2023/11/30,07:55:18,-18.1
2023/11/30,07:55:19,-17.3
2023/11/30,07:55:20,-17.2
2023/11/30,07:55:21,-17.3
2023/11/30,07:55:22,-17.3
2023/11/30,07:55:23,-17.6
2023/11/30,07:55:24,-17.7
2023/11/30,07:55:25,-17.8
2023/11/30,07:55:26,-18.0
2023/11/30,07:55:27,-18.0
2023/11/30,07:55:28,-17.9
2023/11/30,07:55:29,-17.3
2023/11/30,07:55:30,-13.0
2023/11/30,07:55:31,-12.9
2023/11/30,07:55:32,-13.1
2023/11/30,07:55:33,-13.2
2023/11/30,07:55:34,-13.5
2023/11/30,07:55:35,-13.6
2023/11/30,07:55:36,-13.7
2023/11/30,07:55:37,-13.8
2023/11/30,07:55:38,-13.8
2023/11/30,07:55:39,-13.9
2023/11/30,07:55:40,-14.2
2023/11/30,07:55:41,-14.3
