年月日,時刻,データ01(mG)
2023/11/30,08:10:22,-6.1
2023/11/30,08:10:23,-7.0
2023/11/30,08:10:24,-7.6
2023/11/30,08:10:25,-8.1
2023/11/30,08:10:26,-14.9
2023/11/30,08:10:27,-14.9
2023/11/30,08:10:28,-14.8
2023/11/30,08:10:29,-14.7
2023/11/30,08:10:30,-14.9
2023/11/30,08:10:31,-15.0
2023/11/30,08:10:32,-21.2
2023/11/30,08:10:33,-21.2
2023/11/30,08:10:34,-21.0
2023/11/30,08:10:35,-20.8
2023/11/30,08:10:36,-20.3
2023/11/30,08:10:37,-21.1
2023/11/30,08:10:38,-18.9
2023/11/30,08:10:39,-18.9
2023/11/30,08:10:40,-18.5
2023/11/30,08:10:41,-18.3
2023/11/30,08:10:42,-17.9
2023/11/30,08:10:44,-17.9
2023/11/30,08:10:45,-17.8
2023/11/30,08:10:46,-17.7
2023/11/30,08:10:47,-20.7
2023/11/30,08:10:48,-20.6
2023/11/30,08:10:49,-20.4
2023/11/30,08:10:50,-20.0
2023/11/30,08:10:51,-19.9
2023/11/30,08:10:52,-19.7
2023/11/30,08:10:53,-19.6
2023/11/30,08:10:54,-19.4
2023/11/30,08:10:55,-19.3
2023/11/30,08:10:56,-19.3
2023/11/30,08:10:57,-19.6
2023/11/30,08:10:58,-19.9
2023/11/30,08:10:59,-19.9
2023/11/30,08:11:00,-20.3
2023/11/30,08:11:01,-20.6
2023/11/30,08:11:02,-20.8
2023/11/30,08:11:03,-20.9
2023/11/30,08:11:04,-20.9
2023/11/30,08:11:05,-20.7
2023/11/30,08:11:06,-20.4
2023/11/30,08:11:07,-20.5
2023/11/30,08:11:08,-20.6
2023/11/30,08:11:09,-20.5
2023/11/30,08:11:10,-20.4
2023/11/30,08:11:11,-20.1
2023/11/30,08:11:12,-19.6
2023/11/30,08:11:13,-19.6
2023/11/30,08:11:14,-19.6
2023/11/30,08:11:15,-19.5
2023/11/30,08:11:16,-19.3
2023/11/30,08:11:17,-18.8
2023/11/30,08:11:18,-18.5
2023/11/30,08:11:19,-18.3
2023/11/30,08:11:20,-18.5
2023/11/30,08:11:21,-18.4
2023/11/30,08:11:22,-18.3
2023/11/30,08:11:23,-18.1
2023/11/30,08:11:24,-17.9
2023/11/30,08:11:25,-17.7
2023/11/30,08:11:26,-17.8
2023/11/30,08:11:27,-17.7
2023/11/30,08:11:28,-17.7
2023/11/30,08:11:29,-17.7
2023/11/30,08:11:30,-17.7
2023/11/30,08:11:31,-20.7
2023/11/30,08:11:32,-20.9
2023/11/30,08:11:33,-21.1
2023/11/30,08:11:34,-21.1
2023/11/30,08:11:35,-21.5
2023/11/30,08:11:36,-21.6
2023/11/30,08:11:37,-21.7
2023/11/30,08:11:38,-18.2
2023/11/30,08:11:39,-18.1
2023/11/30,08:11:40,-15.0
2023/11/30,08:11:41,-14.7
2023/11/30,08:11:42,-8.8
2023/11/30,08:11:43,-8.8
2023/11/30,08:11:44,-8.9
2023/11/30,08:11:45,-7.2
2023/11/30,08:11:46,-7.2
2023/11/30,08:11:47,-7.3
2023/11/30,08:11:48,-6.3
2023/11/30,08:11:49,-6.2
2023/11/30,08:11:50,-6.1
2023/11/30,08:11:51,-6.0
2023/11/30,08:11:52,-5.4
2023/11/30,08:11:53,-5.3
2023/11/30,08:11:54,-4.9
2023/11/30,08:11:55,-4.8
2023/11/30,08:11:56,-4.7
2023/11/30,08:11:57,-4.6
2023/11/30,08:11:58,-9.0
2023/11/30,08:11:59,-9.0
2023/11/30,08:12:00,-9.1
2023/11/30,08:12:01,-9.4
2023/11/30,08:12:02,-9.6
2023/11/30,08:12:03,-10.0
2023/11/30,08:12:04,-10.3
2023/11/30,08:12:05,-10.6
2023/11/30,08:12:06,-10.7
2023/11/30,08:12:07,-11.3
2023/11/30,08:12:08,-11.7
2023/11/30,08:12:09,-20.0
2023/11/30,08:12:10,-19.9
2023/11/30,08:12:11,-20.0
2023/11/30,08:12:12,-20.3
2023/11/30,08:12:13,-20.5
2023/11/30,08:12:14,-20.6
2023/11/30,08:12:15,-21.0
2023/11/30,08:12:16,-21.2
2023/11/30,08:12:17,-21.6
2023/11/30,08:12:18,-21.7
2023/11/30,08:12:19,-22.3
2023/11/30,08:12:20,-22.4
2023/11/30,08:12:21,-21.2
2023/11/30,08:12:22,-21.2
2023/11/30,08:12:23,-21.1
2023/11/30,08:12:24,-21.1
2023/11/30,08:12:25,-21.1
2023/11/30,08:12:26,-21.3
2023/11/30,08:12:27,-21.5
2023/11/30,08:12:28,-21.8
2023/11/30,08:12:29,-21.8
2023/11/30,08:12:30,-22.0
2023/11/30,08:12:31,-22.1
2023/11/30,08:12:32,-22.3
2023/11/30,08:12:33,-22.5
2023/11/30,08:12:34,-22.7
2023/11/30,08:12:35,-22.9
2023/11/30,08:12:36,-23.3
2023/11/30,08:12:37,-23.6
2023/11/30,08:12:38,-23.7
2023/11/30,08:12:39,-23.7
2023/11/30,08:12:40,-23.3
2023/11/30,08:12:41,-23.2
2023/11/30,08:12:42,-22.8
2023/11/30,08:12:43,-22.4
2023/11/30,08:12:44,-22.1
2023/11/30,08:12:45,-21.7
2023/11/30,08:12:46,-21.6
2023/11/30,08:12:47,-21.5
2023/11/30,08:12:48,-21.6
2023/11/30,08:12:49,-21.3
2023/11/30,08:12:50,-21.1
2023/11/30,08:12:51,-20.7
2023/11/30,08:12:52,-21.6
2023/11/30,08:12:53,-21.4
2023/11/30,08:12:54,-21.5
2023/11/30,08:12:55,-22.0
2023/11/30,08:12:56,-22.2
2023/11/30,08:12:57,-22.9
2023/11/30,08:12:58,-23.3
2023/11/30,08:12:59,-23.8
2023/11/30,08:13:00,-24.1
2023/11/30,08:13:01,-24.4
2023/11/30,08:13:02,-24.5
2023/11/30,08:13:03,-24.3
2023/11/30,08:13:04,-24.2
2023/11/30,08:13:05,-24.0
2023/11/30,08:13:06,-24.0
2023/11/30,08:13:07,-24.1
2023/11/30,08:13:08,-24.0
2023/11/30,08:13:09,-24.0
2023/11/30,08:13:10,-20.0
2023/11/30,08:13:11,-19.8
2023/11/30,08:13:12,-19.2
2023/11/30,08:13:13,-18.9
2023/11/30,08:13:14,-18.0
2023/11/30,08:13:15,-17.7
2023/11/30,08:13:16,-16.9
2023/11/30,08:13:17,-16.6
2023/11/30,08:13:18,-16.1
2023/11/30,08:13:19,-16.1
2023/11/30,08:13:20,-15.9
2023/11/30,08:13:21,-15.9
2023/11/30,08:13:22,-15.9
2023/11/30,08:13:23,-15.9
2023/11/30,08:13:24,-15.7
2023/11/30,08:13:25,-15.6
2023/11/30,08:13:26,-15.1
2023/11/30,08:13:27,-14.7
2023/11/30,08:13:28,-14.1
2023/11/30,08:13:29,-13.8
2023/11/30,08:13:30,-13.5
2023/11/30,08:13:32,-13.3
2023/11/30,08:13:33,-13.3
2023/11/30,08:13:34,-13.6
2023/11/30,08:13:35,-13.8
2023/11/30,08:13:36,-14.3
2023/11/30,08:13:37,-14.7
2023/11/30,08:13:38,-15.5
2023/11/30,08:13:39,-15.8
2023/11/30,08:13:40,-15.8
2023/11/30,08:13:41,-15.8
2023/11/30,08:13:42,-15.3
2023/11/30,08:13:43,-15.1
2023/11/30,08:13:44,-15.0
2023/11/30,08:13:45,-15.0
2023/11/30,08:13:46,-14.8
2023/11/30,08:13:47,-14.9
2023/11/30,08:13:48,-15.4
2023/11/30,08:13:49,-15.6
2023/11/30,08:13:50,-16.2
2023/11/30,08:13:51,-16.5
2023/11/30,08:13:52,-17.2
2023/11/30,08:13:53,-17.4
2023/11/30,08:13:54,-17.6
2023/11/30,08:13:55,-17.8
2023/11/30,08:13:56,-17.8
2023/11/30,08:13:57,-17.5
2023/11/30,08:13:58,-17.4
2023/11/30,08:13:59,-16.7
2023/11/30,08:14:00,-16.2
2023/11/30,08:14:01,-14.8
2023/11/30,08:14:02,-14.0
2023/11/30,08:14:03,-12.6
2023/11/30,08:14:04,-11.9
2023/11/30,08:14:05,-11.1
2023/11/30,08:14:06,-10.8
2023/11/30,08:14:07,-10.3
2023/11/30,08:14:08,-10.1
2023/11/30,08:14:09,-9.8
2023/11/30,08:14:10,-9.9
2023/11/30,08:14:11,-10.0
2023/11/30,08:14:12,-10.0
2023/11/30,08:14:13,-11.4
2023/11/30,08:14:14,-11.5
2023/11/30,08:14:15,-11.6
2023/11/30,08:14:16,-11.7
2023/11/30,08:14:17,-11.7
2023/11/30,08:14:18,-12.0
2023/11/30,08:14:19,-12.2
2023/11/30,08:14:20,-12.9
2023/11/30,08:14:21,-13.2
2023/11/30,08:14:22,-14.1
2023/11/30,08:14:23,-14.5
2023/11/30,08:14:24,-15.6
2023/11/30,08:14:25,-21.2
2023/11/30,08:14:26,-20.9
2023/11/30,08:14:27,-17.1
2023/11/30,08:14:28,-17.0
2023/11/30,08:14:29,-16.9
2023/11/30,08:14:30,-16.6
2023/11/30,08:14:31,-16.3
2023/11/30,08:14:32,-15.5
2023/11/30,08:14:33,-15.2
2023/11/30,08:14:34,-14.6
2023/11/30,08:14:35,-14.3
2023/11/30,08:14:36,-13.6
2023/11/30,08:14:37,-13.4
2023/11/30,08:14:38,-13.1
2023/11/30,08:14:39,-13.1
2023/11/30,08:14:40,-13.2
2023/11/30,08:14:41,-13.2
2023/11/30,08:14:42,-13.2
2023/11/30,08:14:43,-12.9
2023/11/30,08:14:44,-13.0
2023/11/30,08:14:45,-12.8
2023/11/30,08:14:46,-12.7
2023/11/30,08:14:47,-12.3
2023/11/30,08:14:48,-12.2
2023/11/30,08:14:49,-11.9
2023/11/30,08:14:50,-11.7
2023/11/30,08:14:51,-11.4
2023/11/30,08:14:52,-11.0
2023/11/30,08:14:53,-10.5
