年月日,時刻,データ01(mG)
2023/11/30,07:42:51,-15.6
2023/11/30,07:42:52,-15.8
2023/11/30,07:42:53,-16.1
2023/11/30,07:42:54,-16.6
2023/11/30,07:42:55,-16.8
2023/11/30,07:42:56,-17.2
2023/11/30,07:42:57,-17.2
2023/11/30,07:42:58,-17.4
2023/11/30,07:42:59,-17.5
2023/11/30,07:43:00,-17.5
2023/11/30,07:43:01,-17.6
2023/11/30,07:43:02,-17.8
2023/11/30,07:43:03,-22.2
2023/11/30,07:43:04,-22.4
2023/11/30,07:43:05,-22.5
2023/11/30,07:43:06,-22.9
2023/11/30,07:43:07,-23.2
2023/11/30,07:43:08,-23.7
2023/11/30,07:43:09,-23.9
2023/11/30,07:43:10,-24.1
2023/11/30,07:43:11,-24.2
2023/11/30,07:43:12,-24.1
2023/11/30,07:43:13,-24.1
2023/11/30,07:43:14,-23.8
2023/11/30,07:43:15,-23.5
2023/11/30,07:43:16,-23.2
2023/11/30,07:43:17,-22.5
2023/11/30,07:43:18,-22.2
2023/11/30,07:43:19,-21.3
2023/11/30,07:43:20,-20.9
2023/11/30,07:43:21,-19.6
2023/11/30,07:43:22,-19.0
2023/11/30,07:43:23,-17.8
2023/11/30,07:43:24,-17.4
2023/11/30,07:43:25,-16.9
2023/11/30,07:43:26,-16.7
2023/11/30,07:43:27,-16.8
2023/11/30,07:43:28,-16.9
2023/11/30,07:43:29,-17.5
2023/11/30,07:43:30,-17.8
2023/11/30,07:43:31,-18.7
2023/11/30,07:43:32,-19.1
2023/11/30,07:43:33,-19.6
2023/11/30,07:43:34,-19.7
2023/11/30,07:43:35,-19.7
2023/11/30,07:43:36,-19.7
2023/11/30,07:43:37,-19.6
2023/11/30,07:43:38,-19.5
2023/11/30,07:43:39,-19.4
2023/11/30,07:43:40,-19.2
2023/11/30,07:43:41,-19.1
2023/11/30,07:43:42,-18.9
2023/11/30,07:43:43,-18.8
2023/11/30,07:43:44,-18.4
2023/11/30,07:43:45,-18.1
2023/11/30,07:43:46,-17.2
2023/11/30,07:43:47,-16.9
2023/11/30,07:43:48,-16.4
2023/11/30,07:43:49,-16.1
2023/11/30,07:43:50,-16.1
2023/11/30,07:43:51,-16.1
2023/11/30,07:43:52,-16.4
2023/11/30,07:43:53,-16.7
2023/11/30,07:43:54,-16.9
2023/11/30,07:43:55,-16.9
2023/11/30,07:43:56,-16.9
2023/11/30,07:43:57,-17.0
2023/11/30,07:43:58,-17.0
2023/11/30,07:43:59,-17.4
2023/11/30,07:44:00,-23.5
2023/11/30,07:44:01,-23.2
2023/11/30,07:44:02,-24.3
2023/11/30,07:44:03,-24.6
2023/11/30,07:44:04,-24.8
2023/11/30,07:44:05,-25.1
2023/11/30,07:44:06,-28.2
2023/11/30,07:44:07,-25.8
2023/11/30,07:44:08,-25.5
2023/11/30,07:44:09,-24.8
2023/11/30,07:44:10,-24.4
2023/11/30,07:44:11,-23.4
2023/11/30,07:44:13,-22.8
2023/11/30,07:44:14,-21.5
2023/11/30,07:44:15,-21.0
2023/11/30,07:44:16,-19.9
2023/11/30,07:44:17,-19.6
2023/11/30,07:44:18,-18.9
2023/11/30,07:44:19,-18.7
2023/11/30,07:44:20,-18.5
2023/11/30,07:44:21,-18.2
2023/11/30,07:44:22,-18.1
2023/11/30,07:44:23,-17.6
2023/11/30,07:44:24,-17.5
2023/11/30,07:44:25,-17.6
2023/11/30,07:44:26,-17.6
2023/11/30,07:44:27,-17.4
2023/11/30,07:44:28,-17.2
2023/11/30,07:44:29,-16.8
2023/11/30,07:44:30,-16.6
2023/11/30,07:44:31,-16.0
2023/11/30,07:44:32,-15.7
2023/11/30,07:44:33,-15.1
2023/11/30,07:44:34,-15.1
2023/11/30,07:44:35,-15.1
2023/11/30,07:44:36,-15.2
2023/11/30,07:44:37,-15.7
2023/11/30,07:44:38,-15.9
2023/11/30,07:44:39,-16.7
2023/11/30,07:44:40,-16.9
2023/11/30,07:44:41,-17.1
2023/11/30,07:44:42,-17.3
2023/11/30,07:44:43,-17.2
2023/11/30,07:44:44,-17.0
2023/11/30,07:44:45,-16.8
2023/11/30,07:44:46,-16.0
2023/11/30,07:44:47,-15.5
2023/11/30,07:44:48,-14.6
2023/11/30,07:44:49,-14.1
2023/11/30,07:44:50,-13.1
2023/11/30,07:44:51,-12.8
2023/11/30,07:44:52,-12.8
2023/11/30,07:44:53,-12.9
2023/11/30,07:44:54,-13.4
2023/11/30,07:44:55,-13.7
2023/11/30,07:44:56,-14.0
2023/11/30,07:44:57,-14.1
2023/11/30,07:44:58,-14.1
2023/11/30,07:44:59,-14.0
2023/11/30,07:45:00,-13.4
2023/11/30,07:45:01,-13.1
2023/11/30,07:45:02,-12.8
2023/11/30,07:45:03,-12.8
2023/11/30,07:45:04,-13.0
