年月日,時刻,データ01(mG)
2023/11/30,08:20:47,-12.2
2023/11/30,08:20:48,-15.3
2023/11/30,08:20:49,-15.4
2023/11/30,08:20:50,-15.7
2023/11/30,08:20:51,-15.7
2023/11/30,08:20:52,-15.5
2023/11/30,08:20:53,-15.2
2023/11/30,08:20:54,-15.0
2023/11/30,08:20:55,-14.9
2023/11/30,08:20:56,-14.9
2023/11/30,08:20:57,-15.3
2023/11/30,08:20:58,-15.5
2023/11/30,08:20:59,-15.4
2023/11/30,08:21:00,-15.2
2023/11/30,08:21:01,-14.7
2023/11/30,08:21:02,-14.6
2023/11/30,08:21:03,-14.5
2023/11/30,08:21:04,-14.4
2023/11/30,08:21:05,-14.2
2023/11/30,08:21:06,-14.0
2023/11/30,08:21:07,-13.5
2023/11/30,08:21:08,-13.4
2023/11/30,08:21:09,-13.4
2023/11/30,08:21:10,-13.4
2023/11/30,08:21:11,-17.4
2023/11/30,08:21:12,-19.7
2023/11/30,08:21:13,-19.9
2023/11/30,08:21:14,-20.0
2023/11/30,08:21:15,-20.3
2023/11/30,08:21:16,-20.8
2023/11/30,08:21:17,-21.0
2023/11/30,08:21:18,-21.5
2023/11/30,08:21:19,-21.6
2023/11/30,08:21:20,-21.9
2023/11/30,08:21:21,-22.0
2023/11/30,08:21:22,-21.8
2023/11/30,08:21:23,-21.5
2023/11/30,08:21:24,-21.2
2023/11/30,08:21:25,-21.2
2023/11/30,08:21:26,-26.6
2023/11/30,08:21:27,-26.6
2023/11/30,08:21:28,-27.0
2023/11/30,08:21:29,-27.2
2023/11/30,08:21:30,-27.5
2023/11/30,08:21:31,-27.5
2023/11/30,08:21:32,-27.6
2023/11/30,08:21:33,-27.5
2023/11/30,08:21:34,-27.1
2023/11/30,08:21:35,-26.6
2023/11/30,08:21:36,-25.6
2023/11/30,08:21:37,-25.2
2023/11/30,08:21:38,-21.7
2023/11/30,08:21:39,-21.5
2023/11/30,08:21:40,-21.3
2023/11/30,08:21:41,-20.8
2023/11/30,08:21:42,-20.4
2023/11/30,08:21:43,-19.6
2023/11/30,08:21:44,-19.2
2023/11/30,08:21:45,-18.2
2023/11/30,08:21:46,-17.8
2023/11/30,08:21:47,-17.1
2023/11/30,08:21:48,-16.9
2023/11/30,08:21:49,-16.5
2023/11/30,08:21:50,-16.4
2023/11/30,08:21:51,-16.2
2023/11/30,08:21:52,-16.1
2023/11/30,08:21:53,-15.8
2023/11/30,08:21:54,-15.6
2023/11/30,08:21:55,-15.3
2023/11/30,08:21:56,-15.3
2023/11/30,08:21:57,-15.4
2023/11/30,08:21:58,-15.5
