年月日,時刻,データ01(mG)
2023/11/30,07:32:32,-49.6
2023/11/30,07:32:33,-49.5
2023/11/30,07:32:34,-49.5
2023/11/30,07:32:35,-46.3
2023/11/30,07:32:36,-46.1
2023/11/30,07:32:37,-45.9
2023/11/30,07:32:38,-45.7
2023/11/30,07:32:39,-45.7
2023/11/30,07:32:40,-45.3
2023/11/30,07:32:41,-45.0
2023/11/30,07:32:42,-44.4
2023/11/30,07:32:43,-44.1
2023/11/30,07:32:44,-44.0
2023/11/30,07:32:45,-43.8
2023/11/30,07:32:46,-43.8
2023/11/30,07:32:47,-43.3
2023/11/30,07:32:48,-43.1
2023/11/30,07:32:49,-43.2
2023/11/30,07:32:50,-43.3
2023/11/30,07:32:51,-43.5
2023/11/30,07:32:52,-36.0
2023/11/30,07:32:53,-14.3
2023/11/30,07:32:54,-14.2
2023/11/30,07:32:55,-13.8
2023/11/30,07:32:56,-13.7
2023/11/30,07:32:57,-17.1
2023/11/30,07:32:58,-17.2
2023/11/30,07:32:59,-17.6
2023/11/30,07:33:00,-16.8
2023/11/30,07:33:01,-12.9
2023/11/30,07:33:02,-19.5
2023/11/30,07:33:03,-15.3
2023/11/30,07:33:04,-15.4
2023/11/30,07:33:05,-15.9
2023/11/30,07:33:06,-16.2
2023/11/30,07:33:07,-16.6
2023/11/30,07:33:08,-17.2
2023/11/30,07:33:09,-21.4
2023/11/30,07:33:10,-21.4
2023/11/30,07:33:11,-21.5
2023/11/30,07:33:12,-21.8
2023/11/30,07:33:13,-21.9
2023/11/30,07:33:14,-21.8
2023/11/30,07:33:15,-21.8
2023/11/30,07:33:16,-21.3
2023/11/30,07:33:17,-21.2
2023/11/30,07:33:18,-21.0
2023/11/30,07:33:19,-20.8
2023/11/30,07:33:20,-20.7
2023/11/30,07:33:21,-20.5
2023/11/30,07:33:22,-20.6
2023/11/30,07:33:23,-20.8
2023/11/30,07:33:24,-21.1
2023/11/30,07:33:25,-21.3
2023/11/30,07:33:26,-21.9
2023/11/30,07:33:27,-22.1
2023/11/30,07:33:28,-21.9
2023/11/30,07:33:29,-22.0
2023/11/30,07:33:30,-22.0
2023/11/30,07:33:31,-18.5
2023/11/30,07:33:32,-18.4
2023/11/30,07:33:33,-18.7
2023/11/30,07:33:34,-18.7
2023/11/30,07:33:35,-18.7
2023/11/30,07:33:36,-18.8
2023/11/30,07:33:37,-18.8
2023/11/30,07:33:38,-19.0
2023/11/30,07:33:39,-19.1
2023/11/30,07:33:40,-19.2
2023/11/30,07:33:41,-15.5
2023/11/30,07:33:42,-20.2
2023/11/30,07:33:43,-20.0
2023/11/30,07:33:44,-20.0
2023/11/30,07:33:45,-23.1
2023/11/30,07:33:46,-23.1
2023/11/30,07:33:47,-23.0
2023/11/30,07:33:48,-22.8
2023/11/30,07:33:49,-22.7
2023/11/30,07:33:50,-22.5
2023/11/30,07:33:51,-22.4
2023/11/30,07:33:52,-22.2
2023/11/30,07:33:53,-19.1
2023/11/30,07:33:54,-19.1
2023/11/30,07:33:55,-19.0
2023/11/30,07:33:56,-18.8
2023/11/30,07:33:57,-18.7
2023/11/30,07:33:58,-18.2
