年月日,時刻,データ01(mG)
2023/11/30,07:59:54,-17.2
2023/11/30,07:59:55,-16.7
2023/11/30,07:59:56,-15.6
2023/11/30,07:59:57,-15.1
2023/11/30,07:59:58,-15.9
2023/11/30,07:59:59,-16.0
2023/11/30,08:00:00,-16.0
2023/11/30,08:00:01,-16.0
2023/11/30,08:00:02,-16.3
2023/11/30,08:00:03,-16.5
2023/11/30,08:00:04,-16.5
2023/11/30,08:00:05,-16.5
2023/11/30,08:00:06,-21.5
2023/11/30,08:00:07,-21.4
2023/11/30,08:00:08,-21.2
2023/11/30,08:00:09,-21.0
2023/11/30,08:00:10,-20.8
2023/11/30,08:00:11,-20.3
2023/11/30,08:00:12,-20.0
2023/11/30,08:00:13,-19.3
2023/11/30,08:00:14,-19.0
2023/11/30,08:00:15,-17.9
2023/11/30,08:00:16,-17.4
2023/11/30,08:00:17,-16.7
2023/11/30,08:00:18,-16.5
2023/11/30,08:00:19,-16.4
2023/11/30,08:00:20,-16.4
2023/11/30,08:00:21,-16.6
2023/11/30,08:00:22,-16.6
2023/11/30,08:00:23,-17.2
2023/11/30,08:00:24,-17.6
2023/11/30,08:00:25,-18.2
2023/11/30,08:00:26,-18.4
2023/11/30,08:00:27,-18.6
2023/11/30,08:00:28,-18.7
2023/11/30,08:00:29,-18.5
2023/11/30,08:00:30,-18.4
2023/11/30,08:00:31,-18.0
2023/11/30,08:00:32,-17.8
2023/11/30,08:00:33,-17.6
2023/11/30,08:00:34,-17.3
2023/11/30,08:00:35,-17.1
2023/11/30,08:00:36,-16.9
2023/11/30,08:00:37,-16.7
2023/11/30,08:00:38,-16.3
2023/11/30,08:00:39,-16.0
2023/11/30,08:00:40,-15.4
2023/11/30,08:00:41,-15.1
2023/11/30,08:00:42,-14.4
2023/11/30,08:00:43,-14.2
2023/11/30,08:00:44,-14.1
2023/11/30,08:00:45,-14.3
2023/11/30,08:00:46,-15.4
2023/11/30,08:00:47,-24.0
2023/11/30,08:00:48,-24.0
2023/11/30,08:00:49,-24.0
2023/11/30,08:00:50,-21.1
2023/11/30,08:00:51,-21.0
2023/11/30,08:00:52,-20.4
2023/11/30,08:00:53,-20.1
2023/11/30,08:00:54,-19.8
2023/11/30,08:00:55,-19.4
2023/11/30,08:00:56,-19.2
2023/11/30,08:00:57,-18.6
2023/11/30,08:00:58,-18.3
2023/11/30,08:00:59,-18.4
2023/11/30,08:01:00,-24.2
2023/11/30,08:01:01,-24.2
2023/11/30,08:01:03,-24.2
2023/11/30,08:01:04,-24.4
2023/11/30,08:01:05,-22.8
2023/11/30,08:01:06,-19.5
2023/11/30,08:01:07,-19.5
2023/11/30,08:01:08,-19.6
2023/11/30,08:01:09,-19.7
2023/11/30,08:01:10,-19.9
2023/11/30,08:01:11,-20.0
2023/11/30,08:01:12,-20.4
2023/11/30,08:01:13,-20.6
2023/11/30,08:01:14,-20.9
2023/11/30,08:01:15,-21.0
2023/11/30,08:01:16,-21.2
2023/11/30,08:01:17,-21.2
2023/11/30,08:01:18,-21.2
2023/11/30,08:01:19,-20.8
2023/11/30,08:01:20,-20.6
2023/11/30,08:01:21,-20.2
2023/11/30,08:01:22,-20.0
2023/11/30,08:01:23,-19.7
2023/11/30,08:01:24,-19.5
2023/11/30,08:01:25,-19.0
2023/11/30,08:01:26,-18.8
2023/11/30,08:01:27,-18.6
2023/11/30,08:01:28,-18.6
2023/11/30,08:01:29,-18.6
2023/11/30,08:01:30,-18.6
2023/11/30,08:01:31,-18.9
2023/11/30,08:01:32,-19.0
2023/11/30,08:01:33,-19.5
2023/11/30,08:01:34,-19.8
2023/11/30,08:01:35,-20.3
2023/11/30,08:01:36,-20.5
2023/11/30,08:01:37,-20.2
2023/11/30,08:01:38,-20.0
2023/11/30,08:01:39,-19.5
2023/11/30,08:01:40,-19.2
2023/11/30,08:01:41,-19.0
2023/11/30,08:01:42,-18.5
2023/11/30,08:01:43,-18.3
2023/11/30,08:01:44,-18.3
2023/11/30,08:01:45,-18.4
2023/11/30,08:01:46,-18.8
2023/11/30,08:01:47,-19.1
2023/11/30,08:01:48,-19.7
2023/11/30,08:01:49,-20.0
2023/11/30,08:01:50,-20.4
2023/11/30,08:01:51,-20.5
2023/11/30,08:01:52,-20.6
2023/11/30,08:01:53,-20.7
2023/11/30,08:01:54,-20.6
2023/11/30,08:01:55,-20.4
2023/11/30,08:01:56,-20.1
2023/11/30,08:01:57,-20.0
2023/11/30,08:01:58,-19.5
2023/11/30,08:01:59,-19.2
2023/11/30,08:02:00,-18.4
2023/11/30,08:02:01,-18.0
2023/11/30,08:02:02,-17.6
2023/11/30,08:02:03,-16.7
2023/11/30,08:02:04,-16.1
2023/11/30,08:02:05,-14.7
2023/11/30,08:02:06,-13.9
2023/11/30,08:02:07,-12.8
2023/11/30,08:02:08,-12.3
2023/11/30,08:02:09,-11.2
2023/11/30,08:02:10,-11.0
2023/11/30,08:02:11,-10.7
2023/11/30,08:02:12,-10.6
2023/11/30,08:02:13,-10.7
2023/11/30,08:02:14,-14.0
2023/11/30,08:02:15,-14.3
2023/11/30,08:02:16,-14.5
2023/11/30,08:02:17,-15.0
2023/11/30,08:02:18,-15.3
2023/11/30,08:02:19,-16.1
2023/11/30,08:02:20,-16.5
2023/11/30,08:02:21,-17.5
2023/11/30,08:02:22,-18.1
2023/11/30,08:02:23,-18.8
2023/11/30,08:02:24,-19.0
2023/11/30,08:02:25,-19.3
2023/11/30,08:02:26,-19.8
2023/11/30,08:02:27,-20.0
2023/11/30,08:02:28,-20.5
2023/11/30,08:02:29,-20.7
2023/11/30,08:02:30,-21.0
2023/11/30,08:02:31,-21.0
2023/11/30,08:02:32,-21.2
2023/11/30,08:02:33,-21.2
2023/11/30,08:02:34,-21.0
2023/11/30,08:02:35,-20.8
2023/11/30,08:02:36,-20.1
2023/11/30,08:02:37,-19.8
2023/11/30,08:02:38,-19.0
2023/11/30,08:02:39,-18.7
2023/11/30,08:02:40,-17.7
2023/11/30,08:02:41,-17.3
2023/11/30,08:02:42,-18.7
2023/11/30,08:02:43,-18.7
2023/11/30,08:02:44,-18.5
2023/11/30,08:02:45,-18.4
2023/11/30,08:02:46,-18.1
2023/11/30,08:02:47,-18.0
2023/11/30,08:02:48,-18.0
2023/11/30,08:02:49,-17.7
2023/11/30,08:02:50,-17.6
2023/11/30,08:02:51,-17.1
2023/11/30,08:02:52,-16.8
2023/11/30,08:02:53,-16.3
2023/11/30,08:02:54,-16.1
2023/11/30,08:02:55,-15.7
2023/11/30,08:02:56,-15.5
2023/11/30,08:02:57,-15.1
2023/11/30,08:02:58,-15.0
2023/11/30,08:02:59,-15.0
2023/11/30,08:03:00,-15.0
2023/11/30,08:03:01,-15.0
2023/11/30,08:03:02,-14.9
2023/11/30,08:03:03,-14.9
2023/11/30,08:03:04,-14.7
2023/11/30,08:03:05,-14.2
2023/11/30,08:03:06,-13.8
2023/11/30,08:03:07,-13.3
2023/11/30,08:03:08,-13.1
2023/11/30,08:03:09,-13.0
2023/11/30,08:03:10,-12.8
2023/11/30,08:03:11,-12.6
2023/11/30,08:03:12,-12.1
2023/11/30,08:03:13,-12.1
2023/11/30,08:03:14,-12.3
2023/11/30,08:03:15,-12.4
2023/11/30,08:03:16,-12.6
2023/11/30,08:03:17,-12.8
2023/11/30,08:03:18,-13.4
2023/11/30,08:03:19,-13.6
2023/11/30,08:03:20,-13.7
2023/11/30,08:03:21,-14.6
2023/11/30,08:03:22,-15.0
2023/11/30,08:03:23,-15.3
2023/11/30,08:03:24,-16.0
2023/11/30,08:03:25,-16.3
2023/11/30,08:03:26,-17.3
2023/11/30,08:03:27,-17.8
2023/11/30,08:03:28,-19.0
2023/11/30,08:03:29,-19.6
2023/11/30,08:03:30,-20.1
2023/11/30,08:03:31,-20.3
2023/11/30,08:03:32,-20.5
2023/11/30,08:03:33,-20.6
2023/11/30,08:03:34,-20.6
2023/11/30,08:03:35,-20.3
2023/11/30,08:03:36,-20.2
2023/11/30,08:03:37,-20.1
2023/11/30,08:03:38,-20.1
2023/11/30,08:03:39,-20.2
2023/11/30,08:03:40,-20.3
2023/11/30,08:03:41,-20.7
2023/11/30,08:03:42,-20.9
2023/11/30,08:03:43,-22.0
2023/11/30,08:03:44,-22.3
2023/11/30,08:03:45,-22.7
2023/11/30,08:03:46,-23.0
2023/11/30,08:03:47,-23.7
2023/11/30,08:03:48,-24.1
2023/11/30,08:03:49,-25.0
2023/11/30,08:03:50,-25.2
2023/11/30,08:03:51,-25.1
2023/11/30,08:03:52,-25.3
2023/11/30,08:03:53,-25.6
2023/11/30,08:03:54,-25.6
2023/11/30,08:03:55,-26.3
2023/11/30,08:03:56,-26.1
2023/11/30,08:03:57,-25.9
2023/11/30,08:03:58,-25.3
2023/11/30,08:03:59,-24.9
2023/11/30,08:04:01,-23.9
2023/11/30,08:04:02,-23.3
2023/11/30,08:04:03,-22.1
2023/11/30,08:04:04,-16.9
2023/11/30,08:04:05,-17.0
2023/11/30,08:04:06,-17.1
2023/11/30,08:04:07,-17.6
2023/11/30,08:04:08,-18.0
2023/11/30,08:04:09,-18.9
2023/11/30,08:04:10,-19.1
2023/11/30,08:04:11,-19.2
