年月日,時刻,データ01(mG)
2023/11/30,09:25:03,-12.2
2023/11/30,09:25:04,-12.3
2023/11/30,09:25:05,-12.5
2023/11/30,09:25:06,-12.6
2023/11/30,09:25:07,-13.0
2023/11/30,09:25:08,-13.3
2023/11/30,09:25:09,-13.9
2023/11/30,09:25:10,-14.1
2023/11/30,09:25:11,-14.7
2023/11/30,09:25:12,-14.9
2023/11/30,09:25:13,-15.1
2023/11/30,09:25:14,-15.1
2023/11/30,09:25:15,-14.9
2023/11/30,09:25:16,-14.5
2023/11/30,09:25:17,-13.2
2023/11/30,09:25:18,-11.2
2023/11/30,09:25:19,-11.1
2023/11/30,09:25:20,-11.0
2023/11/30,09:25:21,-5.6
2023/11/30,09:25:22,-5.5
2023/11/30,09:25:23,-5.4
2023/11/30,09:25:24,-5.3
2023/11/30,09:25:25,-5.1
2023/11/30,09:25:27,-5.0
2023/11/30,09:25:28,-5.0
2023/11/30,09:25:29,-5.1
2023/11/30,09:25:30,-5.2
2023/11/30,09:25:31,-6.0
2023/11/30,09:25:32,-6.3
2023/11/30,09:25:33,-6.9
2023/11/30,09:25:34,-7.2
2023/11/30,09:25:35,-7.5
2023/11/30,09:25:36,-7.7
2023/11/30,09:25:37,-8.3
2023/11/30,09:25:38,-8.5
2023/11/30,09:25:39,-8.5
2023/11/30,09:25:40,-8.5
2023/11/30,09:25:41,-8.2
2023/11/30,09:25:42,-8.0
2023/11/30,09:25:43,-8.0
2023/11/30,09:25:44,-8.1
2023/11/30,09:25:45,-11.0
2023/11/30,09:25:46,-11.0
2023/11/30,09:25:47,-11.0
2023/11/30,09:25:48,-10.7
2023/11/30,09:25:49,-10.6
2023/11/30,09:25:50,-10.3
2023/11/30,09:25:51,-10.1
2023/11/30,09:25:52,-10.0
2023/11/30,09:25:53,-9.8
2023/11/30,09:25:54,-9.1
2023/11/30,09:25:55,-8.8
2023/11/30,09:25:56,-8.3
2023/11/30,09:25:57,-8.0
2023/11/30,09:25:58,-7.4
2023/11/30,09:25:59,-7.1
2023/11/30,09:26:00,-6.1
2023/11/30,09:26:01,-5.8
2023/11/30,09:26:02,-5.5
2023/11/30,09:26:03,-5.2
