年月日,時刻,データ01(mG)
2023/11/30,09:36:58,-6.7
2023/11/30,09:36:59,-6.6
2023/11/30,09:37:00,-6.6
2023/11/30,09:37:01,-6.7
2023/11/30,09:37:02,-6.9
2023/11/30,09:37:03,-7.2
2023/11/30,09:37:04,-7.6
2023/11/30,09:37:05,-8.2
2023/11/30,09:37:06,-8.5
2023/11/30,09:37:07,-9.1
2023/11/30,09:37:08,-9.5
2023/11/30,09:37:09,-9.9
2023/11/30,09:37:10,-10.0
2023/11/30,09:37:11,-10.4
2023/11/30,09:37:12,-10.5
2023/11/30,09:37:13,-10.6
2023/11/30,09:37:14,-10.7
2023/11/30,09:37:15,-10.8
2023/11/30,09:37:16,-11.4
2023/11/30,09:37:17,-11.7
2023/11/30,09:37:18,-12.4
2023/11/30,09:37:19,-12.7
2023/11/30,09:37:20,-12.9
2023/11/30,09:37:21,-13.0
2023/11/30,09:37:22,-13.1
2023/11/30,09:37:23,-13.1
2023/11/30,09:37:24,-12.7
2023/11/30,09:37:25,-12.6
2023/11/30,09:37:26,-12.2
2023/11/30,09:37:27,-12.0
2023/11/30,09:37:28,-11.7
2023/11/30,09:37:29,-11.5
2023/11/30,09:37:30,-10.9
2023/11/30,09:37:31,-10.5
2023/11/30,09:37:32,-9.4
2023/11/30,09:37:33,-9.3
2023/11/30,09:37:34,-8.8
2023/11/30,09:37:35,-8.5
2023/11/30,09:37:36,-8.3
2023/11/30,09:37:37,-8.1
2023/11/30,09:37:38,-7.9
2023/11/30,09:37:39,-7.4
2023/11/30,09:37:40,-7.0
2023/11/30,09:37:41,-6.3
2023/11/30,09:37:42,-6.3
2023/11/30,09:37:43,-6.2
2023/11/30,09:37:44,-6.0
2023/11/30,09:37:45,-5.9
2023/11/30,09:37:46,-5.8
2023/11/30,09:37:47,-6.2
2023/11/30,09:37:48,-6.6
2023/11/30,09:37:49,-7.7
2023/11/30,09:37:50,-8.2
2023/11/30,09:37:51,-9.0
2023/11/30,09:37:52,-9.4
2023/11/30,09:37:53,-10.1
2023/11/30,09:37:54,-10.4
2023/11/30,09:37:55,-10.8
2023/11/30,09:37:56,-10.9
2023/11/30,09:37:57,-10.9
2023/11/30,09:37:58,-10.7
2023/11/30,09:37:59,-10.7
2023/11/30,09:38:00,-10.7
2023/11/30,09:38:01,-10.7
2023/11/30,09:38:02,-10.8
2023/11/30,09:38:03,-10.9
2023/11/30,09:38:04,-11.1
2023/11/30,09:38:05,-11.2
2023/11/30,09:38:06,-11.7
2023/11/30,09:38:07,-12.0
2023/11/30,09:38:08,-12.7
2023/11/30,09:38:09,-13.0
2023/11/30,09:38:10,-13.5
2023/11/30,09:38:11,-13.7
2023/11/30,09:38:12,-14.2
2023/11/30,09:38:13,-14.4
2023/11/30,09:38:14,-14.9
2023/11/30,09:38:15,-15.0
2023/11/30,09:38:16,-15.2
2023/11/30,09:38:17,-15.3
2023/11/30,09:38:18,-15.4
2023/11/30,09:38:19,-15.4
2023/11/30,09:38:20,-15.2
2023/11/30,09:38:21,-15.1
2023/11/30,09:38:22,-14.8
2023/11/30,09:38:23,-14.6
2023/11/30,09:38:24,-14.5
2023/11/30,09:38:25,-14.2
2023/11/30,09:38:26,-14.1
2023/11/30,09:38:27,-14.0
2023/11/30,09:38:29,-13.9
