年月日,時刻,データ01(mG)
2023/11/30,08:47:09,-33.8
2023/11/30,08:47:10,-33.8
2023/11/30,08:47:11,-33.9
2023/11/30,08:47:12,-33.8
2023/11/30,08:47:13,-33.8
2023/11/30,08:47:14,-33.7
2023/11/30,08:47:15,-33.4
2023/11/30,08:47:16,-33.3
2023/11/30,08:47:17,-34.2
2023/11/30,08:47:18,-34.5
2023/11/30,08:47:19,-34.5
2023/11/30,08:47:20,-34.6
2023/11/30,08:47:21,-34.6
2023/11/30,08:47:22,-34.3
2023/11/30,08:47:23,-34.3
2023/11/30,08:47:24,-34.2
2023/11/30,08:47:25,-34.2
2023/11/30,08:47:26,-37.7
2023/11/30,08:47:27,-37.7
2023/11/30,08:47:28,-39.7
2023/11/30,08:47:29,-27.2
2023/11/30,08:47:30,-15.5
2023/11/30,08:47:31,-15.3
2023/11/30,08:47:32,-14.9
2023/11/30,08:47:33,-14.6
2023/11/30,08:47:34,-13.7
2023/11/30,08:47:35,-13.1
2023/11/30,08:47:36,-11.8
2023/11/30,08:47:37,-10.9
2023/11/30,08:47:38,-13.6
2023/11/30,08:47:39,-13.6
2023/11/30,08:47:40,-13.6
2023/11/30,08:47:41,-13.8
2023/11/30,08:47:42,-14.0
2023/11/30,08:47:43,-19.1
2023/11/30,08:47:44,-19.2
2023/11/30,08:47:45,-23.4
2023/11/30,08:47:46,-23.4
2023/11/30,08:47:47,-23.5
2023/11/30,08:47:48,-23.6
2023/11/30,08:47:49,-23.4
2023/11/30,08:47:50,-23.3
2023/11/30,08:47:51,-23.2
2023/11/30,08:47:52,-22.9
2023/11/30,08:47:53,-18.0
2023/11/30,08:47:54,-17.8
2023/11/30,08:47:55,-17.3
2023/11/30,08:47:56,-11.5
2023/11/30,08:47:57,-11.3
2023/11/30,08:47:58,-11.2
2023/11/30,08:47:59,-10.9
2023/11/30,08:48:00,-10.8
2023/11/30,08:48:01,-10.8
2023/11/30,08:48:02,-10.8
2023/11/30,08:48:03,-10.7
2023/11/30,08:48:04,-10.7
2023/11/30,08:48:05,-10.6
2023/11/30,08:48:06,-10.6
2023/11/30,08:48:07,-10.7
2023/11/30,08:48:08,-10.7
2023/11/30,08:48:09,-10.7
2023/11/30,08:48:10,-14.4
2023/11/30,08:48:11,-14.5
2023/11/30,08:48:12,-14.7
2023/11/30,08:48:13,-14.9
2023/11/30,08:48:14,-15.4
2023/11/30,08:48:15,-15.6
2023/11/30,08:48:16,-16.1
2023/11/30,08:48:17,-16.4
2023/11/30,08:48:18,-16.9
2023/11/30,08:48:19,-17.0
2023/11/30,08:48:20,-17.2
2023/11/30,08:48:21,-17.1
2023/11/30,08:48:22,-16.8
2023/11/30,08:48:23,-16.5
2023/11/30,08:48:24,-15.8
2023/11/30,08:48:25,-15.3
2023/11/30,08:48:26,-14.8
2023/11/30,08:48:27,-14.8
2023/11/30,08:48:28,-14.7
2023/11/30,08:48:29,-14.8
2023/11/30,08:48:30,-14.8
2023/11/30,08:48:31,-15.3
2023/11/30,08:48:32,-15.6
2023/11/30,08:48:33,-16.3
2023/11/30,08:48:34,-16.5
2023/11/30,08:48:35,-16.5
2023/11/30,08:48:36,-16.4
2023/11/30,08:48:37,-16.0
2023/11/30,08:48:38,-15.8
2023/11/30,08:48:39,-10.8
2023/11/30,08:48:40,-10.9
2023/11/30,08:48:41,-11.0
2023/11/30,08:48:42,-11.0
2023/11/30,08:48:43,-11.0
2023/11/30,08:48:44,-10.9
2023/11/30,08:48:45,-10.8
2023/11/30,08:48:46,-10.8
2023/11/30,08:48:47,-10.9
2023/11/30,08:48:48,-14.3
2023/11/30,08:48:49,-14.7
2023/11/30,08:48:50,-15.0
2023/11/30,08:48:51,-15.6
2023/11/30,08:48:52,-16.0
2023/11/30,08:48:53,-16.8
2023/11/30,08:48:54,-17.2
2023/11/30,08:48:55,-17.6
2023/11/30,08:48:56,-18.4
2023/11/30,08:48:57,-18.7
2023/11/30,08:48:58,-18.8
2023/11/30,08:48:59,-19.0
2023/11/30,08:49:00,-18.9
2023/11/30,08:49:01,-18.7
2023/11/30,08:49:02,-18.1
2023/11/30,08:49:03,-17.9
2023/11/30,08:49:04,-17.4
2023/11/30,08:49:05,-17.0
2023/11/30,08:49:06,-16.4
2023/11/30,08:49:07,-16.1
2023/11/30,08:49:08,-15.4
2023/11/30,08:49:09,-15.1
2023/11/30,08:49:10,-14.7
2023/11/30,08:49:11,-14.4
2023/11/30,08:49:12,-14.0
2023/11/30,08:49:13,-13.9
2023/11/30,08:49:14,-13.4
2023/11/30,08:49:15,-13.1
2023/11/30,08:49:16,-12.8
2023/11/30,08:49:17,-12.3
2023/11/30,08:49:18,-12.0
2023/11/30,08:49:19,-11.2
2023/11/30,08:49:20,-10.8
2023/11/30,08:49:22,-10.5
2023/11/30,08:49:23,-10.3
2023/11/30,08:49:24,-10.4
2023/11/30,08:49:25,-10.6
2023/11/30,08:49:26,-11.1
2023/11/30,08:49:27,-10.2
2023/11/30,08:49:28,-10.1
2023/11/30,08:49:29,-10.1
2023/11/30,08:49:30,-9.9
2023/11/30,08:49:31,-9.9
2023/11/30,08:49:32,-9.8
2023/11/30,08:49:33,-9.7
2023/11/30,08:49:34,-9.3
2023/11/30,08:49:35,-9.1
2023/11/30,08:49:36,-9.3
2023/11/30,08:49:37,-11.9
2023/11/30,08:49:38,-11.8
2023/11/30,08:49:39,-12.0
2023/11/30,08:49:40,-12.4
2023/11/30,08:49:41,-12.7
2023/11/30,08:49:42,-13.0
2023/11/30,08:49:43,-13.5
2023/11/30,08:49:44,-13.7
2023/11/30,08:49:45,-13.8
2023/11/30,08:49:46,-13.8
2023/11/30,08:49:47,-13.5
2023/11/30,08:49:48,-13.2
2023/11/30,08:49:49,-12.4
2023/11/30,08:49:50,-12.0
2023/11/30,08:49:51,-11.2
2023/11/30,08:49:52,-11.0
2023/11/30,08:49:53,-10.6
2023/11/30,08:49:54,-10.5
2023/11/30,08:49:55,-10.6
2023/11/30,08:49:56,-10.8
2023/11/30,08:49:57,-10.9
2023/11/30,08:49:58,-11.1
2023/11/30,08:49:59,-17.1
2023/11/30,08:50:00,-17.2
2023/11/30,08:50:01,-17.2
2023/11/30,08:50:02,-17.2
2023/11/30,08:50:03,-17.1
2023/11/30,08:50:04,-16.6
2023/11/30,08:50:05,-16.3
2023/11/30,08:50:06,-15.8
2023/11/30,08:50:07,-15.5
2023/11/30,08:50:08,-14.7
2023/11/30,08:50:09,-14.3
2023/11/30,08:50:10,-13.7
2023/11/30,08:50:11,-13.5
2023/11/30,08:50:12,-13.4
2023/11/30,08:50:13,-13.4
2023/11/30,08:50:14,-13.7
2023/11/30,08:50:15,-13.8
2023/11/30,08:50:16,-13.7
2023/11/30,08:50:17,-13.7
2023/11/30,08:50:18,-13.9
2023/11/30,08:50:19,-13.9
2023/11/30,08:50:20,-13.7
2023/11/30,08:50:21,-13.4
2023/11/30,08:50:22,-12.6
2023/11/30,08:50:23,-12.5
2023/11/30,08:50:24,-12.8
2023/11/30,08:50:25,-12.9
2023/11/30,08:50:26,-11.4
2023/11/30,08:50:27,-11.4
2023/11/30,08:50:28,-11.2
2023/11/30,08:50:29,-11.1
2023/11/30,08:50:30,-11.0
2023/11/30,08:50:31,-11.1
2023/11/30,08:50:32,-11.2
2023/11/30,08:50:33,-11.8
2023/11/30,08:50:34,-12.1
2023/11/30,08:50:35,-12.7
2023/11/30,08:50:36,-13.1
2023/11/30,08:50:37,-13.9
2023/11/30,08:50:38,-14.2
2023/11/30,08:50:39,-14.8
2023/11/30,08:50:40,-14.8
2023/11/30,08:50:41,-14.5
2023/11/30,08:50:42,-16.2
2023/11/30,08:50:43,-16.4
2023/11/30,08:50:44,-16.6
2023/11/30,08:50:45,-16.9
2023/11/30,08:50:46,-17.1
2023/11/30,08:50:47,-17.6
2023/11/30,08:50:48,-17.9
2023/11/30,08:50:49,-15.9
2023/11/30,08:50:50,-15.7
2023/11/30,08:50:51,-15.2
2023/11/30,08:50:52,-15.0
2023/11/30,08:50:53,-14.6
2023/11/30,08:50:54,-14.5
2023/11/30,08:50:55,-14.4
2023/11/30,08:50:56,-14.1
2023/11/30,08:50:57,-14.0
2023/11/30,08:50:58,-14.3
2023/11/30,08:50:59,-14.7
2023/11/30,08:51:00,-14.9
2023/11/30,08:51:01,-15.1
2023/11/30,08:51:02,-15.1
2023/11/30,08:51:03,-14.8
2023/11/30,08:51:04,-8.5
2023/11/30,08:51:05,-8.5
2023/11/30,08:51:06,-8.7
2023/11/30,08:51:07,-9.0
2023/11/30,08:51:08,-9.9
2023/11/30,08:51:09,-10.5
2023/11/30,08:51:10,-11.5
2023/11/30,08:51:11,-11.9
2023/11/30,08:51:12,-13.0
2023/11/30,08:51:13,-13.5
2023/11/30,08:51:14,-14.5
2023/11/30,08:51:15,-14.8
2023/11/30,08:51:16,-15.0
2023/11/30,08:51:17,-15.0
2023/11/30,08:51:18,-15.2
2023/11/30,08:51:19,-15.2
2023/11/30,08:51:20,-15.3
2023/11/30,08:51:21,-15.5
2023/11/30,08:51:22,-15.5
2023/11/30,08:51:23,-15.5
2023/11/30,08:51:24,-15.4
2023/11/30,08:51:25,-15.3
2023/11/30,08:51:26,-15.4
2023/11/30,08:51:27,-15.5
2023/11/30,08:51:28,-15.5
2023/11/30,08:51:29,-15.4
2023/11/30,08:51:30,-15.3
2023/11/30,08:51:31,-15.2
2023/11/30,08:51:32,-15.1
2023/11/30,08:51:33,-15.2
2023/11/30,08:51:34,-15.0
2023/11/30,08:51:35,-14.9
2023/11/30,08:51:36,-14.9
2023/11/30,08:51:37,-15.1
2023/11/30,08:51:38,-15.3
2023/11/30,08:51:39,-15.7
2023/11/30,08:51:40,-16.0
2023/11/30,08:51:41,-16.8
2023/11/30,08:51:42,-22.0
2023/11/30,08:51:43,-22.1
2023/11/30,08:51:44,-22.2
2023/11/30,08:51:45,-22.3
2023/11/30,08:51:46,-22.4
2023/11/30,08:51:47,-22.5
2023/11/30,08:51:48,-25.9
2023/11/30,08:51:49,-25.9
2023/11/30,08:51:50,-25.8
2023/11/30,08:51:51,-25.6
2023/11/30,08:51:52,-21.8
2023/11/30,08:51:53,-22.1
2023/11/30,08:51:54,-22.5
2023/11/30,08:51:55,-22.7
2023/11/30,08:51:56,-22.8
2023/11/30,08:51:57,-22.7
2023/11/30,08:51:58,-22.9
2023/11/30,08:52:00,-23.0
2023/11/30,08:52:01,-22.9
2023/11/30,08:52:02,-22.7
2023/11/30,08:52:03,-21.9
2023/11/30,08:52:04,-21.5
2023/11/30,08:52:05,-21.3
2023/11/30,08:52:06,-21.3
2023/11/30,08:52:07,-20.8
2023/11/30,08:52:08,-20.6
2023/11/30,08:52:09,-20.5
2023/11/30,08:52:10,-20.2
2023/11/30,08:52:11,-20.2
2023/11/30,08:52:12,-20.4
2023/11/30,08:52:13,-20.4
2023/11/30,08:52:14,-20.0
2023/11/30,08:52:15,-19.8
2023/11/30,08:52:16,-19.3
2023/11/30,08:52:17,-19.0
2023/11/30,08:52:18,-18.3
2023/11/30,08:52:19,-18.0
2023/11/30,08:52:20,-17.1
2023/11/30,08:52:21,-16.7
2023/11/30,08:52:22,-15.9
2023/11/30,08:52:23,-15.6
2023/11/30,08:52:24,-15.0
2023/11/30,08:52:25,-14.8
2023/11/30,08:52:26,-14.2
2023/11/30,08:52:27,-13.9
2023/11/30,08:52:28,-13.5
2023/11/30,08:52:29,-13.3
2023/11/30,08:52:30,-13.1
2023/11/30,08:52:31,-16.2
2023/11/30,08:52:32,-16.2
2023/11/30,08:52:33,-16.1
2023/11/30,08:52:34,-16.0
2023/11/30,08:52:35,-15.7
2023/11/30,08:52:36,-15.6
2023/11/30,08:52:37,-11.3
2023/11/30,08:52:38,-11.2
2023/11/30,08:52:39,-11.3
2023/11/30,08:52:40,-11.3
2023/11/30,08:52:41,-11.3
2023/11/30,08:52:42,-14.2
2023/11/30,08:52:43,-14.1
2023/11/30,08:52:44,-14.0
2023/11/30,08:52:45,-13.8
2023/11/30,08:52:46,-13.7
2023/11/30,08:52:47,-13.4
2023/11/30,08:52:48,-13.3
2023/11/30,08:52:49,-13.0
2023/11/30,08:52:50,-12.8
2023/11/30,08:52:51,-12.5
2023/11/30,08:52:52,-12.5
2023/11/30,08:52:53,-12.4
2023/11/30,08:52:54,-12.4
2023/11/30,08:52:55,-12.4
2023/11/30,08:52:56,-12.4
2023/11/30,08:52:57,-12.2
2023/11/30,08:52:58,-12.2
2023/11/30,08:52:59,-12.2
2023/11/30,08:53:00,-12.3
2023/11/30,08:53:01,-12.4
2023/11/30,08:53:02,-10.2
2023/11/30,08:53:03,-10.0
2023/11/30,08:53:04,-9.6
2023/11/30,08:53:05,-9.3
2023/11/30,08:53:06,-8.9
2023/11/30,08:53:07,-8.8
2023/11/30,08:53:08,-9.0
2023/11/30,08:53:09,-9.1
2023/11/30,08:53:10,-9.4
2023/11/30,08:53:11,-9.6
2023/11/30,08:53:12,-10.0
2023/11/30,08:53:13,-10.5
2023/11/30,08:53:14,-11.2
2023/11/30,08:53:15,-11.4
2023/11/30,08:53:16,-11.2
2023/11/30,08:53:17,-11.0
2023/11/30,08:53:18,-10.8
2023/11/30,08:53:19,-10.4
2023/11/30,08:53:20,-10.3
2023/11/30,08:53:21,-10.0
2023/11/30,08:53:22,-9.9
2023/11/30,08:53:23,-10.3
2023/11/30,08:53:24,-10.6
2023/11/30,08:53:25,-11.6
2023/11/30,08:53:26,-12.2
2023/11/30,08:53:27,-13.3
2023/11/30,08:53:28,-13.8
2023/11/30,08:53:29,-14.6
2023/11/30,08:53:30,-15.0
2023/11/30,08:53:31,-15.2
2023/11/30,08:53:32,-15.3
2023/11/30,08:53:33,-15.0
2023/11/30,08:53:34,-14.7
2023/11/30,08:53:35,-10.2
2023/11/30,08:53:36,-10.1
2023/11/30,08:53:37,-10.2
2023/11/30,08:53:38,-10.3
2023/11/30,08:53:39,-10.7
2023/11/30,08:53:40,-11.0
2023/11/30,08:53:41,-11.7
2023/11/30,08:53:42,-12.1
2023/11/30,08:53:43,-12.7
2023/11/30,08:53:44,-13.0
2023/11/30,08:53:45,-17.2
2023/11/30,08:53:46,-17.4
2023/11/30,08:53:47,-17.5
2023/11/30,08:53:48,-17.9
2023/11/30,08:53:49,-18.3
2023/11/30,08:53:50,-18.8
2023/11/30,08:53:51,-19.0
2023/11/30,08:53:52,-19.1
2023/11/30,08:53:53,-18.9
2023/11/30,08:53:54,-18.1
2023/11/30,08:53:55,-17.8
2023/11/30,08:53:56,-17.0
2023/11/30,08:53:57,-16.3
