年月日,時刻,データ01(mG)
2023/11/30,08:28:37,-15.6
2023/11/30,08:28:38,-20.5
2023/11/30,08:28:39,-20.5
2023/11/30,08:28:40,-21.1
2023/11/30,08:28:41,-27.2
2023/11/30,08:28:42,-27.2
2023/11/30,08:28:43,-30.1
2023/11/30,08:28:44,-29.8
2023/11/30,08:28:45,-29.5
2023/11/30,08:28:46,-28.5
2023/11/30,08:28:47,-27.8
2023/11/30,08:28:48,-26.4
2023/11/30,08:28:49,-25.6
2023/11/30,08:28:50,-23.9
2023/11/30,08:28:51,-22.9
2023/11/30,08:28:52,-21.0
2023/11/30,08:28:53,-20.1
2023/11/30,08:28:54,-18.6
2023/11/30,08:28:55,-17.9
2023/11/30,08:28:56,-16.6
2023/11/30,08:28:57,-15.9
2023/11/30,08:28:58,-14.8
2023/11/30,08:28:59,-14.4
2023/11/30,08:29:00,-14.1
2023/11/30,08:29:01,-14.1
2023/11/30,08:29:02,-14.2
2023/11/30,08:29:03,-14.4
2023/11/30,08:29:04,-14.5
2023/11/30,08:29:05,-14.6
2023/11/30,08:29:06,-14.7
2023/11/30,08:29:07,-14.6
2023/11/30,08:29:08,-14.5
2023/11/30,08:29:09,-14.1
2023/11/30,08:29:10,-13.7
2023/11/30,08:29:11,-13.2
2023/11/30,08:29:12,-13.1
2023/11/30,08:29:13,-13.3
2023/11/30,08:29:14,-13.2
2023/11/30,08:29:15,-13.0
2023/11/30,08:29:16,-12.8
2023/11/30,08:29:17,-12.4
2023/11/30,08:29:18,-12.2
2023/11/30,08:29:19,-11.8
2023/11/30,08:29:20,-11.6
2023/11/30,08:29:21,-11.0
2023/11/30,08:29:22,-10.8
2023/11/30,08:29:23,-10.7
2023/11/30,08:29:24,-10.9
2023/11/30,08:29:25,-11.1
2023/11/30,08:29:26,-11.5
2023/11/30,08:29:27,-11.7
2023/11/30,08:29:28,-12.0
2023/11/30,08:29:29,-12.2
2023/11/30,08:29:30,-12.7
2023/11/30,08:29:31,-12.9
2023/11/30,08:29:32,-13.1
2023/11/30,08:29:33,-13.2
2023/11/30,08:29:34,-13.5
2023/11/30,08:29:35,-13.5
2023/11/30,08:29:36,-13.5
2023/11/30,08:29:37,-13.6
2023/11/30,08:29:38,-13.7
2023/11/30,08:29:39,-13.9
2023/11/30,08:29:40,-14.2
2023/11/30,08:29:41,-14.1
2023/11/30,08:29:42,-13.9
2023/11/30,08:29:43,-13.8
2023/11/30,08:29:44,-13.8
2023/11/30,08:29:45,-13.3
2023/11/30,08:29:46,-13.1
2023/11/30,08:29:47,-12.5
2023/11/30,08:29:48,-13.1
2023/11/30,08:29:49,-13.0
2023/11/30,08:29:50,-12.9
2023/11/30,08:29:51,-12.5
2023/11/30,08:29:52,-12.2
2023/11/30,08:29:53,-11.8
2023/11/30,08:29:54,-11.5
2023/11/30,08:29:55,-11.0
2023/11/30,08:29:56,-10.7
2023/11/30,08:29:57,-10.3
2023/11/30,08:29:58,-10.3
2023/11/30,08:29:59,-10.8
2023/11/30,08:30:00,-11.1
2023/11/30,08:30:01,-11.7
2023/11/30,08:30:02,-12.1
2023/11/30,08:30:03,-13.0
2023/11/30,08:30:04,-13.6
2023/11/30,08:30:05,-14.7
2023/11/30,08:30:06,-15.2
2023/11/30,08:30:07,-15.8
2023/11/30,08:30:08,-16.2
2023/11/30,08:30:09,-16.6
2023/11/30,08:30:10,-17.5
2023/11/30,08:30:11,-17.9
2023/11/30,08:30:12,-18.0
2023/11/30,08:30:13,-17.8
2023/11/30,08:30:14,-17.4
2023/11/30,08:30:15,-17.1
2023/11/30,08:30:16,-16.6
2023/11/30,08:30:17,-16.3
2023/11/30,08:30:18,-15.9
2023/11/30,08:30:19,-15.7
2023/11/30,08:30:20,-15.5
2023/11/30,08:30:21,-15.6
2023/11/30,08:30:22,-16.2
2023/11/30,08:30:23,-16.6
2023/11/30,08:30:24,-17.2
2023/11/30,08:30:25,-17.4
2023/11/30,08:30:26,-17.5
2023/11/30,08:30:27,-17.6
2023/11/30,08:30:28,-17.9
2023/11/30,08:30:29,-18.1
2023/11/30,08:30:30,-18.1
2023/11/30,08:30:31,-18.2
2023/11/30,08:30:32,-18.2
2023/11/30,08:30:33,-18.1
2023/11/30,08:30:34,-18.0
2023/11/30,08:30:35,-18.0
2023/11/30,08:30:36,-18.1
2023/11/30,08:30:37,-18.4
2023/11/30,08:30:38,-18.5
2023/11/30,08:30:39,-18.7
2023/11/30,08:30:40,-18.6
2023/11/30,08:30:41,-19.0
2023/11/30,08:30:42,-19.3
2023/11/30,08:30:43,-19.7
2023/11/30,08:30:44,-19.7
2023/11/30,08:30:45,-19.7
2023/11/30,08:30:46,-19.7
2023/11/30,08:30:47,-19.7
2023/11/30,08:30:48,-19.8
2023/11/30,08:30:49,-19.4
2023/11/30,08:30:50,-18.9
2023/11/30,08:30:51,-17.8
2023/11/30,08:30:52,-17.4
2023/11/30,08:30:53,-16.9
2023/11/30,08:30:54,-16.6
2023/11/30,08:30:55,-16.2
2023/11/30,08:30:56,-15.3
2023/11/30,08:30:57,-15.0
2023/11/30,08:30:58,-14.8
2023/11/30,08:30:59,-14.9
2023/11/30,08:31:00,-15.0
2023/11/30,08:31:01,-14.9
2023/11/30,08:31:02,-14.3
2023/11/30,08:31:03,-14.2
2023/11/30,08:31:04,-14.0
2023/11/30,08:31:05,-14.1
2023/11/30,08:31:06,-14.3
2023/11/30,08:31:07,-14.4
2023/11/30,08:31:08,-14.6
2023/11/30,08:31:09,-14.8
2023/11/30,08:31:10,-15.3
2023/11/30,08:31:11,-15.7
2023/11/30,08:31:12,-16.2
2023/11/30,08:31:13,-16.3
2023/11/30,08:31:14,-16.5
2023/11/30,08:31:15,-16.6
2023/11/30,08:31:16,-17.0
2023/11/30,08:31:17,-17.3
2023/11/30,08:31:18,-17.6
2023/11/30,08:31:19,-17.8
2023/11/30,08:31:20,-17.9
2023/11/30,08:31:21,-18.4
2023/11/30,08:31:22,-18.5
2023/11/30,08:31:23,-19.0
2023/11/30,08:31:24,-19.2
2023/11/30,08:31:26,-19.5
2023/11/30,08:31:27,-19.6
2023/11/30,08:31:28,-20.0
2023/11/30,08:31:29,-20.4
2023/11/30,08:31:30,-21.1
2023/11/30,08:31:31,-21.4
2023/11/30,08:31:32,-21.7
2023/11/30,08:31:33,-21.9
2023/11/30,08:31:34,-22.4
2023/11/30,08:31:35,-22.5
2023/11/30,08:31:36,-22.8
2023/11/30,08:31:37,-22.8
2023/11/30,08:31:38,-22.7
2023/11/30,08:31:39,-22.7
2023/11/30,08:31:40,-22.3
2023/11/30,08:31:41,-21.8
2023/11/30,08:31:42,-21.1
2023/11/30,08:31:43,-11.0
2023/11/30,08:31:44,-10.9
2023/11/30,08:31:45,-10.9
2023/11/30,08:31:46,-10.9
2023/11/30,08:31:47,-11.0
2023/11/30,08:31:48,-11.1
2023/11/30,08:31:49,-5.6
2023/11/30,08:31:50,-3.5
2023/11/30,08:31:51,-3.3
2023/11/30,08:31:52,-3.3
2023/11/30,08:31:53,-3.2
2023/11/30,08:31:54,-6.4
2023/11/30,08:31:55,-6.4
2023/11/30,08:31:56,-6.4
2023/11/30,08:31:57,-6.3
2023/11/30,08:31:58,-6.3
2023/11/30,08:31:59,-6.7
2023/11/30,08:32:00,-6.9
2023/11/30,08:32:01,-7.5
2023/11/30,08:32:02,-7.7
2023/11/30,08:32:03,-8.4
2023/11/30,08:32:04,-9.0
2023/11/30,08:32:05,-9.7
2023/11/30,08:32:06,-11.1
2023/11/30,08:32:07,-11.5
2023/11/30,08:32:08,-12.0
2023/11/30,08:32:09,-12.1
2023/11/30,08:32:10,-12.7
2023/11/30,08:32:11,-13.2
2023/11/30,08:32:12,-17.7
2023/11/30,08:32:13,-17.6
2023/11/30,08:32:14,-17.2
2023/11/30,08:32:15,-12.5
2023/11/30,08:32:16,-12.5
2023/11/30,08:32:17,-12.5
2023/11/30,08:32:18,-12.8
2023/11/30,08:32:19,-13.1
2023/11/30,08:32:20,-13.5
2023/11/30,08:32:21,-13.7
2023/11/30,08:32:22,-14.0
2023/11/30,08:32:23,-14.1
2023/11/30,08:32:24,-14.1
2023/11/30,08:32:25,-14.0
2023/11/30,08:32:26,-13.4
2023/11/30,08:32:27,-12.9
2023/11/30,08:32:28,-12.4
2023/11/30,08:32:29,-11.6
2023/11/30,08:32:30,-11.2
2023/11/30,08:32:31,-10.4
2023/11/30,08:32:32,-10.2
2023/11/30,08:32:33,-10.0
2023/11/30,08:32:34,-10.1
2023/11/30,08:32:35,-10.7
2023/11/30,08:32:36,-11.0
2023/11/30,08:32:37,-12.2
2023/11/30,08:32:38,-12.9
2023/11/30,08:32:39,-14.5
2023/11/30,08:32:40,-15.3
2023/11/30,08:32:41,-16.7
2023/11/30,08:32:42,-17.1
2023/11/30,08:32:43,-14.4
2023/11/30,08:32:44,-14.3
2023/11/30,08:32:45,-13.9
2023/11/30,08:32:46,-13.7
2023/11/30,08:32:47,-13.2
2023/11/30,08:32:48,-13.0
2023/11/30,08:32:49,-12.4
2023/11/30,08:32:50,-12.0
2023/11/30,08:32:51,-11.6
2023/11/30,08:32:52,-10.9
2023/11/30,08:32:53,-10.7
2023/11/30,08:32:54,-10.5
2023/11/30,08:32:55,-10.4
2023/11/30,08:32:56,-13.7
2023/11/30,08:32:57,-13.6
2023/11/30,08:32:58,-13.7
2023/11/30,08:32:59,-13.7
2023/11/30,08:33:00,-13.8
2023/11/30,08:33:01,-13.9
2023/11/30,08:33:02,-14.3
2023/11/30,08:33:03,-14.5
2023/11/30,08:33:04,-14.9
2023/11/30,08:33:05,-15.3
2023/11/30,08:33:06,-18.9
2023/11/30,08:33:07,-21.3
2023/11/30,08:33:08,-21.4
2023/11/30,08:33:09,-21.5
2023/11/30,08:33:10,-21.6
2023/11/30,08:33:11,-21.6
2023/11/30,08:33:12,-21.5
2023/11/30,08:33:13,-21.3
2023/11/30,08:33:14,-21.2
2023/11/30,08:33:15,-20.7
2023/11/30,08:33:16,-20.4
2023/11/30,08:33:17,-19.7
2023/11/30,08:33:18,-19.3
2023/11/30,08:33:19,-18.6
2023/11/30,08:33:20,-18.2
2023/11/30,08:33:21,-17.7
2023/11/30,08:33:22,-17.4
2023/11/30,08:33:23,-17.2
2023/11/30,08:33:24,-17.0
2023/11/30,08:33:25,-16.6
2023/11/30,08:33:26,-16.5
2023/11/30,08:33:27,-16.8
2023/11/30,08:33:28,-17.0
2023/11/30,08:33:29,-17.5
2023/11/30,08:33:30,-17.5
2023/11/30,08:33:31,-17.1
2023/11/30,08:33:32,-16.9
2023/11/30,08:33:33,-16.7
2023/11/30,08:33:34,-19.2
2023/11/30,08:33:35,-23.6
2023/11/30,08:33:36,-23.6
2023/11/30,08:33:37,-23.6
