年月日,時刻,データ01(mG)
2023/11/30,09:06:00,-11.7
2023/11/30,09:06:01,-12.4
2023/11/30,09:06:02,-12.7
2023/11/30,09:06:03,-13.5
2023/11/30,09:06:04,-18.4
2023/11/30,09:06:05,-18.2
2023/11/30,09:06:06,-18.0
2023/11/30,09:06:07,-17.6
2023/11/30,09:06:08,-17.3
2023/11/30,09:06:09,-16.9
2023/11/30,09:06:10,-16.8
2023/11/30,09:06:11,-16.7
2023/11/30,09:06:12,-16.6
2023/11/30,09:06:13,-16.4
2023/11/30,09:06:14,-16.4
2023/11/30,09:06:15,-16.5
2023/11/30,09:06:16,-16.5
2023/11/30,09:06:17,-16.5
2023/11/30,09:06:18,-16.0
2023/11/30,09:06:19,-15.6
2023/11/30,09:06:20,-14.8
2023/11/30,09:06:21,-14.6
2023/11/30,09:06:22,-14.3
2023/11/30,09:06:23,-14.2
2023/11/30,09:06:24,-13.9
2023/11/30,09:06:25,-13.8
2023/11/30,09:06:26,-13.7
2023/11/30,09:06:27,-13.6
2023/11/30,09:06:28,-13.2
2023/11/30,09:06:29,-7.5
2023/11/30,09:06:30,-7.7
2023/11/30,09:06:31,-7.8
2023/11/30,09:06:32,-8.5
2023/11/30,09:06:33,-15.3
2023/11/30,09:06:34,-15.6
2023/11/30,09:06:35,-15.7
2023/11/30,09:06:36,-16.1
2023/11/30,09:06:37,-16.3
2023/11/30,09:06:38,-16.6
2023/11/30,09:06:39,-16.6
2023/11/30,09:06:40,-16.4
2023/11/30,09:06:41,-16.4
2023/11/30,09:06:42,-16.2
2023/11/30,09:06:43,-16.1
2023/11/30,09:06:44,-16.1
2023/11/30,09:06:45,-16.1
2023/11/30,09:06:46,-16.3
2023/11/30,09:06:47,-16.9
2023/11/30,09:06:48,-17.1
2023/11/30,09:06:49,-17.0
2023/11/30,09:06:50,-17.0
2023/11/30,09:06:51,-17.1
2023/11/30,09:06:52,-17.2
2023/11/30,09:06:53,-17.4
2023/11/30,09:06:54,-17.4
2023/11/30,09:06:55,-17.4
2023/11/30,09:06:56,-17.4
2023/11/30,09:06:57,-17.5
2023/11/30,09:06:58,-17.4
2023/11/30,09:06:59,-17.5
2023/11/30,09:07:00,-17.4
2023/11/30,09:07:01,-17.0
2023/11/30,09:07:02,-16.9
2023/11/30,09:07:03,-16.7
2023/11/30,09:07:04,-16.8
2023/11/30,09:07:05,-16.6
2023/11/30,09:07:06,-16.4
2023/11/30,09:07:07,-16.2
2023/11/30,09:07:08,-15.5
2023/11/30,09:07:09,-15.4
2023/11/30,09:07:10,-11.3
2023/11/30,09:07:11,-11.2
2023/11/30,09:07:12,-11.2
2023/11/30,09:07:13,-11.3
2023/11/30,09:07:14,-11.3
2023/11/30,09:07:15,-11.3
2023/11/30,09:07:16,-11.5
2023/11/30,09:07:17,-11.6
2023/11/30,09:07:18,-11.9
2023/11/30,09:07:19,-12.2
2023/11/30,09:07:20,-12.7
2023/11/30,09:07:21,-12.9
2023/11/30,09:07:22,-13.3
2023/11/30,09:07:23,-13.5
2023/11/30,09:07:24,-14.0
2023/11/30,09:07:25,-14.4
2023/11/30,09:07:26,-13.7
2023/11/30,09:07:27,-13.6
2023/11/30,09:07:28,-13.5
2023/11/30,09:07:29,-13.5
2023/11/30,09:07:30,-13.5
2023/11/30,09:07:31,-13.7
2023/11/30,09:07:32,-13.8
2023/11/30,09:07:33,-13.9
2023/11/30,09:07:34,-14.0
2023/11/30,09:07:35,-14.5
2023/11/30,09:07:36,-14.6
2023/11/30,09:07:37,-14.5
2023/11/30,09:07:38,-14.4
2023/11/30,09:07:39,-14.1
2023/11/30,09:07:40,-14.1
2023/11/30,09:07:41,-14.6
2023/11/30,09:07:42,-14.7
2023/11/30,09:07:43,-15.0
2023/11/30,09:07:44,-15.3
2023/11/30,09:07:45,-16.1
2023/11/30,09:07:46,-16.4
2023/11/30,09:07:47,-16.8
2023/11/30,09:07:48,-16.9
2023/11/30,09:07:49,-16.6
2023/11/30,09:07:50,-16.4
2023/11/30,09:07:51,-16.1
2023/11/30,09:07:52,-16.0
2023/11/30,09:07:53,-15.5
2023/11/30,09:07:54,-15.2
2023/11/30,09:07:55,-14.9
2023/11/30,09:07:56,-14.1
2023/11/30,09:07:57,-13.9
2023/11/30,09:07:58,-13.7
2023/11/30,09:07:59,-13.5
2023/11/30,09:08:00,-12.8
2023/11/30,09:08:01,-12.6
2023/11/30,09:08:02,-12.2
2023/11/30,09:08:03,-12.1
2023/11/30,09:08:04,-12.0
2023/11/30,09:08:05,-11.9
2023/11/30,09:08:06,-13.3
2023/11/30,09:08:07,-13.2
2023/11/30,09:08:09,-15.2
2023/11/30,09:08:10,-15.2
2023/11/30,09:08:11,-15.4
2023/11/30,09:08:12,-15.5
2023/11/30,09:08:13,-15.5
2023/11/30,09:08:14,-15.5
2023/11/30,09:08:15,-15.5
2023/11/30,09:08:16,-15.5
2023/11/30,09:08:17,-12.0
2023/11/30,09:08:18,-13.7
2023/11/30,09:08:19,-15.7
2023/11/30,09:08:20,-15.7
2023/11/30,09:08:21,-15.6
2023/11/30,09:08:22,-15.3
2023/11/30,09:08:23,-15.0
2023/11/30,09:08:24,-14.1
2023/11/30,09:08:25,-13.7
2023/11/30,09:08:26,-13.1
2023/11/30,09:08:27,-12.9
2023/11/30,09:08:28,-12.7
2023/11/30,09:08:29,-12.6
2023/11/30,09:08:30,-12.6
2023/11/30,09:08:31,-12.7
2023/11/30,09:08:32,-18.1
2023/11/30,09:08:33,-18.1
2023/11/30,09:08:34,-18.0
2023/11/30,09:08:35,-17.9
2023/11/30,09:08:36,-17.7
2023/11/30,09:08:37,-17.7
2023/11/30,09:08:38,-17.8
2023/11/30,09:08:39,-17.8
2023/11/30,09:08:40,-18.0
2023/11/30,09:08:41,-18.2
2023/11/30,09:08:42,-16.1
2023/11/30,09:08:43,-16.1
2023/11/30,09:08:44,-16.1
2023/11/30,09:08:45,-16.2
2023/11/30,09:08:46,-16.3
2023/11/30,09:08:47,-16.2
2023/11/30,09:08:48,-16.1
2023/11/30,09:08:49,-15.6
2023/11/30,09:08:50,-15.4
2023/11/30,09:08:51,-14.9
2023/11/30,09:08:52,-14.7
2023/11/30,09:08:53,-13.9
2023/11/30,09:08:54,-13.5
2023/11/30,09:08:55,-12.8
2023/11/30,09:08:56,-12.5
2023/11/30,09:08:57,-12.0
2023/11/30,09:08:58,-11.9
2023/11/30,09:08:59,-11.8
2023/11/30,09:09:00,-11.8
2023/11/30,09:09:01,-12.0
2023/11/30,09:09:02,-12.2
2023/11/30,09:09:03,-13.0
2023/11/30,09:09:04,-13.4
2023/11/30,09:09:05,-14.4
2023/11/30,09:09:06,-14.6
2023/11/30,09:09:07,-14.9
2023/11/30,09:09:08,-15.3
2023/11/30,09:09:09,-15.5
2023/11/30,09:09:10,-16.0
2023/11/30,09:09:11,-16.2
2023/11/30,09:09:12,-16.5
2023/11/30,09:09:13,-16.7
2023/11/30,09:09:14,-17.0
2023/11/30,09:09:15,-17.1
2023/11/30,09:09:16,-17.3
2023/11/30,09:09:17,-17.2
2023/11/30,09:09:18,-17.3
2023/11/30,09:09:19,-17.3
2023/11/30,09:09:20,-17.3
2023/11/30,09:09:21,-17.2
2023/11/30,09:09:22,-17.4
2023/11/30,09:09:23,-17.5
2023/11/30,09:09:24,-17.7
2023/11/30,09:09:25,-17.8
2023/11/30,09:09:26,-17.6
2023/11/30,09:09:27,-18.5
2023/11/30,09:09:28,-18.5
2023/11/30,09:09:29,-18.5
2023/11/30,09:09:30,-18.5
2023/11/30,09:09:31,-18.2
2023/11/30,09:09:32,-17.9
2023/11/30,09:09:33,-17.3
2023/11/30,09:09:34,-16.8
2023/11/30,09:09:35,-15.4
2023/11/30,09:09:36,-14.5
2023/11/30,09:09:37,-12.8
2023/11/30,09:09:38,-12.0
2023/11/30,09:09:39,-10.8
2023/11/30,09:09:40,-10.2
2023/11/30,09:09:41,-9.2
2023/11/30,09:09:42,-8.9
2023/11/30,09:09:43,-8.8
2023/11/30,09:09:44,-8.8
2023/11/30,09:09:45,-8.7
2023/11/30,09:09:46,-8.7
