年月日,時刻,データ01(mG)
2023/11/30,08:59:15,-15.1
2023/11/30,08:59:16,-15.0
2023/11/30,08:59:17,-15.0
2023/11/30,08:59:18,-15.1
2023/11/30,08:59:19,-15.6
2023/11/30,08:59:20,-15.8
2023/11/30,08:59:21,-16.1
2023/11/30,08:59:22,-16.3
2023/11/30,08:59:23,-13.8
2023/11/30,08:59:24,-13.8
2023/11/30,08:59:25,-13.8
2023/11/30,08:59:26,-11.1
2023/11/30,08:59:27,-11.0
2023/11/30,08:59:28,-11.1
2023/11/30,08:59:29,-11.4
2023/11/30,08:59:30,-11.6
2023/11/30,08:59:31,-11.9
2023/11/30,08:59:32,-12.3
2023/11/30,08:59:33,-12.5
2023/11/30,08:59:34,-13.1
2023/11/30,08:59:35,-13.5
2023/11/30,08:59:36,-17.9
2023/11/30,08:59:37,-18.1
2023/11/30,08:59:38,-18.5
2023/11/30,08:59:39,-18.7
2023/11/30,08:59:40,-19.3
2023/11/30,08:59:41,-19.7
2023/11/30,08:59:42,-20.5
2023/11/30,08:59:43,-21.0
2023/11/30,08:59:44,-22.1
2023/11/30,08:59:45,-22.5
2023/11/30,08:59:46,-23.0
2023/11/30,08:59:47,-23.1
2023/11/30,08:59:48,-22.8
2023/11/30,08:59:49,-22.6
2023/11/30,08:59:50,-22.1
2023/11/30,08:59:51,-21.8
2023/11/30,08:59:52,-20.9
2023/11/30,08:59:53,-20.3
2023/11/30,08:59:54,-19.9
2023/11/30,08:59:55,-19.2
2023/11/30,08:59:56,-19.1
2023/11/30,08:59:57,-18.6
2023/11/30,08:59:58,-18.5
2023/11/30,08:59:59,-18.2
2023/11/30,09:00:00,-18.0
2023/11/30,09:00:01,-17.7
2023/11/30,09:00:02,-17.6
2023/11/30,09:00:03,-17.4
2023/11/30,09:00:04,-17.3
2023/11/30,09:00:05,-16.9
2023/11/30,09:00:06,-16.6
2023/11/30,09:00:07,-15.9
2023/11/30,09:00:08,-15.6
2023/11/30,09:00:09,-14.9
2023/11/30,09:00:10,-14.7
2023/11/30,09:00:11,-14.2
2023/11/30,09:00:12,-13.8
2023/11/30,09:00:13,-13.5
2023/11/30,09:00:14,-13.0
2023/11/30,09:00:16,-12.9
2023/11/30,09:00:17,-12.9
2023/11/30,09:00:18,-13.0
2023/11/30,09:00:19,-12.9
2023/11/30,09:00:20,-12.7
2023/11/30,09:00:21,-12.7
2023/11/30,09:00:22,-12.7
2023/11/30,09:00:23,-12.6
2023/11/30,09:00:24,-12.6
2023/11/30,09:00:25,-12.3
2023/11/30,09:00:26,-12.0
2023/11/30,09:00:27,-11.7
2023/11/30,09:00:28,-11.6
2023/11/30,09:00:29,-11.6
2023/11/30,09:00:30,-11.7
2023/11/30,09:00:31,-11.8
2023/11/30,09:00:32,-11.7
2023/11/30,09:00:33,-11.5
2023/11/30,09:00:34,-11.3
2023/11/30,09:00:35,-11.0
2023/11/30,09:00:36,-11.0
2023/11/30,09:00:37,-10.7
2023/11/30,09:00:38,-10.7
