年月日,時刻,データ01(mG)
2023/11/30,09:14:55,-11.3
2023/11/30,09:14:56,-11.5
2023/11/30,09:14:57,-16.9
2023/11/30,09:14:58,-16.9
2023/11/30,09:14:59,-16.8
2023/11/30,09:15:00,-16.6
2023/11/30,09:15:01,-16.4
2023/11/30,09:15:02,-16.0
2023/11/30,09:15:03,-15.7
2023/11/30,09:15:04,-14.8
2023/11/30,09:15:05,-14.3
2023/11/30,09:15:06,-12.9
2023/11/30,09:15:07,-12.2
2023/11/30,09:15:08,-11.1
2023/11/30,09:15:09,-10.5
2023/11/30,09:15:10,-9.6
2023/11/30,09:15:11,-9.3
2023/11/30,09:15:12,-8.8
2023/11/30,09:15:13,-8.5
2023/11/30,09:15:14,-8.7
2023/11/30,09:15:15,-8.8
2023/11/30,09:15:16,-9.3
2023/11/30,09:15:17,-9.7
2023/11/30,09:15:18,-10.6
2023/11/30,09:15:19,-10.9
2023/11/30,09:15:20,-11.6
2023/11/30,09:15:21,-12.1
2023/11/30,09:15:22,-12.3
2023/11/30,09:15:23,-12.4
2023/11/30,09:15:24,-12.4
2023/11/30,09:15:25,-12.0
2023/11/30,09:15:26,-11.7
2023/11/30,09:15:27,-11.3
2023/11/30,09:15:28,-11.2
2023/11/30,09:15:29,-11.2
2023/11/30,09:15:30,-11.4
2023/11/30,09:15:31,-12.0
2023/11/30,09:15:32,-12.4
2023/11/30,09:15:33,-11.7
2023/11/30,09:15:34,-11.6
2023/11/30,09:15:35,-12.0
2023/11/30,09:15:36,-12.3
2023/11/30,09:15:37,-12.6
2023/11/30,09:15:38,-12.8
2023/11/30,09:15:39,-13.0
2023/11/30,09:15:40,-13.0
2023/11/30,09:15:41,-12.9
2023/11/30,09:15:42,-12.8
2023/11/30,09:15:43,-12.2
2023/11/30,09:15:44,-11.9
2023/11/30,09:15:45,-11.2
2023/11/30,09:15:46,-10.8
2023/11/30,09:15:47,-10.4
2023/11/30,09:15:48,-10.1
2023/11/30,09:15:49,-9.9
2023/11/30,09:15:50,-9.9
2023/11/30,09:15:51,-10.0
2023/11/30,09:15:52,-10.1
2023/11/30,09:15:53,-10.2
2023/11/30,09:15:54,-10.3
2023/11/30,09:15:55,-10.3
2023/11/30,09:15:56,-10.4
2023/11/30,09:15:57,-10.4
2023/11/30,09:15:58,-11.4
2023/11/30,09:16:00,-15.5
2023/11/30,09:16:01,-15.5
2023/11/30,09:16:02,-15.5
2023/11/30,09:16:03,-15.3
2023/11/30,09:16:04,-15.3
2023/11/30,09:16:05,-14.9
2023/11/30,09:16:06,-14.9
2023/11/30,09:16:07,-15.1
2023/11/30,09:16:08,-15.0
2023/11/30,09:16:09,-14.6
2023/11/30,09:16:10,-14.3
2023/11/30,09:16:11,-13.9
2023/11/30,09:16:12,-13.9
2023/11/30,09:16:13,-14.0
2023/11/30,09:16:14,-13.7
