年月日,時刻,データ01(mG)
2023/03/17,11:29:58,795.0
2023/03/17,11:29:59,796.0
2023/03/17,11:30:00,795.0
2023/03/17,11:30:01,791.0
2023/03/17,11:30:02,791.0
2023/03/17,11:30:03,791.0
2023/03/17,11:30:04,793.0
2023/03/17,11:30:05,796.0
2023/03/17,11:30:06,796.0
2023/03/17,11:30:07,795.0
2023/03/17,11:30:08,790.0
2023/03/17,11:30:09,789.0
2023/03/17,11:30:10,789.0
2023/03/17,11:30:11,789.0
2023/03/17,11:30:12,791.0
2023/03/17,11:30:13,791.0
2023/03/17,11:30:14,790.0
2023/03/17,11:30:15,787.0
2023/03/17,11:30:16,788.0
2023/03/17,11:30:17,790.0
2023/03/17,11:30:18,791.0
2023/03/17,11:30:19,792.0
2023/03/17,11:30:20,793.0
2023/03/17,11:30:21,790.0
2023/03/17,11:30:22,790.0
2023/03/17,11:30:23,791.0
2023/03/17,11:30:24,791.0
2023/03/17,11:30:25,792.0
2023/03/17,11:30:26,793.0
2023/03/17,11:30:27,795.0
2023/03/17,11:30:28,791.0
2023/03/17,11:30:29,793.0
2023/03/17,11:30:30,793.0
2023/03/17,11:30:31,794.0
2023/03/17,11:30:32,796.0
2023/03/17,11:30:33,797.0
2023/03/17,11:30:34,794.0
2023/03/17,11:30:35,794.0
2023/03/17,11:30:36,795.0
2023/03/17,11:30:37,794.0
2023/03/17,11:30:38,796.0
2023/03/17,11:30:39,796.0
2023/03/17,11:30:40,797.0
2023/03/17,11:30:41,793.0
2023/03/17,11:30:42,795.0
2023/03/17,11:30:43,795.0
2023/03/17,11:30:44,794.0
2023/03/17,11:30:45,797.0
2023/03/17,11:30:46,797.0
2023/03/17,11:30:47,793.0
2023/03/17,11:30:48,792.0
2023/03/17,11:30:49,792.0
2023/03/17,11:30:50,793.0
2023/03/17,11:30:51,795.0
2023/03/17,11:30:52,795.0
2023/03/17,11:30:53,799.0
2023/03/17,11:30:54,795.0
2023/03/17,11:30:55,794.0
2023/03/17,11:30:56,792.0
2023/03/17,11:30:57,791.0
2023/03/17,11:30:58,790.0
2023/03/17,11:30:59,790.0
2023/03/17,11:31:00,790.0
2023/03/17,11:31:01,792.0
2023/03/17,11:31:02,787.0
2023/03/17,11:31:03,789.0
2023/03/17,11:31:04,789.0
2023/03/17,11:31:05,789.0
2023/03/17,11:31:06,788.0
2023/03/17,11:31:07,788.0
2023/03/17,11:31:08,789.0
2023/03/17,11:31:09,788.0
2023/03/17,11:31:10,790.0
2023/03/17,11:31:11,787.0
2023/03/17,11:31:12,788.0
2023/03/17,11:31:13,789.0
2023/03/17,11:31:14,790.0
2023/03/17,11:31:15,789.0
2023/03/17,11:31:16,789.0
2023/03/17,11:31:17,790.0
2023/03/17,11:31:18,792.0
2023/03/17,11:31:19,791.0
2023/03/17,11:31:20,791.0
2023/03/17,11:31:21,790.0
2023/03/17,11:31:22,788.0
2023/03/17,11:31:23,790.0
2023/03/17,11:31:24,788.0
2023/03/17,11:31:25,789.0
2023/03/17,11:31:26,789.0
2023/03/17,11:31:27,791.0
2023/03/17,11:31:28,790.0
2023/03/17,11:31:29,789.0
2023/03/17,11:31:30,791.0
2023/03/17,11:31:31,791.0
2023/03/17,11:31:32,789.0
2023/03/17,11:31:33,790.0
2023/03/17,11:31:34,790.0
2023/03/17,11:31:35,790.0
2023/03/17,11:31:36,791.0
2023/03/17,11:31:37,794.0
2023/03/17,11:31:38,796.0
2023/03/17,11:31:39,794.0
2023/03/17,11:31:40,795.0
2023/03/17,11:31:41,790.0
2023/03/17,11:31:42,790.0
2023/03/17,11:31:43,792.0
2023/03/17,11:31:44,793.0
2023/03/17,11:31:45,793.0
2023/03/17,11:31:46,794.0
