年月日,時刻,データ01(mG)
2023/03/25,03:15:11,785.0
2023/03/25,03:15:12,786.0
2023/03/25,03:15:13,785.0
2023/03/25,03:15:14,789.0
2023/03/25,03:15:15,788.0
2023/03/25,03:15:16,788.0
2023/03/25,03:15:18,788.0
2023/03/25,03:15:19,785.0
2023/03/25,03:15:20,785.0
2023/03/25,03:15:21,785.0
2023/03/25,03:15:22,787.0
2023/03/25,03:15:23,788.0
2023/03/25,03:15:24,789.0
2023/03/25,03:15:25,788.0
2023/03/25,03:15:26,785.0
2023/03/25,03:15:27,785.0
2023/03/25,03:15:28,787.0
2023/03/25,03:15:29,785.0
2023/03/25,03:15:30,789.0
2023/03/25,03:15:31,789.0
2023/03/25,03:15:32,787.0
2023/03/25,03:15:33,785.0
2023/03/25,03:15:34,786.0
2023/03/25,03:15:35,786.0
2023/03/25,03:15:36,789.0
2023/03/25,03:15:37,789.0
2023/03/25,03:15:38,788.0
2023/03/25,03:15:39,785.0
2023/03/25,03:15:40,786.0
2023/03/25,03:15:41,788.0
2023/03/25,03:15:42,786.0
2023/03/25,03:15:43,789.0
2023/03/25,03:15:44,789.0
2023/03/25,03:15:45,787.0
2023/03/25,03:15:46,786.0
2023/03/25,03:15:47,785.0
2023/03/25,03:15:48,787.0
2023/03/25,03:15:49,789.0
2023/03/25,03:15:50,788.0
2023/03/25,03:15:51,784.0
2023/03/25,03:15:52,785.0
2023/03/25,03:15:53,786.0
2023/03/25,03:15:54,787.0
2023/03/25,03:15:55,789.0
2023/03/25,03:15:56,788.0
2023/03/25,03:15:57,785.0
2023/03/25,03:15:58,787.0
2023/03/25,03:15:59,788.0
2023/03/25,03:16:00,789.0
2023/03/25,03:16:01,787.0
2023/03/25,03:16:02,786.0
2023/03/25,03:16:03,785.0
2023/03/25,03:16:04,785.0
2023/03/25,03:16:05,786.0
2023/03/25,03:16:06,790.0
2023/03/25,03:16:07,788.0
2023/03/25,03:16:08,784.0
2023/03/25,03:16:09,785.0
2023/03/25,03:16:10,786.0
2023/03/25,03:16:11,786.0
2023/03/25,03:16:12,788.0
2023/03/25,03:16:13,788.0
2023/03/25,03:16:14,786.0
2023/03/25,03:16:15,787.0
2023/03/25,03:16:16,785.0
2023/03/25,03:16:17,786.0
2023/03/25,03:16:18,788.0
2023/03/25,03:16:19,791.0
2023/03/25,03:16:20,789.0
2023/03/25,03:16:21,789.0
2023/03/25,03:16:22,786.0
2023/03/25,03:16:23,788.0
2023/03/25,03:16:24,786.0
2023/03/25,03:16:25,786.0
2023/03/25,03:16:26,787.0
2023/03/25,03:16:27,789.0
2023/03/25,03:16:28,789.0
2023/03/25,03:16:29,789.0
2023/03/25,03:16:30,788.0
2023/03/25,03:16:31,785.0
2023/03/25,03:16:32,788.0
2023/03/25,03:16:33,786.0
2023/03/25,03:16:34,786.0
2023/03/25,03:16:35,786.0
2023/03/25,03:16:36,788.0
2023/03/25,03:16:37,787.0
2023/03/25,03:16:38,787.0
2023/03/25,03:16:39,787.0
2023/03/25,03:16:40,788.0
2023/03/25,03:16:41,785.0
2023/03/25,03:16:42,786.0
2023/03/25,03:16:43,786.0
2023/03/25,03:16:44,787.0
2023/03/25,03:16:45,785.0
2023/03/25,03:16:46,786.0
2023/03/25,03:16:47,788.0
2023/03/25,03:16:48,788.0
2023/03/25,03:16:49,787.0
2023/03/25,03:16:50,787.0
2023/03/25,03:16:51,787.0
2023/03/25,03:16:52,787.0
2023/03/25,03:16:53,787.0
2023/03/25,03:16:54,786.0
2023/03/25,03:16:55,785.0
2023/03/25,03:16:56,786.0
2023/03/25,03:16:57,787.0
2023/03/25,03:16:58,786.0
2023/03/25,03:16:59,786.0
2023/03/25,03:17:00,787.0
2023/03/25,03:17:01,786.0
2023/03/25,03:17:02,787.0
2023/03/25,03:17:03,787.0
2023/03/25,03:17:04,788.0
2023/03/25,03:17:05,787.0
2023/03/25,03:17:06,787.0
2023/03/25,03:17:07,787.0
2023/03/25,03:17:08,785.0
