年月日,時刻,データ01(mG)
2023/04/17,20:50:48,762.0
2023/04/17,20:50:49,763.0
2023/04/17,20:50:50,762.0
2023/04/17,20:50:51,758.0
2023/04/17,20:50:52,759.0
2023/04/17,20:50:53,762.0
2023/04/17,20:50:54,763.0
2023/04/17,20:50:55,762.0
2023/04/17,20:50:56,758.0
2023/04/17,20:50:58,759.0
2023/04/17,20:50:59,761.0
2023/04/17,20:51:00,762.0
2023/04/17,20:51:01,764.0
2023/04/17,20:51:02,759.0
2023/04/17,20:51:03,761.0
2023/04/17,20:51:04,762.0
2023/04/17,20:51:05,763.0
2023/04/17,20:51:06,763.0
2023/04/17,20:51:07,757.0
2023/04/17,20:51:08,758.0
2023/04/17,20:51:09,757.0
2023/04/17,20:51:10,757.0
2023/04/17,20:51:11,759.0
2023/04/17,20:51:12,761.0
2023/04/17,20:51:13,758.0
2023/04/17,20:51:14,757.0
2023/04/17,20:51:15,759.0
2023/04/17,20:51:16,761.0
2023/04/17,20:51:17,761.0
2023/04/17,20:51:18,760.0
2023/04/17,20:51:19,755.0
2023/04/17,20:51:20,756.0
2023/04/17,20:51:21,756.0
2023/04/17,20:51:22,757.0
2023/04/17,20:51:23,758.0
2023/04/17,20:51:24,751.0
2023/04/17,20:51:25,753.0
2023/04/17,20:51:26,753.0
2023/04/17,20:51:27,755.0
2023/04/17,20:51:28,758.0
2023/04/17,20:51:29,754.0
2023/04/17,20:51:30,754.0
2023/04/17,20:51:31,754.0
2023/04/17,20:51:32,756.0
2023/04/17,20:51:33,757.0
2023/04/17,20:51:34,754.0
2023/04/17,20:51:35,754.0
2023/04/17,20:51:36,756.0
2023/04/17,20:51:37,757.0
2023/04/17,20:51:38,760.0
2023/04/17,20:51:39,755.0
2023/04/17,20:51:40,755.0
2023/04/17,20:51:41,757.0
2023/04/17,20:51:42,759.0
2023/04/17,20:51:43,761.0
2023/04/17,20:51:44,759.0
2023/04/17,20:51:45,755.0
2023/04/17,20:51:46,756.0
2023/04/17,20:51:47,759.0
2023/04/17,20:51:48,757.0
2023/04/17,20:51:49,751.0
2023/04/17,20:51:50,752.0
2023/04/17,20:51:51,754.0
2023/04/17,20:51:52,756.0
2023/04/17,20:51:53,756.0
2023/04/17,20:51:54,755.0
2023/04/17,20:51:55,753.0
2023/04/17,20:51:56,754.0
2023/04/17,20:51:57,757.0
2023/04/17,20:51:58,757.0
2023/04/17,20:51:59,757.0
2023/04/17,20:52:00,752.0
2023/04/17,20:52:01,752.0
2023/04/17,20:52:02,752.0
2023/04/17,20:52:03,753.0
2023/04/17,20:52:04,756.0
2023/04/17,20:52:05,755.0
2023/04/17,20:52:06,751.0
2023/04/17,20:52:07,751.0
2023/04/17,20:52:08,754.0
2023/04/17,20:52:09,755.0
2023/04/17,20:52:10,758.0
2023/04/17,20:52:11,754.0
2023/04/17,20:52:12,755.0
2023/04/17,20:52:13,756.0
2023/04/17,20:52:14,757.0
2023/04/17,20:52:15,758.0
2023/04/17,20:52:16,755.0
2023/04/17,20:52:17,755.0
2023/04/17,20:52:18,757.0
2023/04/17,20:52:19,758.0
2023/04/17,20:52:20,764.0
2023/04/17,20:52:21,764.0
2023/04/17,20:52:22,759.0
2023/04/17,20:52:23,758.0
2023/04/17,20:52:24,759.0
2023/04/17,20:52:25,763.0
2023/04/17,20:52:26,765.0
2023/04/17,20:52:27,759.0
2023/04/17,20:52:28,760.0
2023/04/17,20:52:29,762.0
2023/04/17,20:52:30,763.0
2023/04/17,20:52:31,761.0
2023/04/17,20:52:32,761.0
2023/04/17,20:52:33,757.0
2023/04/17,20:52:34,757.0
2023/04/17,20:52:35,758.0
2023/04/17,20:52:36,761.0
2023/04/17,20:52:37,762.0
2023/04/17,20:52:38,758.0
2023/04/17,20:52:39,759.0
2023/04/17,20:52:40,759.0
2023/04/17,20:52:41,760.0
2023/04/17,20:52:42,760.0
2023/04/17,20:52:43,755.0
2023/04/17,20:52:44,755.0
2023/04/17,20:52:45,754.0
2023/04/17,20:52:46,755.0
2023/04/17,20:52:47,756.0
2023/04/17,20:52:48,756.0
2023/04/17,20:52:49,751.0
2023/04/17,20:52:50,754.0
2023/04/17,20:52:51,755.0
2023/04/17,20:52:52,758.0
2023/04/17,20:52:53,757.0
2023/04/17,20:52:54,752.0
2023/04/17,20:52:55,752.0
2023/04/17,20:52:56,753.0
2023/04/17,20:52:57,756.0
2023/04/17,20:52:58,757.0
2023/04/17,20:52:59,752.0
2023/04/17,20:53:00,756.0
2023/04/17,20:53:01,756.0
2023/04/17,20:53:02,760.0
2023/04/17,20:53:03,759.0
2023/04/17,20:53:04,753.0
2023/04/17,20:53:05,753.0
2023/04/17,20:53:06,756.0
2023/04/17,20:53:07,759.0
2023/04/17,20:53:08,759.0
2023/04/17,20:53:09,756.0
2023/04/17,20:53:10,755.0
2023/04/17,20:53:11,758.0
2023/04/17,20:53:12,761.0
2023/04/17,20:53:13,763.0
2023/04/17,20:53:14,760.0
2023/04/17,20:53:15,757.0
2023/04/17,20:53:16,758.0
2023/04/17,20:53:17,762.0
2023/04/17,20:53:18,761.0
2023/04/17,20:53:19,756.0
2023/04/17,20:53:20,755.0
2023/04/17,20:53:21,759.0
2023/04/17,20:53:22,759.0
2023/04/17,20:53:23,754.0
2023/04/17,20:53:24,755.0
2023/04/17,20:53:25,758.0
2023/04/17,20:53:26,760.0
2023/04/17,20:53:27,753.0
2023/04/17,20:53:28,753.0
2023/04/17,20:53:29,758.0
2023/04/17,20:53:30,760.0
2023/04/17,20:53:31,760.0
2023/04/17,20:53:32,755.0
2023/04/17,20:53:33,756.0
2023/04/17,20:53:34,760.0
2023/04/17,20:53:35,755.0
2023/04/17,20:53:36,756.0
2023/04/17,20:53:37,756.0
2023/04/17,20:53:38,760.0
2023/04/17,20:53:39,756.0
2023/04/17,20:53:40,757.0
2023/04/17,20:53:41,759.0
2023/04/17,20:53:42,760.0
2023/04/17,20:53:43,754.0
2023/04/17,20:53:44,755.0
2023/04/17,20:53:45,757.0
2023/04/17,20:53:46,759.0
2023/04/17,20:53:47,753.0
2023/04/17,20:53:48,753.0
2023/04/17,20:53:49,755.0
2023/04/17,20:53:50,757.0
2023/04/17,20:53:51,752.0
2023/04/17,20:53:52,753.0
2023/04/17,20:53:53,754.0
2023/04/17,20:53:54,756.0
2023/04/17,20:53:55,751.0
2023/04/17,20:53:56,753.0
2023/04/17,20:53:57,756.0
2023/04/17,20:53:58,759.0
2023/04/17,20:53:59,757.0
2023/04/17,20:54:00,756.0
2023/04/17,20:54:01,758.0
2023/04/17,20:54:02,760.0
2023/04/17,20:54:03,763.0
2023/04/17,20:54:04,759.0
2023/04/17,20:54:05,760.0
2023/04/17,20:54:06,760.0
2023/04/17,20:54:07,764.0
2023/04/17,20:54:08,763.0
2023/04/17,20:54:09,759.0
2023/04/17,20:54:10,759.0
2023/04/17,20:54:11,762.0
2023/04/17,20:54:12,762.0
2023/04/17,20:54:13,759.0
2023/04/17,20:54:14,759.0
2023/04/17,20:54:15,759.0
2023/04/17,20:54:16,759.0
2023/04/17,20:54:17,761.0
2023/04/17,20:54:18,761.0
2023/04/17,20:54:19,758.0
2023/04/17,20:54:20,761.0
2023/04/17,20:54:21,761.0
2023/04/17,20:54:22,765.0
2023/04/17,20:54:23,763.0
2023/04/17,20:54:24,757.0
2023/04/17,20:54:25,757.0
2023/04/17,20:54:27,757.0
2023/04/17,20:54:28,759.0
2023/04/17,20:54:29,761.0
2023/04/17,20:54:30,759.0
2023/04/17,20:54:31,757.0
2023/04/17,20:54:32,760.0
2023/04/17,20:54:33,760.0
2023/04/17,20:54:34,762.0
2023/04/17,20:54:35,761.0
2023/04/17,20:54:36,759.0
2023/04/17,20:54:37,758.0
2023/04/17,20:54:38,758.0
2023/04/17,20:54:39,758.0
2023/04/17,20:54:40,760.0
2023/04/17,20:54:41,759.0
2023/04/17,20:54:42,755.0
2023/04/17,20:54:43,755.0
2023/04/17,20:54:44,756.0
2023/04/17,20:54:45,757.0
2023/04/17,20:54:46,760.0
2023/04/17,20:54:47,759.0
2023/04/17,20:54:48,756.0
2023/04/17,20:54:49,756.0
2023/04/17,20:54:50,757.0
2023/04/17,20:54:51,758.0
2023/04/17,20:54:52,760.0
2023/04/17,20:54:53,759.0
2023/04/17,20:54:54,753.0
2023/04/17,20:54:55,754.0
2023/04/17,20:54:56,755.0
2023/04/17,20:54:57,758.0
2023/04/17,20:54:58,760.0
2023/04/17,20:54:59,759.0
2023/04/17,20:55:00,756.0
2023/04/17,20:55:01,757.0
2023/04/17,20:55:02,759.0
2023/04/17,20:55:03,760.0
2023/04/17,20:55:04,760.0
2023/04/17,20:55:05,761.0
2023/04/17,20:55:06,758.0
2023/04/17,20:55:07,758.0
2023/04/17,20:55:08,758.0
2023/04/17,20:55:09,762.0
2023/04/17,20:55:10,763.0
2023/04/17,20:55:11,763.0
2023/04/17,20:55:12,757.0
2023/04/17,20:55:13,758.0
2023/04/17,20:55:14,759.0
2023/04/17,20:55:15,761.0
2023/04/17,20:55:16,761.0
2023/04/17,20:55:17,759.0
2023/04/17,20:55:18,755.0
2023/04/17,20:55:19,757.0
2023/04/17,20:55:20,755.0
2023/04/17,20:55:21,756.0
2023/04/17,20:55:22,758.0
2023/04/17,20:55:23,759.0
2023/04/17,20:55:24,754.0
2023/04/17,20:55:25,755.0
2023/04/17,20:55:26,755.0
2023/04/17,20:55:27,756.0
2023/04/17,20:55:28,756.0
2023/04/17,20:55:29,757.0
2023/04/17,20:55:30,751.0
2023/04/17,20:55:31,751.0
2023/04/17,20:55:32,756.0
2023/04/17,20:55:33,755.0
2023/04/17,20:55:34,758.0
2023/04/17,20:55:35,758.0
2023/04/17,20:55:36,754.0
2023/04/17,20:55:37,753.0
2023/04/17,20:55:38,756.0
2023/04/17,20:55:39,758.0
2023/04/17,20:55:40,759.0
2023/04/17,20:55:41,754.0
2023/04/17,20:55:42,755.0
2023/04/17,20:55:43,755.0
2023/04/17,20:55:44,759.0
2023/04/17,20:55:45,760.0
2023/04/17,20:55:46,753.0
2023/04/17,20:55:47,754.0
2023/04/17,20:55:48,756.0
2023/04/17,20:55:49,760.0
2023/04/17,20:55:50,759.0
2023/04/17,20:55:51,754.0
2023/04/17,20:55:52,755.0
2023/04/17,20:55:53,755.0
2023/04/17,20:55:54,758.0
2023/04/17,20:55:55,758.0
2023/04/17,20:55:56,757.0
2023/04/17,20:55:57,754.0
2023/04/17,20:55:58,756.0
2023/04/17,20:55:59,756.0
2023/04/17,20:56:00,758.0
2023/04/17,20:56:01,757.0
2023/04/17,20:56:02,753.0
2023/04/17,20:56:03,753.0
2023/04/17,20:56:04,754.0
2023/04/17,20:56:05,757.0
2023/04/17,20:56:06,757.0
2023/04/17,20:56:07,756.0
2023/04/17,20:56:08,752.0
2023/04/17,20:56:09,752.0
2023/04/17,20:56:10,753.0
2023/04/17,20:56:11,756.0
2023/04/17,20:56:12,756.0
2023/04/17,20:56:13,756.0
2023/04/17,20:56:14,752.0
2023/04/17,20:56:15,753.0
2023/04/17,20:56:16,753.0
2023/04/17,20:56:17,755.0
2023/04/17,20:56:18,759.0
2023/04/17,20:56:19,754.0
2023/04/17,20:56:20,755.0
2023/04/17,20:56:21,756.0
2023/04/17,20:56:22,760.0
2023/04/17,20:56:23,761.0
2023/04/17,20:56:24,756.0
2023/04/17,20:56:25,757.0
2023/04/17,20:56:26,758.0
2023/04/17,20:56:27,761.0
2023/04/17,20:56:28,764.0
2023/04/17,20:56:29,761.0
2023/04/17,20:56:30,755.0
2023/04/17,20:56:31,756.0
2023/04/17,20:56:32,762.0
2023/04/17,20:56:33,761.0
2023/04/17,20:56:34,756.0
2023/04/17,20:56:35,757.0
2023/04/17,20:56:36,758.0
2023/04/17,20:56:37,761.0
2023/04/17,20:56:38,761.0
2023/04/17,20:56:39,756.0
2023/04/17,20:56:40,756.0
2023/04/17,20:56:41,760.0
2023/04/17,20:56:42,759.0
2023/04/17,20:56:43,761.0
2023/04/17,20:56:44,756.0
2023/04/17,20:56:45,759.0
2023/04/17,20:56:46,759.0
2023/04/17,20:56:47,762.0
2023/04/17,20:56:48,763.0
2023/04/17,20:56:49,760.0
2023/04/17,20:56:50,759.0
2023/04/17,20:56:51,759.0
2023/04/17,20:56:52,758.0
2023/04/17,20:56:53,757.0
2023/04/17,20:56:54,758.0
2023/04/17,20:56:55,756.0
2023/04/17,20:56:56,757.0
2023/04/17,20:56:57,761.0
2023/04/17,20:56:58,762.0
2023/04/17,20:56:59,760.0
2023/04/17,20:57:00,756.0
2023/04/17,20:57:01,757.0
2023/04/17,20:57:02,760.0
2023/04/17,20:57:03,760.0
2023/04/17,20:57:04,760.0
2023/04/17,20:57:05,756.0
2023/04/17,20:57:06,755.0
2023/04/17,20:57:07,756.0
2023/04/17,20:57:08,757.0
2023/04/17,20:57:09,758.0
2023/04/17,20:57:10,753.0
2023/04/17,20:57:11,753.0
2023/04/17,20:57:12,752.0
2023/04/17,20:57:13,753.0
2023/04/17,20:57:14,756.0
2023/04/17,20:57:15,757.0
2023/04/17,20:57:16,753.0
2023/04/17,20:57:17,753.0
2023/04/17,20:57:18,754.0
2023/04/17,20:57:19,754.0
2023/04/17,20:57:20,756.0
2023/04/17,20:57:21,756.0
2023/04/17,20:57:22,756.0
2023/04/17,20:57:23,753.0
2023/04/17,20:57:24,753.0
2023/04/17,20:57:25,754.0
2023/04/17,20:57:26,755.0
2023/04/17,20:57:27,756.0
2023/04/17,20:57:28,756.0
2023/04/17,20:57:29,753.0
2023/04/17,20:57:30,754.0
2023/04/17,20:57:31,755.0
2023/04/17,20:57:32,757.0
2023/04/17,20:57:33,757.0
2023/04/17,20:57:34,758.0
2023/04/17,20:57:35,754.0
2023/04/17,20:57:36,755.0
2023/04/17,20:57:37,757.0
2023/04/17,20:57:38,758.0
2023/04/17,20:57:39,758.0
2023/04/17,20:57:40,758.0
2023/04/17,20:57:42,756.0
2023/04/17,20:57:43,754.0
2023/04/17,20:57:44,756.0
2023/04/17,20:57:45,757.0
2023/04/17,20:57:46,760.0
2023/04/17,20:57:47,759.0
2023/04/17,20:57:48,760.0
2023/04/17,20:57:49,757.0
2023/04/17,20:57:50,757.0
2023/04/17,20:57:51,759.0
2023/04/17,20:57:52,757.0
2023/04/17,20:57:53,759.0
2023/04/17,20:57:54,760.0
2023/04/17,20:57:55,756.0
2023/04/17,20:57:56,754.0
2023/04/17,20:57:57,754.0
2023/04/17,20:57:58,754.0
2023/04/17,20:57:59,756.0
2023/04/17,20:58:00,756.0
2023/04/17,20:58:01,756.0
