年月日,時刻,データ01(mG),データ02(m/sec2)
2023/11/09,17:24:37,590.0,0.0
2023/11/09,17:24:38,590.0,0.0
2023/11/09,17:24:39,592.0,0.0
2023/11/09,17:24:40,595.0,0.0
2023/11/09,17:24:41,589.0,0.0
2023/11/09,17:24:42,591.0,0.0
2023/11/09,17:24:43,593.0,0.0
2023/11/09,17:24:44,597.0,0.0
2023/11/09,17:24:45,596.0,0.0
2023/11/09,17:24:46,593.0,0.0
2023/11/09,17:24:47,592.0,0.0
2023/11/09,17:24:48,593.0,0.0
2023/11/09,17:24:49,594.0,0.0
2023/11/09,17:24:50,593.0,0.0
2023/11/09,17:24:51,587.0,0.0
2023/11/09,17:24:52,588.0,0.0
2023/11/09,17:24:53,586.0,0.0
2023/11/09,17:24:54,588.0,0.0
2023/11/09,17:24:55,591.0,0.0
2023/11/09,17:24:56,586.0,0.0
2023/11/09,17:24:57,587.0,0.0
2023/11/09,17:24:58,587.0,0.0
2023/11/09,17:24:59,592.0,0.0
2023/11/09,17:25:00,589.0,0.0
2023/11/09,17:25:01,584.0,0.0
2023/11/09,17:25:02,585.0,0.0
2023/11/09,17:25:03,590.0,0.0
2023/11/09,17:25:04,590.0,0.0
2023/11/09,17:25:05,587.0,0.0
2023/11/09,17:25:06,588.0,0.0
2023/11/09,17:25:07,591.0,0.0
2023/11/09,17:25:08,591.0,0.0
2023/11/09,17:25:09,585.0,0.0
2023/11/09,17:25:10,586.0,0.0
2023/11/09,17:25:11,588.0,0.0
2023/11/09,17:25:12,590.0,0.0
2023/11/09,17:25:13,590.0,0.0
2023/11/09,17:25:14,585.0,0.0
2023/11/09,17:25:15,588.0,0.0
2023/11/09,17:25:16,589.0,0.0
2023/11/09,17:25:17,590.0,0.0
2023/11/09,17:25:18,585.0,0.0
2023/11/09,17:25:19,585.0,0.0
2023/11/09,17:25:20,588.0,0.0
2023/11/09,17:25:21,593.0,0.0
2023/11/09,17:25:22,591.0,0.0
2023/11/09,17:25:23,587.0,0.0
2023/11/09,17:25:24,587.0,0.0
2023/11/09,17:25:25,592.0,0.0
2023/11/09,17:25:26,592.0,0.0
2023/11/09,17:25:27,585.0,0.0
2023/11/09,17:25:28,587.0,0.0
2023/11/09,17:25:29,588.0,0.0
2023/11/09,17:25:30,588.0,0.0
2023/11/09,17:25:31,587.0,0.0
2023/11/09,17:25:32,583.0,0.0
2023/11/09,17:25:33,584.0,0.0
2023/11/09,17:25:34,588.0,0.0
2023/11/09,17:25:35,588.0,0.0
2023/11/09,17:25:36,581.0,0.0
2023/11/09,17:25:37,582.0,0.0
2023/11/09,17:25:38,584.0,0.0
2023/11/09,17:25:39,586.0,0.0
2023/11/09,17:25:40,585.0,0.0
2023/11/09,17:25:41,579.0,0.0
2023/11/09,17:25:42,580.0,0.0
2023/11/09,17:25:43,583.0,0.0
2023/11/09,17:25:44,587.0,0.0
2023/11/09,17:25:45,589.0,0.0
2023/11/09,17:25:46,584.0,0.0
2023/11/09,17:25:47,585.0,0.0
2023/11/09,17:25:48,586.0,0.0
2023/11/09,17:25:49,586.0,0.0
2023/11/09,17:25:50,586.0,0.0
2023/11/09,17:25:51,583.0,0.0
2023/11/09,17:25:52,584.0,0.0
2023/11/09,17:25:53,586.0,0.0
2023/11/09,17:25:54,587.0,0.0
