年月日,時刻,データ01(mG)
2023/12/11,22:37:23,3.5
2023/12/11,22:37:24,2.5
2023/12/11,22:37:25,2.2
2023/12/11,22:37:26,2.2
2023/12/11,22:37:28,2.0
2023/12/11,22:37:29,0.0
2023/12/11,22:37:30,-0.3
2023/12/11,22:37:31,-0.4
2023/12/11,22:37:32,-0.6
2023/12/11,22:37:33,-0.7
2023/12/11,22:37:34,-0.8
2023/12/11,22:37:35,-1.1
2023/12/11,22:37:36,-1.1
2023/12/11,22:37:37,-1.0
2023/12/11,22:37:38,-0.7
2023/12/11,22:37:39,-0.3
2023/12/11,22:37:40,-0.3
2023/12/11,22:37:41,-0.5
2023/12/11,22:37:42,-0.6
2023/12/11,22:37:43,-0.5
2023/12/11,22:37:44,-0.4
2023/12/11,22:37:45,-0.4
2023/12/11,22:37:46,-0.6
2023/12/11,22:37:47,-0.8
2023/12/11,22:37:48,-0.8
2023/12/11,22:37:49,-0.7
2023/12/11,22:37:50,-0.6
2023/12/11,22:37:51,-0.7
2023/12/11,22:37:52,0.0
2023/12/11,22:37:53,0.2
2023/12/11,22:37:54,0.4
2023/12/11,22:37:55,0.9
2023/12/11,22:37:56,1.0
2023/12/11,22:37:57,-0.1
2023/12/11,22:37:58,-0.2
2023/12/11,22:37:59,-0.1
2023/12/11,22:38:00,4.2
2023/12/11,22:38:01,4.3
2023/12/11,22:38:02,4.5
2023/12/11,22:38:03,4.6
2023/12/11,22:38:04,4.8
2023/12/11,22:38:05,4.8
2023/12/11,22:38:06,4.8
2023/12/11,22:38:07,4.9
2023/12/11,22:38:08,4.8
2023/12/11,22:38:09,4.7
2023/12/11,22:38:10,4.3
2023/12/11,22:38:11,4.0
2023/12/11,22:38:12,3.5
2023/12/11,22:38:13,3.3
2023/12/11,22:38:14,3.1
2023/12/11,22:38:15,2.9
2023/12/11,22:38:16,2.7
2023/12/11,22:38:17,2.8
2023/12/11,22:38:18,3.0
2023/12/11,22:38:19,3.3
2023/12/11,22:38:20,3.6
2023/12/11,22:38:21,3.8
2023/12/11,22:38:22,1.3
2023/12/11,22:38:23,1.1
2023/12/11,22:38:24,0.8
2023/12/11,22:38:25,0.4
2023/12/11,22:38:26,-0.1
2023/12/11,22:38:27,-0.3
2023/12/11,22:38:28,-0.4
2023/12/11,22:38:29,-0.4
2023/12/11,22:38:30,-0.1
2023/12/11,22:38:31,1.9
2023/12/11,22:38:32,2.1
2023/12/11,22:38:33,2.6
2023/12/11,22:38:34,2.8
2023/12/11,22:38:35,3.2
2023/12/11,22:38:36,3.5
2023/12/11,22:38:37,4.0
2023/12/11,22:38:38,4.2
2023/12/11,22:38:39,4.6
2023/12/11,22:38:40,4.6
2023/12/11,22:38:41,4.6
2023/12/11,22:38:42,4.5
2023/12/11,22:38:43,4.2
2023/12/11,22:38:44,4.0
2023/12/11,22:38:45,3.4
2023/12/11,22:38:46,3.3
2023/12/11,22:38:47,3.3
2023/12/11,22:38:48,3.3
2023/12/11,22:38:49,3.2
2023/12/11,22:38:50,3.3
2023/12/11,22:38:51,3.4
2023/12/11,22:38:52,4.0
2023/12/11,22:38:53,4.2
2023/12/11,22:38:54,4.6
2023/12/11,22:38:55,4.7
2023/12/11,22:38:56,4.7
2023/12/11,22:38:57,4.6
2023/12/11,22:38:58,4.5
2023/12/11,22:38:59,4.5
2023/12/11,22:39:00,4.5
2023/12/11,22:39:01,4.4
2023/12/11,22:39:02,4.5
2023/12/11,22:39:03,4.6
2023/12/11,22:39:04,5.2
2023/12/11,22:39:05,5.6
2023/12/11,22:39:06,6.4
2023/12/11,22:39:07,5.4
2023/12/11,22:39:08,0.0
2023/12/11,22:39:09,-0.1
2023/12/11,22:39:10,-0.2
2023/12/11,22:39:11,-0.3
2023/12/11,22:39:12,-0.6
2023/12/11,22:39:13,-0.8
2023/12/11,22:39:14,-1.4
2023/12/11,22:39:15,-1.7
2023/12/11,22:39:16,-2.3
2023/12/11,22:39:17,-2.4
2023/12/11,22:39:18,-2.6
2023/12/11,22:39:19,-2.6
2023/12/11,22:39:20,-2.3
2023/12/11,22:39:21,-1.3
2023/12/11,22:39:22,-0.6
2023/12/11,22:39:23,1.0
2023/12/11,22:39:24,2.0
2023/12/11,22:39:25,3.5
2023/12/11,22:39:26,4.2
2023/12/11,22:39:27,5.4
2023/12/11,22:39:28,5.8
2023/12/11,22:39:29,6.2
2023/12/11,22:39:30,6.4
2023/12/11,22:39:32,6.2
2023/12/11,22:39:33,6.0
2023/12/11,22:39:34,6.1
2023/12/11,22:39:35,6.2
2023/12/11,22:39:36,6.6
2023/12/11,22:39:37,7.0
2023/12/11,22:39:38,7.5
2023/12/11,22:39:39,7.7
2023/12/11,22:39:40,8.3
2023/12/11,22:39:41,8.9
2023/12/11,22:39:42,9.5
2023/12/11,22:39:43,9.6
2023/12/11,22:39:44,9.8
2023/12/11,22:39:45,9.9
2023/12/11,22:39:46,10.1
2023/12/11,22:39:47,10.2
2023/12/11,22:39:48,10.1
2023/12/11,22:39:49,7.0
2023/12/11,22:39:50,6.6
2023/12/11,22:39:51,6.3
2023/12/11,22:39:52,5.9
2023/12/11,22:39:53,5.2
2023/12/11,22:39:54,4.8
2023/12/11,22:39:55,3.9
2023/12/11,22:39:56,3.3
2023/12/11,22:39:57,2.5
2023/12/11,22:39:58,5.0
