年月日,時刻,データ01(mG)
2023/12/12,01:58:51,13.2
2023/12/12,01:58:52,13.0
2023/12/12,01:58:53,13.0
2023/12/12,01:58:54,13.0
2023/12/12,01:58:55,12.9
2023/12/12,01:58:56,13.0
2023/12/12,01:58:57,13.0
2023/12/12,01:58:58,13.0
2023/12/12,01:58:59,13.1
2023/12/12,01:59:00,13.1
2023/12/12,01:59:01,13.1
2023/12/12,01:59:02,13.0
2023/12/12,01:59:03,12.9
2023/12/12,01:59:04,12.8
2023/12/12,01:59:05,12.7
2023/12/12,01:59:06,12.5
2023/12/12,01:59:07,12.5
2023/12/12,01:59:08,12.4
2023/12/12,01:59:09,12.4
2023/12/12,01:59:10,12.4
2023/12/12,01:59:11,12.4
2023/12/12,01:59:12,12.3
2023/12/12,01:59:13,12.3
2023/12/12,01:59:14,12.4
2023/12/12,01:59:15,12.6
2023/12/12,01:59:16,12.7
2023/12/12,01:59:17,12.8
2023/12/12,01:59:18,12.9
2023/12/12,01:59:19,13.0
2023/12/12,01:59:20,13.0
2023/12/12,01:59:21,13.2
2023/12/12,01:59:22,13.2
2023/12/12,01:59:23,13.2
2023/12/12,01:59:24,13.2
2023/12/12,01:59:25,13.3
2023/12/12,01:59:26,13.2
2023/12/12,01:59:27,13.3
2023/12/12,01:59:28,13.4
2023/12/12,01:59:29,13.3
2023/12/12,01:59:30,13.3
2023/12/12,01:59:31,13.3
2023/12/12,01:59:32,13.3
2023/12/12,01:59:33,13.2
2023/12/12,01:59:34,13.2
2023/12/12,01:59:35,13.3
2023/12/12,01:59:36,13.3
2023/12/12,01:59:37,13.3
2023/12/12,01:59:38,13.4
2023/12/12,01:59:39,13.4
2023/12/12,01:59:40,13.4
2023/12/12,01:59:41,13.3
2023/12/12,01:59:42,13.2
2023/12/12,01:59:43,13.3
2023/12/12,01:59:44,13.2
2023/12/12,01:59:45,13.2
2023/12/12,01:59:46,13.3
2023/12/12,01:59:47,13.3
2023/12/12,01:59:48,13.3
2023/12/12,01:59:49,13.4
2023/12/12,01:59:50,13.5
2023/12/12,01:59:51,13.5
2023/12/12,01:59:52,13.6
2023/12/12,01:59:53,13.6
2023/12/12,01:59:54,13.7
2023/12/12,01:59:55,13.7
2023/12/12,01:59:56,13.8
2023/12/12,01:59:57,13.9
2023/12/12,01:59:58,14.0
2023/12/12,01:59:59,13.9
2023/12/12,02:00:01,13.9
2023/12/12,02:00:02,13.8
2023/12/12,02:00:03,13.6
2023/12/12,02:00:04,13.6
2023/12/12,02:00:05,13.5
2023/12/12,02:00:06,13.3
2023/12/12,02:00:07,13.3
2023/12/12,02:00:08,13.2
2023/12/12,02:00:09,13.2
2023/12/12,02:00:10,13.2
2023/12/12,02:00:11,13.2
2023/12/12,02:00:12,13.3
2023/12/12,02:00:13,13.3
2023/12/12,02:00:14,13.4
2023/12/12,02:00:15,13.4
