年月日,時刻,データ01(mG)
2023/12/12,03:54:23,11.5
2023/12/12,03:54:24,11.2
2023/12/12,03:54:25,10.9
2023/12/12,03:54:26,10.8
2023/12/12,03:54:27,10.4
2023/12/12,03:54:28,10.3
2023/12/12,03:54:29,10.0
2023/12/12,03:54:30,9.9
2023/12/12,03:54:31,9.9
2023/12/12,03:54:32,10.0
2023/12/12,03:54:33,10.4
2023/12/12,03:54:34,10.4
2023/12/12,03:54:35,10.5
2023/12/12,03:54:36,10.8
2023/12/12,03:54:37,11.0
2023/12/12,03:54:38,11.2
2023/12/12,03:54:39,11.3
2023/12/12,03:54:40,11.5
2023/12/12,03:54:41,11.4
2023/12/12,03:54:42,11.5
2023/12/12,03:54:43,11.5
2023/12/12,03:54:44,11.4
2023/12/12,03:54:45,11.4
2023/12/12,03:54:46,11.3
2023/12/12,03:54:47,11.3
2023/12/12,03:54:48,11.2
2023/12/12,03:54:49,11.2
2023/12/12,03:54:50,11.2
2023/12/12,03:54:51,11.2
2023/12/12,03:54:52,11.2
2023/12/12,03:54:53,11.3
2023/12/12,03:54:54,11.5
2023/12/12,03:54:55,11.5
2023/12/12,03:54:56,11.6
2023/12/12,03:54:57,11.7
2023/12/12,03:54:58,11.7
2023/12/12,03:54:59,11.7
2023/12/12,03:55:00,11.7
2023/12/12,03:55:01,11.6
2023/12/12,03:55:02,11.5
2023/12/12,03:55:03,11.5
2023/12/12,03:55:04,11.6
2023/12/12,03:55:05,11.5
2023/12/12,03:55:06,11.5
2023/12/12,03:55:07,11.5
2023/12/12,03:55:08,11.5
2023/12/12,03:55:09,11.6
2023/12/12,03:55:10,11.6
2023/12/12,03:55:11,11.6
2023/12/12,03:55:12,11.6
2023/12/12,03:55:13,11.5
2023/12/12,03:55:14,11.5
2023/12/12,03:55:15,11.6
2023/12/12,03:55:16,11.5
2023/12/12,03:55:17,11.5
2023/12/12,03:55:18,11.5
2023/12/12,03:55:19,11.6
2023/12/12,03:55:20,11.7
