年月日,時刻,データ01(mG)
2023/12/07,03:50:41,1464.0
2023/12/07,03:50:42,1464.0
2023/12/07,03:50:43,1472.0
2023/12/07,03:50:44,1472.0
2023/12/07,03:50:45,1472.0
2023/12/07,03:50:46,1459.0
2023/12/07,03:50:47,1459.0
2023/12/07,03:50:48,1459.0
2023/12/07,03:50:49,1459.0
2023/12/07,03:50:50,1459.0
2023/12/07,03:50:51,1472.0
2023/12/07,03:50:52,1472.0
2023/12/07,03:50:53,1464.0
2023/12/07,03:50:54,1464.0
2023/12/07,03:50:55,1464.0
2023/12/07,03:50:56,1472.0
2023/12/07,03:50:57,1468.0
2023/12/07,03:50:58,1468.0
2023/12/07,03:50:59,1468.0
2023/12/07,03:51:00,1468.0
2023/12/07,03:51:01,1464.0
2023/12/07,03:51:02,1464.0
2023/12/07,03:51:03,1464.0
2023/12/07,03:51:04,1464.0
2023/12/07,03:51:05,1464.0
2023/12/07,03:51:06,1464.0
2023/12/07,03:51:07,1459.0
2023/12/07,03:51:08,1468.0
2023/12/07,03:51:09,1468.0
2023/12/07,03:51:10,1468.0
2023/12/07,03:51:11,1468.0
2023/12/07,03:51:12,1464.0
2023/12/07,03:51:13,1455.0
2023/12/07,03:51:14,1455.0
2023/12/07,03:51:15,1455.0
2023/12/07,03:51:16,1451.0
2023/12/07,03:51:17,1459.0
2023/12/07,03:51:18,1459.0
2023/12/07,03:51:19,1459.0
2023/12/07,03:51:20,1459.0
2023/12/07,03:51:21,1459.0
2023/12/07,03:51:22,1459.0
2023/12/07,03:51:23,1459.0
2023/12/07,03:51:24,1459.0
2023/12/07,03:51:25,1464.0
2023/12/07,03:51:26,1455.0
2023/12/07,03:51:27,1455.0
2023/12/07,03:51:28,1472.0
2023/12/07,03:51:29,1464.0
2023/12/07,03:51:30,1455.0
2023/12/07,03:51:31,1455.0
2023/12/07,03:51:32,1451.0
2023/12/07,03:51:33,1451.0
2023/12/07,03:51:34,1451.0
2023/12/07,03:51:35,1459.0
2023/12/07,03:51:36,1451.0
2023/12/07,03:51:37,1451.0
2023/12/07,03:51:38,1451.0
2023/12/07,03:51:39,1451.0
2023/12/07,03:51:40,1451.0
2023/12/07,03:51:41,1451.0
2023/12/07,03:51:42,1451.0
2023/12/07,03:51:43,1451.0
2023/12/07,03:51:44,1451.0
2023/12/07,03:51:45,1451.0
2023/12/07,03:51:46,1451.0
2023/12/07,03:51:47,1451.0
2023/12/07,03:51:48,1451.0
2023/12/07,03:51:49,1451.0
2023/12/07,03:51:50,1451.0
2023/12/07,03:51:51,1451.0
2023/12/07,03:51:52,1451.0
2023/12/07,03:51:53,1455.0
2023/12/07,03:51:54,1464.0
2023/12/07,03:51:55,1455.0
2023/12/07,03:51:56,1464.0
2023/12/07,03:51:57,1455.0
2023/12/07,03:51:58,1455.0
2023/12/07,03:51:59,1451.0
2023/12/07,03:52:00,1451.0
2023/12/07,03:52:01,1451.0
2023/12/07,03:52:02,1451.0
2023/12/07,03:52:03,1451.0
2023/12/07,03:52:04,1464.0
2023/12/07,03:52:05,1464.0
2023/12/07,03:52:06,1464.0
2023/12/07,03:52:07,1464.0
2023/12/07,03:52:08,1455.0
2023/12/07,03:52:09,1451.0
2023/12/07,03:52:10,1459.0
2023/12/07,03:52:11,1459.0
