年月日,時刻,データ01(mG)
2023/12/07,02:57:13,1459.0
2023/12/07,02:57:14,1459.0
2023/12/07,02:57:16,1459.0
2023/12/07,02:57:17,1459.0
2023/12/07,02:57:18,1464.0
2023/12/07,02:57:19,1464.0
2023/12/07,02:57:20,1464.0
2023/12/07,02:57:21,1464.0
2023/12/07,02:57:22,1464.0
2023/12/07,02:57:23,1464.0
2023/12/07,02:57:24,1459.0
2023/12/07,02:57:25,1459.0
2023/12/07,02:57:26,1468.0
2023/12/07,02:57:27,1459.0
2023/12/07,02:57:28,1459.0
2023/12/07,02:57:29,1459.0
2023/12/07,02:57:30,1459.0
2023/12/07,02:57:31,1459.0
2023/12/07,02:57:32,1459.0
2023/12/07,02:57:33,1464.0
2023/12/07,02:57:34,1464.0
2023/12/07,02:57:35,1464.0
2023/12/07,02:57:36,1464.0
2023/12/07,02:57:37,1464.0
2023/12/07,02:57:38,1459.0
2023/12/07,02:57:39,1459.0
2023/12/07,02:57:40,1459.0
2023/12/07,02:57:41,1459.0
2023/12/07,02:57:42,1459.0
2023/12/07,02:57:43,1464.0
2023/12/07,02:57:44,1464.0
2023/12/07,02:57:45,1464.0
2023/12/07,02:57:46,1472.0
2023/12/07,02:57:47,1459.0
2023/12/07,02:57:48,1459.0
2023/12/07,02:57:49,1459.0
2023/12/07,02:57:50,1459.0
2023/12/07,02:57:51,1459.0
2023/12/07,02:57:52,1464.0
2023/12/07,02:57:53,1464.0
2023/12/07,02:57:54,1464.0
2023/12/07,02:57:55,1464.0
2023/12/07,02:57:56,1468.0
2023/12/07,02:57:57,1459.0
2023/12/07,02:57:58,1459.0
2023/12/07,02:57:59,1459.0
2023/12/07,02:58:00,1455.0
2023/12/07,02:58:01,1455.0
2023/12/07,02:58:02,1464.0
2023/12/07,02:58:03,1459.0
2023/12/07,02:58:04,1459.0
2023/12/07,02:58:05,1459.0
2023/12/07,02:58:06,1459.0
2023/12/07,02:58:07,1464.0
2023/12/07,02:58:08,1464.0
2023/12/07,02:58:09,1464.0
2023/12/07,02:58:10,1464.0
2023/12/07,02:58:11,1459.0
2023/12/07,02:58:12,1459.0
2023/12/07,02:58:13,1459.0
2023/12/07,02:58:14,1459.0
2023/12/07,02:58:15,1459.0
2023/12/07,02:58:16,1459.0
2023/12/07,02:58:17,1464.0
2023/12/07,02:58:18,1464.0
2023/12/07,02:58:19,1464.0
2023/12/07,02:58:20,1464.0
2023/12/07,02:58:21,1451.0
2023/12/07,02:58:22,1459.0
2023/12/07,02:58:23,1459.0
2023/12/07,02:58:24,1459.0
2023/12/07,02:58:25,1459.0
2023/12/07,02:58:26,1459.0
2023/12/07,02:58:27,1459.0
2023/12/07,02:58:28,1459.0
2023/12/07,02:58:29,1455.0
2023/12/07,02:58:30,1464.0
2023/12/07,02:58:31,1464.0
2023/12/07,02:58:32,1464.0
2023/12/07,02:58:33,1464.0
2023/12/07,02:58:34,1459.0
2023/12/07,02:58:35,1459.0
2023/12/07,02:58:36,1459.0
2023/12/07,02:58:37,1459.0
2023/12/07,02:58:38,1459.0
2023/12/07,02:58:39,1464.0
2023/12/07,02:58:40,1464.0
2023/12/07,02:58:41,1455.0
2023/12/07,02:58:42,1455.0
2023/12/07,02:58:43,1455.0
2023/12/07,02:58:44,1459.0
2023/12/07,02:58:45,1451.0
2023/12/07,02:58:46,1451.0
2023/12/07,02:58:47,1451.0
2023/12/07,02:58:48,1451.0
2023/12/07,02:58:49,1451.0
2023/12/07,02:58:50,1451.0
2023/12/07,02:58:51,1464.0
2023/12/07,02:58:52,1455.0
2023/12/07,02:58:53,1464.0
2023/12/07,02:58:54,1464.0
2023/12/07,02:58:55,1464.0
2023/12/07,02:58:56,1451.0
2023/12/07,02:58:57,1459.0
