年月日,時刻,データ01(mG)
2023/12/11,06:11:21,7.4
2023/12/11,06:11:22,7.6
2023/12/11,06:11:23,7.6
2023/12/11,06:11:24,7.6
2023/12/11,06:11:25,7.2
2023/12/11,06:11:26,7.1
2023/12/11,06:11:27,6.6
2023/12/11,06:11:28,6.4
2023/12/11,06:11:29,6.0
2023/12/11,06:11:30,5.8
2023/12/11,06:11:31,5.2
2023/12/11,06:11:32,4.7
2023/12/11,06:11:33,4.2
2023/12/11,06:11:34,3.9
2023/12/11,06:11:35,3.6
2023/12/11,06:11:36,3.4
2023/12/11,06:11:37,3.1
2023/12/11,06:11:38,3.2
2023/12/11,06:11:39,3.4
2023/12/11,06:11:40,3.7
2023/12/11,06:11:41,3.5
2023/12/11,06:11:42,3.5
2023/12/11,06:11:43,3.5
2023/12/11,06:11:44,3.6
2023/12/11,06:11:45,3.6
2023/12/11,06:11:46,3.7
2023/12/11,06:11:47,3.7
2023/12/11,06:11:48,3.3
2023/12/11,06:11:49,3.4
2023/12/11,06:11:50,3.9
2023/12/11,06:11:51,4.2
2023/12/11,06:11:52,4.7
2023/12/11,06:11:53,5.0
2023/12/11,06:11:54,5.3
2023/12/11,06:11:55,5.5
2023/12/11,06:11:56,5.9
2023/12/11,06:11:57,5.9
2023/12/11,06:11:58,5.5
2023/12/11,06:11:59,5.1
2023/12/11,06:12:00,4.6
2023/12/11,06:12:01,4.2
2023/12/11,06:12:02,3.6
2023/12/11,06:12:03,3.3
2023/12/11,06:12:04,2.5
2023/12/11,06:12:05,2.2
2023/12/11,06:12:06,2.1
2023/12/11,06:12:07,2.3
2023/12/11,06:12:08,2.4
2023/12/11,06:12:09,2.5
2023/12/11,06:12:10,3.1
2023/12/11,06:12:11,3.4
2023/12/11,06:12:12,3.9
2023/12/11,06:12:13,4.7
2023/12/11,06:12:14,5.0
2023/12/11,06:12:15,5.5
2023/12/11,06:12:16,5.8
2023/12/11,06:12:17,6.4
2023/12/11,06:12:18,6.6
2023/12/11,06:12:19,6.9
2023/12/11,06:12:20,7.1
2023/12/11,06:12:21,7.3
2023/12/11,06:12:22,7.5
2023/12/11,06:12:23,7.7
2023/12/11,06:12:24,7.8
2023/12/11,06:12:25,8.1
2023/12/11,06:12:26,8.2
2023/12/11,06:12:27,8.4
2023/12/11,06:12:28,8.5
2023/12/11,06:12:29,8.8
2023/12/11,06:12:30,9.0
2023/12/11,06:12:31,9.4
2023/12/11,06:12:32,9.5
2023/12/11,06:12:33,6.0
2023/12/11,06:12:34,5.9
2023/12/11,06:12:35,5.5
2023/12/11,06:12:36,5.2
2023/12/11,06:12:37,4.5
2023/12/11,06:12:38,0.0
2023/12/11,06:12:39,0.0
2023/12/11,06:12:40,-0.2
2023/12/11,06:12:41,-0.2
2023/12/11,06:12:42,-0.4
2023/12/11,06:12:43,-0.5
2023/12/11,06:12:44,-0.9
2023/12/11,06:12:45,-1.1
2023/12/11,06:12:46,-1.5
2023/12/11,06:12:47,-1.6
2023/12/11,06:12:48,-1.7
2023/12/11,06:12:49,-1.9
2023/12/11,06:12:50,-2.1
2023/12/11,06:12:51,0.0
2023/12/11,06:12:52,0.1
2023/12/11,06:12:53,0.3
2023/12/11,06:12:54,0.2
2023/12/11,06:12:55,0.1
2023/12/11,06:12:56,0.1
2023/12/11,06:12:57,0.1
2023/12/11,06:12:58,0.1
2023/12/11,06:12:59,0.1
2023/12/11,06:13:00,0.0
2023/12/11,06:13:01,0.0
2023/12/11,06:13:02,0.0
2023/12/11,06:13:03,-0.1
2023/12/11,06:13:04,-0.5
2023/12/11,06:13:05,-0.7
2023/12/11,06:13:06,-0.8
2023/12/11,06:13:07,1.6
2023/12/11,06:13:08,1.5
2023/12/11,06:13:09,1.5
2023/12/11,06:13:10,1.6
2023/12/11,06:13:11,1.7
2023/12/11,06:13:12,1.8
2023/12/11,06:13:14,1.9
2023/12/11,06:13:15,1.8
2023/12/11,06:13:16,4.2
2023/12/11,06:13:17,6.5
2023/12/11,06:13:18,6.6
2023/12/11,06:13:19,6.8
2023/12/11,06:13:20,6.8
