年月日,時刻,データ01(mG)
2023/12/01,06:19:53,-43.0
2023/12/01,06:19:54,-43.0
2023/12/01,06:19:55,-43.1
2023/12/01,06:19:56,-43.2
2023/12/01,06:19:57,-43.2
2023/12/01,06:19:58,-42.5
2023/12/01,06:19:59,-42.1
2023/12/01,06:20:00,-41.5
2023/12/01,06:20:01,-41.2
2023/12/01,06:20:02,-40.9
2023/12/01,06:20:03,-40.3
2023/12/01,06:20:04,-39.8
2023/12/01,06:20:05,-38.9
2023/12/01,06:20:06,-39.9
2023/12/01,06:20:07,-39.9
2023/12/01,06:20:08,-40.0
2023/12/01,06:20:09,-40.7
2023/12/01,06:20:10,-41.0
2023/12/01,06:20:11,-41.7
2023/12/01,06:20:12,-42.1
2023/12/01,06:20:13,-43.1
2023/12/01,06:20:14,-43.5
2023/12/01,06:20:15,-44.3
2023/12/01,06:20:16,-44.5
2023/12/01,06:20:17,-44.8
2023/12/01,06:20:18,-44.9
2023/12/01,06:20:19,-42.5
2023/12/01,06:20:20,-42.4
2023/12/01,06:20:21,-42.2
2023/12/01,06:20:22,-41.9
2023/12/01,06:20:24,-41.6
2023/12/01,06:20:25,-40.8
2023/12/01,06:20:26,-40.5
2023/12/01,06:20:27,-39.7
2023/12/01,06:20:28,-39.3
2023/12/01,06:20:29,-41.0
2023/12/01,06:20:30,-41.0
2023/12/01,06:20:31,-41.3
2023/12/01,06:20:32,-41.4
2023/12/01,06:20:33,-41.5
2023/12/01,06:20:34,-41.7
2023/12/01,06:20:35,-42.4
2023/12/01,06:20:36,-42.7
2023/12/01,06:20:37,-43.1
2023/12/01,06:20:38,-43.1
2023/12/01,06:20:39,-42.9
2023/12/01,06:20:40,-42.8
2023/12/01,06:20:41,-42.7
2023/12/01,06:20:42,-42.5
2023/12/01,06:20:43,-42.0
2023/12/01,06:20:44,-41.8
2023/12/01,06:20:45,-41.4
2023/12/01,06:20:46,-41.4
2023/12/01,06:20:47,-41.6
2023/12/01,06:20:48,-41.6
2023/12/01,06:20:49,-41.7
2023/12/01,06:20:50,-41.8
2023/12/01,06:20:51,-41.8
2023/12/01,06:20:52,-42.1
2023/12/01,06:20:53,-42.2
2023/12/01,06:20:54,-42.4
2023/12/01,06:20:55,-42.6
2023/12/01,06:20:56,-42.8
2023/12/01,06:20:57,-43.0
2023/12/01,06:20:58,-43.3
2023/12/01,06:20:59,-43.3
2023/12/01,06:21:00,-43.2
2023/12/01,06:21:01,-43.1
2023/12/01,06:21:02,-43.0
2023/12/01,06:21:03,-42.9
2023/12/01,06:21:04,-42.7
2023/12/01,06:21:05,-42.7
