年月日,時刻,データ01(mG)
2023/12/16,06:53:59,19.4
2023/12/16,06:54:00,19.3
2023/12/16,06:54:01,16.4
2023/12/16,06:54:02,16.3
2023/12/16,06:54:03,16.4
2023/12/16,06:54:04,16.7
2023/12/16,06:54:05,17.0
2023/12/16,06:54:06,17.8
2023/12/16,06:54:07,18.3
2023/12/16,06:54:08,19.2
2023/12/16,06:54:09,19.7
2023/12/16,06:54:10,21.0
2023/12/16,06:54:11,21.5
2023/12/16,06:54:12,22.5
2023/12/16,06:54:13,23.0
2023/12/16,06:54:14,23.8
2023/12/16,06:54:15,24.1
2023/12/16,06:54:16,24.6
2023/12/16,06:54:17,24.8
2023/12/16,06:54:18,25.4
2023/12/16,06:54:19,25.7
2023/12/16,06:54:20,26.5
2023/12/16,06:54:22,26.8
2023/12/16,06:54:23,27.3
2023/12/16,06:54:24,27.6
2023/12/16,06:54:25,25.6
2023/12/16,06:54:26,25.5
2023/12/16,06:54:27,25.5
2023/12/16,06:54:28,25.6
2023/12/16,06:54:29,25.5
2023/12/16,06:54:30,25.8
2023/12/16,06:54:31,25.9
2023/12/16,06:54:32,26.3
2023/12/16,06:54:33,26.4
2023/12/16,06:54:34,26.6
2023/12/16,06:54:35,26.7
2023/12/16,06:54:36,27.0
2023/12/16,06:54:37,27.1
2023/12/16,06:54:38,27.1
2023/12/16,06:54:39,27.1
2023/12/16,06:54:40,26.7
2023/12/16,06:54:41,26.5
2023/12/16,06:54:42,26.0
2023/12/16,06:54:43,25.8
2023/12/16,06:54:44,25.0
2023/12/16,06:54:45,24.6
2023/12/16,06:54:46,23.9
2023/12/16,06:54:47,23.5
2023/12/16,06:54:48,23.2
2023/12/16,06:54:49,23.0
2023/12/16,06:54:50,23.0
2023/12/16,06:54:51,22.9
2023/12/16,06:54:52,22.9
2023/12/16,06:54:53,22.9
2023/12/16,06:54:54,22.9
2023/12/16,06:54:55,22.6
2023/12/16,06:54:56,22.3
2023/12/16,06:54:57,21.8
2023/12/16,06:54:58,21.7
2023/12/16,06:54:59,21.5
2023/12/16,06:55:00,21.5
2023/12/16,06:55:01,21.5
2023/12/16,06:55:02,21.6
2023/12/16,06:55:03,21.8
2023/12/16,06:55:04,22.0
2023/12/16,06:55:05,22.2
2023/12/16,06:55:06,22.3
2023/12/16,06:55:07,22.3
2023/12/16,06:55:08,22.3
2023/12/16,06:55:09,22.3
2023/12/16,06:55:10,22.4
2023/12/16,06:55:11,22.5
2023/12/16,06:55:12,22.7
2023/12/16,06:55:13,19.0
2023/12/16,06:55:14,18.9
2023/12/16,06:55:15,18.9
2023/12/16,06:55:16,18.9
2023/12/16,06:55:17,19.0
2023/12/16,06:55:18,23.1
2023/12/16,06:55:19,23.1
2023/12/16,06:55:20,23.5
2023/12/16,06:55:21,23.8
2023/12/16,06:55:22,24.7
2023/12/16,06:55:23,25.2
2023/12/16,06:55:24,26.1
2023/12/16,06:55:25,26.5
2023/12/16,06:55:26,27.7
2023/12/16,06:55:27,28.3
2023/12/16,06:55:28,28.9
2023/12/16,06:55:29,29.0
2023/12/16,06:55:30,25.4
2023/12/16,06:55:31,21.2
2023/12/16,06:55:32,21.2
2023/12/16,06:55:33,21.3
2023/12/16,06:55:34,21.3
2023/12/16,06:55:35,21.3
2023/12/16,06:55:36,21.4
2023/12/16,06:55:37,21.8
2023/12/16,06:55:38,22.1
2023/12/16,06:55:39,22.9
2023/12/16,06:55:40,23.3
2023/12/16,06:55:41,23.8
2023/12/16,06:55:42,27.8
2023/12/16,06:55:43,29.8
2023/12/16,06:55:44,29.6
2023/12/16,06:55:45,29.3
2023/12/16,06:55:46,29.1
2023/12/16,06:55:47,28.7
2023/12/16,06:55:48,28.6
2023/12/16,06:55:49,28.1
2023/12/16,06:55:50,27.9
2023/12/16,06:55:51,27.6
2023/12/16,06:55:52,27.6
2023/12/16,06:55:53,27.5
2023/12/16,06:55:54,27.4
2023/12/16,06:55:55,27.4
2023/12/16,06:55:56,27.5
2023/12/16,06:55:57,27.5
2023/12/16,06:55:58,27.4
2023/12/16,06:55:59,27.4
2023/12/16,06:56:00,27.4
2023/12/16,06:56:01,27.4
2023/12/16,06:56:02,27.3
2023/12/16,06:56:03,27.1
