年月日,時刻,データ01(mG)
2023/12/16,03:16:01,13.4
2023/12/16,03:16:02,13.5
2023/12/16,03:16:03,13.6
2023/12/16,03:16:04,13.6
2023/12/16,03:16:05,13.6
2023/12/16,03:16:06,13.6
2023/12/16,03:16:07,13.6
2023/12/16,03:16:08,13.4
2023/12/16,03:16:09,13.3
2023/12/16,03:16:10,13.2
2023/12/16,03:16:11,13.2
2023/12/16,03:16:13,13.2
2023/12/16,03:16:14,13.2
2023/12/16,03:16:15,13.3
2023/12/16,03:16:16,13.2
2023/12/16,03:16:17,13.3
2023/12/16,03:16:18,13.4
2023/12/16,03:16:19,13.4
2023/12/16,03:16:20,13.6
2023/12/16,03:16:21,13.6
2023/12/16,03:16:22,13.7
2023/12/16,03:16:23,13.7
2023/12/16,03:16:24,13.8
2023/12/16,03:16:25,14.1
2023/12/16,03:16:26,14.2
2023/12/16,03:16:27,14.3
2023/12/16,03:16:28,14.3
2023/12/16,03:16:29,14.3
2023/12/16,03:16:30,14.3
2023/12/16,03:16:31,14.4
2023/12/16,03:16:32,14.4
2023/12/16,03:16:33,14.5
2023/12/16,03:16:34,14.5
2023/12/16,03:16:35,14.5
2023/12/16,03:16:36,14.4
2023/12/16,03:16:37,14.5
2023/12/16,03:16:38,14.4
2023/12/16,03:16:39,14.3
2023/12/16,03:16:40,14.3
2023/12/16,03:16:41,14.1
2023/12/16,03:16:42,14.0
2023/12/16,03:16:43,14.0
2023/12/16,03:16:44,14.0
2023/12/16,03:16:45,13.9
2023/12/16,03:16:46,13.9
2023/12/16,03:16:47,13.9
2023/12/16,03:16:48,13.8
2023/12/16,03:16:49,13.8
2023/12/16,03:16:50,13.9
2023/12/16,03:16:51,13.8
2023/12/16,03:16:52,13.9
2023/12/16,03:16:53,14.0
2023/12/16,03:16:54,14.0
2023/12/16,03:16:55,14.0
2023/12/16,03:16:56,14.1
2023/12/16,03:16:57,14.1
2023/12/16,03:16:58,14.1
2023/12/16,03:16:59,14.1
2023/12/16,03:17:00,14.2
2023/12/16,03:17:01,14.2
2023/12/16,03:17:02,14.3
2023/12/16,03:17:03,14.3
2023/12/16,03:17:04,14.3
2023/12/16,03:17:05,14.3
2023/12/16,03:17:06,14.4
2023/12/16,03:17:07,14.4
2023/12/16,03:17:08,14.1
2023/12/16,03:17:09,14.0
2023/12/16,03:17:10,13.9
2023/12/16,03:17:11,13.7
2023/12/16,03:17:12,13.7
2023/12/16,03:17:13,13.8
2023/12/16,03:17:14,13.8
2023/12/16,03:17:15,13.9
2023/12/16,03:17:16,14.0
2023/12/16,03:17:17,14.4
2023/12/16,03:17:18,14.4
2023/12/16,03:17:19,14.5
2023/12/16,03:17:20,14.6
2023/12/16,03:17:21,14.6
2023/12/16,03:17:22,14.5
2023/12/16,03:17:23,14.5
2023/12/16,03:17:24,14.5
2023/12/16,03:17:25,14.4
2023/12/16,03:17:26,14.4
2023/12/16,03:17:27,14.4
2023/12/16,03:17:28,14.4
2023/12/16,03:17:29,14.3
2023/12/16,03:17:30,14.3
2023/12/16,03:17:31,14.3
2023/12/16,03:17:32,14.2
2023/12/16,03:17:33,14.2
2023/12/16,03:17:34,14.0
2023/12/16,03:17:35,14.0
2023/12/16,03:17:36,14.1
2023/12/16,03:17:37,14.1
2023/12/16,03:17:38,14.1
2023/12/16,03:17:39,14.2
2023/12/16,03:17:40,14.4
2023/12/16,03:17:41,14.5
2023/12/16,03:17:42,14.4
2023/12/16,03:17:43,14.5
2023/12/16,03:17:44,14.5
2023/12/16,03:17:45,14.4
2023/12/16,03:17:46,14.3
2023/12/16,03:17:47,14.3
2023/12/16,03:17:48,14.3
2023/12/16,03:17:49,14.3
2023/12/16,03:17:50,14.4
2023/12/16,03:17:51,14.5
2023/12/16,03:17:52,14.4
2023/12/16,03:17:53,14.5
2023/12/16,03:17:54,14.8
2023/12/16,03:17:55,14.8
2023/12/16,03:17:56,14.8
2023/12/16,03:17:57,14.7
2023/12/16,03:17:58,14.6
2023/12/16,03:17:59,14.6
2023/12/16,03:18:00,14.7
2023/12/16,03:18:01,14.7
2023/12/16,03:18:02,14.6
2023/12/16,03:18:03,14.5
2023/12/16,03:18:04,14.6
2023/12/16,03:18:05,14.5
2023/12/16,03:18:06,14.6
2023/12/16,03:18:07,14.5
2023/12/16,03:18:08,14.6
2023/12/16,03:18:09,14.6
2023/12/16,03:18:10,14.7
2023/12/16,03:18:11,14.7
2023/12/16,03:18:12,14.7
2023/12/16,03:18:13,14.6
2023/12/16,03:18:14,14.7
2023/12/16,03:18:15,14.8
2023/12/16,03:18:16,14.7
2023/12/16,03:18:17,14.6
2023/12/16,03:18:18,14.6
2023/12/16,03:18:19,14.7
2023/12/16,03:18:20,14.6
2023/12/16,03:18:21,14.5
2023/12/16,03:18:22,14.3
2023/12/16,03:18:23,14.2
2023/12/16,03:18:24,13.8
2023/12/16,03:18:25,13.7
2023/12/16,03:18:26,13.5
2023/12/16,03:18:27,13.4
2023/12/16,03:18:28,13.4
2023/12/16,03:18:29,13.4
2023/12/16,03:18:30,13.7
2023/12/16,03:18:31,13.8
2023/12/16,03:18:32,14.0
2023/12/16,03:18:33,14.1
2023/12/16,03:18:34,14.2
2023/12/16,03:18:35,14.3
2023/12/16,03:18:36,14.3
2023/12/16,03:18:37,14.2
2023/12/16,03:18:38,14.0
2023/12/16,03:18:39,13.9
2023/12/16,03:18:40,13.9
2023/12/16,03:18:41,13.9
2023/12/16,03:18:42,13.9
2023/12/16,03:18:43,13.8
2023/12/16,03:18:44,13.9
2023/12/16,03:18:45,14.0
2023/12/16,03:18:46,14.1
2023/12/16,03:18:47,14.3
2023/12/16,03:18:48,14.4
2023/12/16,03:18:49,14.4
2023/12/16,03:18:50,14.4
2023/12/16,03:18:51,14.5
2023/12/16,03:18:52,14.4
2023/12/16,03:18:53,14.3
2023/12/16,03:18:54,14.2
2023/12/16,03:18:55,14.0
2023/12/16,03:18:56,13.8
2023/12/16,03:18:57,13.7
2023/12/16,03:18:58,13.6
2023/12/16,03:18:59,13.5
2023/12/16,03:19:00,13.5
2023/12/16,03:19:01,13.6
2023/12/16,03:19:02,13.6
2023/12/16,03:19:03,13.5
2023/12/16,03:19:04,13.5
2023/12/16,03:19:05,13.4
2023/12/16,03:19:06,13.4
2023/12/16,03:19:07,13.3
2023/12/16,03:19:09,13.2
2023/12/16,03:19:10,13.1
2023/12/16,03:19:11,12.9
2023/12/16,03:19:12,12.9
2023/12/16,03:19:13,13.0
2023/12/16,03:19:14,13.0
2023/12/16,03:19:15,13.0
2023/12/16,03:19:16,13.0
2023/12/16,03:19:17,13.1
2023/12/16,03:19:18,13.2
2023/12/16,03:19:19,13.2
2023/12/16,03:19:20,13.3
2023/12/16,03:19:21,13.4
2023/12/16,03:19:22,13.5
2023/12/16,03:19:23,13.6
2023/12/16,03:19:24,13.7
2023/12/16,03:19:25,13.9
2023/12/16,03:19:26,13.9
2023/12/16,03:19:27,14.1
2023/12/16,03:19:28,14.2
2023/12/16,03:19:29,14.3
2023/12/16,03:19:30,14.4
2023/12/16,03:19:31,14.4
2023/12/16,03:19:32,14.3
2023/12/16,03:19:33,14.2
2023/12/16,03:19:34,14.0
2023/12/16,03:19:35,13.9
2023/12/16,03:19:36,13.7
2023/12/16,03:19:37,13.6
2023/12/16,03:19:38,13.4
2023/12/16,03:19:39,13.4
2023/12/16,03:19:40,13.4
2023/12/16,03:19:41,13.4
2023/12/16,03:19:42,13.5
2023/12/16,03:19:43,13.5
2023/12/16,03:19:44,13.5
2023/12/16,03:19:45,13.5
2023/12/16,03:19:46,13.5
2023/12/16,03:19:47,13.4
2023/12/16,03:19:48,13.6
2023/12/16,03:19:49,13.7
2023/12/16,03:19:50,13.7
2023/12/16,03:19:51,13.8
2023/12/16,03:19:52,13.9
2023/12/16,03:19:53,14.0
2023/12/16,03:19:54,14.0
2023/12/16,03:19:55,14.2
2023/12/16,03:19:56,14.3
2023/12/16,03:19:57,14.2
2023/12/16,03:19:58,14.1
2023/12/16,03:19:59,14.2
2023/12/16,03:20:00,14.3
2023/12/16,03:20:01,14.3
2023/12/16,03:20:02,14.2
2023/12/16,03:20:03,14.1
2023/12/16,03:20:04,14.0
