年月日,時刻,データ01(mG)
2023/12/08,05:06:47,-11.2
2023/12/08,05:06:48,-11.9
2023/12/08,05:06:49,-12.2
2023/12/08,05:06:50,-12.9
2023/12/08,05:06:51,-13.1
2023/12/08,05:06:52,-13.4
2023/12/08,05:06:53,-13.6
2023/12/08,05:06:54,-14.0
2023/12/08,05:06:55,-14.2
2023/12/08,05:06:56,-14.4
2023/12/08,05:06:57,-14.7
2023/12/08,05:06:58,-14.9
2023/12/08,05:06:59,-15.4
2023/12/08,05:07:00,-15.7
2023/12/08,05:07:01,-16.2
2023/12/08,05:07:02,-16.3
2023/12/08,05:07:03,-16.2
2023/12/08,05:07:04,-16.1
2023/12/08,05:07:05,-16.0
2023/12/08,05:07:06,-15.8
2023/12/08,05:07:07,-15.0
2023/12/08,05:07:08,-14.4
2023/12/08,05:07:09,-13.2
2023/12/08,05:07:10,-12.8
2023/12/08,05:07:11,-11.9
2023/12/08,05:07:12,-11.4
2023/12/08,05:07:13,-10.5
2023/12/08,05:07:14,-10.0
2023/12/08,05:07:15,-9.3
2023/12/08,05:07:16,-9.1
2023/12/08,05:07:17,-8.8
2023/12/08,05:07:18,-8.4
2023/12/08,05:07:19,-8.2
2023/12/08,05:07:20,-8.0
2023/12/08,05:07:21,-8.0
2023/12/08,05:07:22,-8.0
2023/12/08,05:07:23,-8.0
2023/12/08,05:07:24,-8.1
2023/12/08,05:07:25,-8.2
2023/12/08,05:07:26,-8.3
2023/12/08,05:07:27,-8.4
2023/12/08,05:07:28,-8.5
2023/12/08,05:07:29,-8.5
2023/12/08,05:07:30,-8.4
2023/12/08,05:07:31,-8.4
2023/12/08,05:07:32,-8.3
2023/12/08,05:07:33,-8.4
2023/12/08,05:07:34,-8.6
2023/12/08,05:07:35,-8.7
2023/12/08,05:07:36,-8.9
2023/12/08,05:07:37,-9.0
2023/12/08,05:07:39,-14.4
2023/12/08,05:07:40,-14.4
2023/12/08,05:07:41,-14.5
2023/12/08,05:07:42,-14.7
2023/12/08,05:07:43,-14.8
2023/12/08,05:07:44,-15.2
2023/12/08,05:07:45,-15.3
2023/12/08,05:07:46,-15.5
2023/12/08,05:07:47,-15.6
2023/12/08,05:07:48,-15.7
2023/12/08,05:07:49,-15.6
2023/12/08,05:07:50,-15.2
2023/12/08,05:07:51,-14.8
2023/12/08,05:07:52,-14.0
2023/12/08,05:07:53,-13.6
2023/12/08,05:07:54,-12.8
2023/12/08,05:07:55,-12.3
2023/12/08,05:07:56,-11.4
2023/12/08,05:07:57,-11.1
2023/12/08,05:07:58,-10.6
2023/12/08,05:07:59,-10.4
2023/12/08,05:08:00,-10.1
2023/12/08,05:08:01,-9.9
2023/12/08,05:08:02,-9.8
2023/12/08,05:08:03,-9.8
2023/12/08,05:08:04,-9.7
2023/12/08,05:08:05,-9.9
2023/12/08,05:08:06,-10.0
2023/12/08,05:08:07,-10.3
2023/12/08,05:08:08,-10.6
2023/12/08,05:08:09,-11.2
2023/12/08,05:08:10,-11.5
2023/12/08,05:08:11,-12.0
2023/12/08,05:08:12,-12.1
2023/12/08,05:08:13,-12.3
2023/12/08,05:08:14,-12.4
2023/12/08,05:08:15,-12.6
2023/12/08,05:08:16,-12.6
2023/12/08,05:08:17,-12.8
2023/12/08,05:08:18,-12.9
2023/12/08,05:08:19,-13.2
2023/12/08,05:08:20,-13.4
2023/12/08,05:08:21,-13.5
2023/12/08,05:08:22,-13.4
2023/12/08,05:08:23,-13.3
2023/12/08,05:08:24,-13.2
2023/12/08,05:08:25,-13.0
2023/12/08,05:08:26,-12.6
2023/12/08,05:08:27,-12.5
2023/12/08,05:08:28,-12.4
2023/12/08,05:08:29,-12.4
2023/12/08,05:08:30,-12.5
2023/12/08,05:08:31,-12.6
2023/12/08,05:08:32,-13.1
2023/12/08,05:08:33,-13.6
2023/12/08,05:08:34,-14.1
2023/12/08,05:08:35,-14.3
2023/12/08,05:08:36,-14.5
2023/12/08,05:08:37,-14.7
2023/12/08,05:08:38,-15.1
2023/12/08,05:08:39,-15.2
2023/12/08,05:08:40,-18.2
2023/12/08,05:08:41,-18.3
2023/12/08,05:08:42,-18.5
2023/12/08,05:08:43,-18.6
2023/12/08,05:08:44,-18.9
2023/12/08,05:08:45,-19.0
2023/12/08,05:08:46,-19.4
2023/12/08,05:08:47,-19.6
2023/12/08,05:08:48,-19.7
2023/12/08,05:08:49,-19.5
2023/12/08,05:08:50,-19.4
2023/12/08,05:08:51,-19.0
2023/12/08,05:08:52,-18.7
2023/12/08,05:08:53,-18.0
2023/12/08,05:08:54,-17.5
2023/12/08,05:08:55,-16.3
2023/12/08,05:08:56,-15.8
2023/12/08,05:08:57,-14.9
2023/12/08,05:08:58,-14.3
2023/12/08,05:08:59,-13.3
2023/12/08,05:09:00,-12.8
2023/12/08,05:09:01,-12.1
2023/12/08,05:09:02,-11.9
2023/12/08,05:09:03,-11.3
2023/12/08,05:09:04,-10.9
2023/12/08,05:09:05,-10.5
2023/12/08,05:09:06,-10.3
2023/12/08,05:09:07,-9.9
2023/12/08,05:09:08,-9.7
2023/12/08,05:09:09,-9.0
2023/12/08,05:09:10,-8.7
2023/12/08,05:09:11,-8.3
2023/12/08,05:09:12,-8.3
2023/12/08,05:09:13,-8.3
2023/12/08,05:09:14,-8.1
2023/12/08,05:09:15,-8.1
2023/12/08,05:09:16,-8.4
2023/12/08,05:09:17,-8.5
2023/12/08,05:09:18,-9.0
2023/12/08,05:09:19,-9.2
2023/12/08,05:09:20,-9.4
2023/12/08,05:09:21,-9.4
2023/12/08,05:09:22,-9.8
2023/12/08,05:09:23,-10.0
2023/12/08,05:09:24,-10.3
2023/12/08,05:09:25,-10.4
2023/12/08,05:09:26,-10.7
2023/12/08,05:09:27,-10.9
2023/12/08,05:09:28,-11.1
2023/12/08,05:09:29,-11.2
2023/12/08,05:09:30,-11.1
2023/12/08,05:09:31,-11.1
2023/12/08,05:09:32,-11.0
2023/12/08,05:09:33,-11.1
2023/12/08,05:09:34,-11.1
2023/12/08,05:09:35,-11.0
2023/12/08,05:09:36,-11.0
2023/12/08,05:09:37,-10.9
2023/12/08,05:09:38,-10.9
2023/12/08,05:09:39,-10.9
2023/12/08,05:09:40,-10.9
2023/12/08,05:09:41,-10.9
2023/12/08,05:09:42,-10.9
2023/12/08,05:09:43,-10.8
2023/12/08,05:09:44,-10.8
2023/12/08,05:09:45,-10.8
2023/12/08,05:09:46,-10.8
2023/12/08,05:09:47,-10.7
2023/12/08,05:09:48,-10.8
2023/12/08,05:09:49,-10.8
2023/12/08,05:09:50,-10.7
2023/12/08,05:09:51,-10.7
2023/12/08,05:09:52,-10.8
2023/12/08,05:09:53,-11.0
2023/12/08,05:09:54,-11.2
2023/12/08,05:09:55,-11.5
2023/12/08,05:09:56,-11.6
2023/12/08,05:09:57,-11.8
2023/12/08,05:09:58,-12.0
2023/12/08,05:09:59,-12.2
2023/12/08,05:10:00,-12.5
2023/12/08,05:10:01,-12.6
2023/12/08,05:10:02,-12.5
2023/12/08,05:10:03,-12.3
2023/12/08,05:10:04,-12.0
2023/12/08,05:10:05,-11.8
2023/12/08,05:10:06,-11.9
2023/12/08,05:10:07,-11.7
2023/12/08,05:10:08,-11.2
2023/12/08,05:10:09,-11.1
2023/12/08,05:10:10,-10.8
2023/12/08,05:10:11,-10.9
2023/12/08,05:10:12,-11.1
2023/12/08,05:10:13,-11.2
2023/12/08,05:10:14,-11.4
2023/12/08,05:10:15,-11.7
2023/12/08,05:10:16,-12.5
2023/12/08,05:10:17,-13.0
2023/12/08,05:10:18,-14.1
2023/12/08,05:10:19,-19.7
2023/12/08,05:10:20,-19.6
2023/12/08,05:10:21,-19.5
2023/12/08,05:10:22,-19.4
2023/12/08,05:10:24,-19.3
2023/12/08,05:10:25,-19.3
2023/12/08,05:10:26,-19.2
2023/12/08,05:10:27,-19.2
2023/12/08,05:10:28,-19.0
2023/12/08,05:10:29,-18.7
2023/12/08,05:10:30,-18.3
2023/12/08,05:10:31,-18.1
2023/12/08,05:10:32,-17.6
2023/12/08,05:10:33,-17.0
2023/12/08,05:10:34,-15.7
2023/12/08,05:10:35,-15.0
2023/12/08,05:10:36,-13.5
2023/12/08,05:10:37,-12.9
2023/12/08,05:10:38,-11.5
2023/12/08,05:10:39,-10.9
2023/12/08,05:10:40,-9.6
2023/12/08,05:10:41,-9.1
2023/12/08,05:10:42,-8.5
2023/12/08,05:10:43,-8.3
2023/12/08,05:10:44,-8.0
2023/12/08,05:10:45,-8.0
2023/12/08,05:10:46,-8.5
2023/12/08,05:10:47,-8.9
2023/12/08,05:10:48,-9.7
2023/12/08,05:10:49,-10.2
2023/12/08,05:10:50,-11.4
2023/12/08,05:10:51,-12.1
2023/12/08,05:10:52,-12.8
2023/12/08,05:10:53,-13.9
2023/12/08,05:10:54,-14.3
2023/12/08,05:10:55,-14.6
2023/12/08,05:10:56,-14.7
2023/12/08,05:10:57,-14.6
2023/12/08,05:10:58,-14.3
2023/12/08,05:10:59,-13.7
2023/12/08,05:11:00,-13.4
2023/12/08,05:11:01,-12.8
2023/12/08,05:11:02,-12.4
2023/12/08,05:11:03,-11.7
2023/12/08,05:11:04,-11.4
2023/12/08,05:11:05,-11.0
2023/12/08,05:11:06,-11.0
2023/12/08,05:11:07,-11.0
2023/12/08,05:11:08,-10.9
2023/12/08,05:11:09,-10.9
2023/12/08,05:11:10,-11.1
2023/12/08,05:11:11,-11.4
2023/12/08,05:11:12,-11.5
2023/12/08,05:11:13,-11.5
2023/12/08,05:11:14,-11.3
2023/12/08,05:11:15,-11.1
2023/12/08,05:11:16,-10.7
2023/12/08,05:11:17,-10.5
2023/12/08,05:11:18,-10.2
2023/12/08,05:11:19,-9.9
2023/12/08,05:11:20,-9.6
2023/12/08,05:11:21,-9.6
2023/12/08,05:11:22,-9.5
2023/12/08,05:11:23,-9.5
