年月日,時刻,データ01(mG)
2023/12/16,01:00:09,15.8
2023/12/16,01:00:10,15.7
2023/12/16,01:00:11,15.7
2023/12/16,01:00:12,15.7
2023/12/16,01:00:13,15.7
2023/12/16,01:00:14,15.7
2023/12/16,01:00:15,15.6
2023/12/16,01:00:16,15.7
2023/12/16,01:00:17,15.8
2023/12/16,01:00:18,16.0
2023/12/16,01:00:19,16.0
2023/12/16,01:00:20,16.1
2023/12/16,01:00:21,16.1
2023/12/16,01:00:22,16.2
2023/12/16,01:00:23,16.2
2023/12/16,01:00:24,16.1
2023/12/16,01:00:25,16.0
2023/12/16,01:00:26,16.0
2023/12/16,01:00:27,16.0
2023/12/16,01:00:28,15.9
2023/12/16,01:00:29,15.8
2023/12/16,01:00:30,15.7
2023/12/16,01:00:31,15.6
2023/12/16,01:00:32,15.4
2023/12/16,01:00:33,15.4
2023/12/16,01:00:34,15.2
2023/12/16,01:00:35,15.1
2023/12/16,01:00:36,15.1
2023/12/16,01:00:37,15.2
2023/12/16,01:00:38,15.4
2023/12/16,01:00:40,15.4
2023/12/16,01:00:41,15.6
2023/12/16,01:00:42,15.6
2023/12/16,01:00:43,15.5
2023/12/16,01:00:44,15.4
2023/12/16,01:00:45,15.1
2023/12/16,01:00:46,15.1
2023/12/16,01:00:47,14.9
2023/12/16,01:00:48,14.9
2023/12/16,01:00:49,14.9
2023/12/16,01:00:50,15.0
2023/12/16,01:00:51,15.1
2023/12/16,01:00:52,15.4
2023/12/16,01:00:53,15.5
2023/12/16,01:00:54,15.7
2023/12/16,01:00:55,15.8
2023/12/16,01:00:56,15.9
2023/12/16,01:00:57,15.9
2023/12/16,01:00:58,15.9
2023/12/16,01:00:59,15.9
2023/12/16,01:01:00,15.9
2023/12/16,01:01:01,15.9
2023/12/16,01:01:02,16.0
2023/12/16,01:01:03,16.0
2023/12/16,01:01:04,15.9
2023/12/16,01:01:05,15.9
2023/12/16,01:01:06,15.9
2023/12/16,01:01:07,15.9
2023/12/16,01:01:08,15.7
2023/12/16,01:01:09,15.7
2023/12/16,01:01:10,15.5
2023/12/16,01:01:11,15.4
2023/12/16,01:01:12,15.3
2023/12/16,01:01:13,15.2
2023/12/16,01:01:14,15.0
2023/12/16,01:01:15,15.0
2023/12/16,01:01:16,15.0
2023/12/16,01:01:17,15.0
2023/12/16,01:01:18,14.9
2023/12/16,01:01:19,14.8
2023/12/16,01:01:20,15.0
2023/12/16,01:01:21,15.0
2023/12/16,01:01:22,14.9
2023/12/16,01:01:23,14.9
2023/12/16,01:01:24,14.8
2023/12/16,01:01:25,14.7
2023/12/16,01:01:26,14.7
2023/12/16,01:01:27,14.8
2023/12/16,01:01:28,13.4
