年月日,時刻,データ01(mG)
2023/12/14,10:36:26,-4.5
2023/12/14,10:36:27,-5.1
2023/12/14,10:36:28,-5.4
2023/12/14,10:36:29,-5.9
2023/12/14,10:36:30,-6.2
2023/12/14,10:36:31,-6.7
2023/12/14,10:36:32,-6.8
2023/12/14,10:36:33,-6.8
2023/12/14,10:36:34,-3.5
2023/12/14,10:36:35,-3.4
2023/12/14,10:36:36,-3.6
2023/12/14,10:36:37,-3.7
2023/12/14,10:36:38,-3.9
2023/12/14,10:36:39,-3.9
2023/12/14,10:36:40,-4.0
2023/12/14,10:36:41,-4.1
2023/12/14,10:36:42,-4.4
2023/12/14,10:36:43,-4.5
2023/12/14,10:36:44,-4.4
2023/12/14,10:36:45,-4.3
2023/12/14,10:36:46,-4.2
2023/12/14,10:36:47,-4.2
2023/12/14,10:36:48,-4.0
2023/12/14,10:36:49,-3.9
2023/12/14,10:36:50,-3.9
2023/12/14,10:36:51,-4.0
2023/12/14,10:36:52,-4.3
2023/12/14,10:36:53,-4.5
2023/12/14,10:36:54,-5.1
2023/12/14,10:36:55,-5.7
2023/12/14,10:36:56,-12.2
2023/12/14,10:36:57,-12.1
2023/12/14,10:36:58,-7.8
2023/12/14,10:36:59,-7.5
2023/12/14,10:37:00,-7.5
2023/12/14,10:37:01,-7.3
2023/12/14,10:37:02,-7.0
2023/12/14,10:37:03,-6.3
2023/12/14,10:37:04,-6.0
2023/12/14,10:37:05,1.5
2023/12/14,10:37:06,1.5
2023/12/14,10:37:07,1.7
2023/12/14,10:37:08,1.7
2023/12/14,10:37:09,1.6
2023/12/14,10:37:10,0.0
2023/12/14,10:37:11,0.2
2023/12/14,10:37:12,0.4
2023/12/14,10:37:13,0.7
2023/12/14,10:37:14,0.7
2023/12/14,10:37:15,0.9
2023/12/14,10:37:16,0.9
2023/12/14,10:37:17,0.9
2023/12/14,10:37:18,0.8
2023/12/14,10:37:19,0.7
2023/12/14,10:37:20,0.6
2023/12/14,10:37:21,0.3
2023/12/14,10:37:22,0.3
2023/12/14,10:37:23,0.2
2023/12/14,10:37:24,0.3
2023/12/14,10:37:25,0.7
2023/12/14,10:37:26,1.0
2023/12/14,10:37:27,1.0
2023/12/14,10:37:28,1.2
2023/12/14,10:37:29,1.3
2023/12/14,10:37:30,-0.9
2023/12/14,10:37:31,-0.9
2023/12/14,10:37:32,-1.0
2023/12/14,10:37:33,-1.0
2023/12/14,10:37:34,2.4
2023/12/14,10:37:35,2.3
2023/12/14,10:37:36,2.4
2023/12/14,10:37:37,2.4
2023/12/14,10:37:38,2.6
2023/12/14,10:37:39,1.0
2023/12/14,10:37:40,0.7
2023/12/14,10:37:41,0.0
2023/12/14,10:37:42,0.1
2023/12/14,10:37:43,0.1
2023/12/14,10:37:44,-1.4
2023/12/14,10:37:45,-1.4
2023/12/14,10:37:46,-1.6
2023/12/14,10:37:47,-1.7
2023/12/14,10:37:48,-1.9
2023/12/14,10:37:50,-1.9
2023/12/14,10:37:51,-1.9
2023/12/14,10:37:52,-1.9
2023/12/14,10:37:53,-1.9
2023/12/14,10:37:54,-1.7
2023/12/14,10:37:55,-1.0
2023/12/14,10:37:56,-1.8
2023/12/14,10:37:57,-4.6
2023/12/14,10:37:58,-4.5
2023/12/14,10:37:59,-4.4
2023/12/14,10:38:00,-0.9
2023/12/14,10:38:01,-0.7
2023/12/14,10:38:02,0.0
2023/12/14,10:38:03,0.1
2023/12/14,10:38:04,0.3
2023/12/14,10:38:05,0.4
2023/12/14,10:38:06,0.8
2023/12/14,10:38:07,1.0
2023/12/14,10:38:08,1.5
2023/12/14,10:38:09,1.3
2023/12/14,10:38:10,-2.2
2023/12/14,10:38:11,-2.3
2023/12/14,10:38:12,-2.3
2023/12/14,10:38:13,-2.3
2023/12/14,10:38:14,-2.6
2023/12/14,10:38:15,-2.7
2023/12/14,10:38:16,-3.0
2023/12/14,10:38:17,-3.2
2023/12/14,10:38:18,-7.5
2023/12/14,10:38:19,-7.5
2023/12/14,10:38:20,-7.5
2023/12/14,10:38:21,-7.5
2023/12/14,10:38:22,-7.4
2023/12/14,10:38:23,-7.3
2023/12/14,10:38:24,-7.1
2023/12/14,10:38:25,-6.8
2023/12/14,10:38:26,-6.6
2023/12/14,10:38:27,-6.2
2023/12/14,10:38:28,-6.0
2023/12/14,10:38:29,-5.8
2023/12/14,10:38:30,-5.6
2023/12/14,10:38:31,-5.3
2023/12/14,10:38:32,-5.2
2023/12/14,10:38:33,-5.2
2023/12/14,10:38:34,-5.1
2023/12/14,10:38:35,-5.1
2023/12/14,10:38:36,-5.1
2023/12/14,10:38:37,-5.1
2023/12/14,10:38:38,-5.2
2023/12/14,10:38:39,-5.3
2023/12/14,10:38:40,-5.2
2023/12/14,10:38:41,-5.0
2023/12/14,10:38:42,-4.8
2023/12/14,10:38:43,-4.0
2023/12/14,10:38:44,-3.6
2023/12/14,10:38:45,-2.8
2023/12/14,10:38:46,-2.3
2023/12/14,10:38:47,-1.8
2023/12/14,10:38:48,-0.7
2023/12/14,10:38:49,-0.1
2023/12/14,10:38:50,0.9
2023/12/14,10:38:51,1.3
2023/12/14,10:38:52,2.0
2023/12/14,10:38:53,2.3
2023/12/14,10:38:54,0.5
2023/12/14,10:38:55,0.4
2023/12/14,10:38:56,0.1
2023/12/14,10:38:57,0.0
2023/12/14,10:38:58,0.0
2023/12/14,10:38:59,0.2
2023/12/14,10:39:00,0.5
2023/12/14,10:39:01,0.7
2023/12/14,10:39:02,1.3
2023/12/14,10:39:03,1.5
2023/12/14,10:39:04,2.2
2023/12/14,10:39:05,2.4
2023/12/14,10:39:06,2.6
2023/12/14,10:39:07,2.6
2023/12/14,10:39:08,-2.4
2023/12/14,10:39:09,-2.5
2023/12/14,10:39:10,-3.0
2023/12/14,10:39:11,-3.3
2023/12/14,10:39:12,-3.7
2023/12/14,10:39:13,-3.8
2023/12/14,10:39:14,-3.7
2023/12/14,10:39:15,-3.7
2023/12/14,10:39:16,-3.4
2023/12/14,10:39:17,-3.0
2023/12/14,10:39:18,0.0
2023/12/14,10:39:19,0.0
2023/12/14,10:39:20,0.0
2023/12/14,10:39:21,0.0
2023/12/14,10:39:22,-0.2
2023/12/14,10:39:23,-0.4
2023/12/14,10:39:24,-0.5
2023/12/14,10:39:25,-0.8
2023/12/14,10:39:26,-0.8
2023/12/14,10:39:27,-0.9
2023/12/14,10:39:28,-0.9
2023/12/14,10:39:29,-0.7
2023/12/14,10:39:30,-0.5
2023/12/14,10:39:31,-0.4
2023/12/14,10:39:32,-0.4
2023/12/14,10:39:33,-0.4
2023/12/14,10:39:34,-0.6
2023/12/14,10:39:35,-1.3
2023/12/14,10:39:36,-1.7
2023/12/14,10:39:37,-2.9
2023/12/14,10:39:38,-3.4
2023/12/14,10:39:39,-4.4
2023/12/14,10:39:41,-5.0
2023/12/14,10:39:42,-6.0
2023/12/14,10:39:43,-6.4
2023/12/14,10:39:44,-6.9
2023/12/14,10:39:45,-6.9
2023/12/14,10:39:46,-6.6
2023/12/14,10:39:47,-6.5
2023/12/14,10:39:48,-6.2
2023/12/14,10:39:49,-6.0
2023/12/14,10:39:50,-5.5
2023/12/14,10:39:51,-4.7
2023/12/14,10:39:52,-4.3
