年月日,時刻,データ01(mG)
2023/03/25,03:02:31,786.0
2023/03/25,03:02:32,786.0
2023/03/25,03:02:33,786.0
2023/03/25,03:02:34,786.0
2023/03/25,03:02:35,787.0
2023/03/25,03:02:36,788.0
2023/03/25,03:02:37,788.0
2023/03/25,03:02:38,790.0
2023/03/25,03:02:39,788.0
2023/03/25,03:02:40,785.0
2023/03/25,03:02:41,786.0
2023/03/25,03:02:42,786.0
2023/03/25,03:02:43,786.0
2023/03/25,03:02:44,786.0
2023/03/25,03:02:45,785.0
2023/03/25,03:02:46,786.0
2023/03/25,03:02:47,787.0
2023/03/25,03:02:48,788.0
2023/03/25,03:02:49,788.0
2023/03/25,03:02:50,788.0
2023/03/25,03:02:51,788.0
2023/03/25,03:02:52,789.0
2023/03/25,03:02:53,788.0
2023/03/25,03:02:54,787.0
2023/03/25,03:02:55,788.0
2023/03/25,03:02:56,786.0
2023/03/25,03:02:57,787.0
2023/03/25,03:02:58,786.0
2023/03/25,03:02:59,788.0
2023/03/25,03:03:00,787.0
2023/03/25,03:03:01,787.0
2023/03/25,03:03:02,788.0
2023/03/25,03:03:03,789.0
2023/03/25,03:03:04,787.0
2023/03/25,03:03:06,788.0
2023/03/25,03:03:07,789.0
2023/03/25,03:03:08,787.0
2023/03/25,03:03:09,786.0
2023/03/25,03:03:10,787.0
2023/03/25,03:03:11,787.0
2023/03/25,03:03:12,787.0
2023/03/25,03:03:13,790.0
2023/03/25,03:03:14,787.0
2023/03/25,03:03:15,789.0
2023/03/25,03:03:16,788.0
2023/03/25,03:03:17,791.0
2023/03/25,03:03:18,789.0
2023/03/25,03:03:19,789.0
2023/03/25,03:03:20,788.0
2023/03/25,03:03:21,788.0
2023/03/25,03:03:22,788.0
2023/03/25,03:03:23,788.0
2023/03/25,03:03:24,788.0
2023/03/25,03:03:25,788.0
2023/03/25,03:03:26,788.0
2023/03/25,03:03:27,788.0
2023/03/25,03:03:28,790.0
2023/03/25,03:03:29,790.0
2023/03/25,03:03:30,792.0
2023/03/25,03:03:31,790.0
2023/03/25,03:03:32,790.0
2023/03/25,03:03:33,788.0
2023/03/25,03:03:34,790.0
2023/03/25,03:03:35,788.0
2023/03/25,03:03:36,788.0
2023/03/25,03:03:37,788.0
2023/03/25,03:03:38,789.0
2023/03/25,03:03:39,789.0
2023/03/25,03:03:40,790.0
2023/03/25,03:03:41,789.0
2023/03/25,03:03:42,790.0
2023/03/25,03:03:43,787.0
2023/03/25,03:03:44,787.0
2023/03/25,03:03:45,788.0
2023/03/25,03:03:46,788.0
2023/03/25,03:03:47,790.0
2023/03/25,03:03:48,789.0
2023/03/25,03:03:49,790.0
2023/03/25,03:03:50,791.0
2023/03/25,03:03:51,792.0
2023/03/25,03:03:52,787.0
2023/03/25,03:03:53,787.0
2023/03/25,03:03:54,787.0
2023/03/25,03:03:55,789.0
2023/03/25,03:03:56,788.0
2023/03/25,03:03:57,791.0
2023/03/25,03:03:58,790.0
2023/03/25,03:03:59,791.0
2023/03/25,03:04:00,789.0
2023/03/25,03:04:01,787.0
2023/03/25,03:04:02,788.0
2023/03/25,03:04:03,789.0
2023/03/25,03:04:04,790.0
2023/03/25,03:04:05,789.0
2023/03/25,03:04:06,789.0
2023/03/25,03:04:07,790.0
2023/03/25,03:04:08,789.0
2023/03/25,03:04:09,787.0
2023/03/25,03:04:10,787.0
2023/03/25,03:04:11,788.0
2023/03/25,03:04:12,790.0
2023/03/25,03:04:13,790.0
2023/03/25,03:04:14,791.0
2023/03/25,03:04:15,790.0
2023/03/25,03:04:16,787.0
2023/03/25,03:04:17,787.0
2023/03/25,03:04:18,787.0
2023/03/25,03:04:19,788.0
2023/03/25,03:04:20,790.0
2023/03/25,03:04:21,789.0
2023/03/25,03:04:22,789.0
2023/03/25,03:04:23,786.0
2023/03/25,03:04:24,787.0
2023/03/25,03:04:25,789.0
