年月日,時刻,データ01(mG)
2023/04/17,21:44:09,766.0
2023/04/17,21:44:10,763.0
2023/04/17,21:44:11,761.0
2023/04/17,21:44:12,762.0
2023/04/17,21:44:13,763.0
2023/04/17,21:44:14,763.0
2023/04/17,21:44:15,762.0
2023/04/17,21:44:16,758.0
2023/04/17,21:44:17,761.0
2023/04/17,21:44:18,759.0
2023/04/17,21:44:19,760.0
2023/04/17,21:44:20,762.0
2023/04/17,21:44:21,762.0
2023/04/17,21:44:22,756.0
2023/04/17,21:44:23,756.0
2023/04/17,21:44:24,757.0
2023/04/17,21:44:25,757.0
2023/04/17,21:44:26,759.0
2023/04/17,21:44:27,758.0
2023/04/17,21:44:28,756.0
2023/04/17,21:44:29,757.0
2023/04/17,21:44:30,762.0
2023/04/17,21:44:31,761.0
2023/04/17,21:44:32,763.0
2023/04/17,21:44:33,763.0
2023/04/17,21:44:34,761.0
2023/04/17,21:44:35,759.0
2023/04/17,21:44:36,761.0
2023/04/17,21:44:37,764.0
2023/04/17,21:44:38,764.0
2023/04/17,21:44:39,762.0
2023/04/17,21:44:40,763.0
2023/04/17,21:44:41,762.0
2023/04/17,21:44:42,761.0
2023/04/17,21:44:43,765.0
2023/04/17,21:44:44,763.0
2023/04/17,21:44:45,759.0
2023/04/17,21:44:46,758.0
2023/04/17,21:44:47,760.0
2023/04/17,21:44:48,758.0
2023/04/17,21:44:49,761.0
2023/04/17,21:44:50,760.0
2023/04/17,21:44:51,754.0
2023/04/17,21:44:52,756.0
2023/04/17,21:44:53,754.0
2023/04/17,21:44:54,755.0
2023/04/17,21:44:55,759.0
2023/04/17,21:44:56,760.0
2023/04/17,21:44:57,758.0
2023/04/17,21:44:58,755.0
2023/04/17,21:44:59,758.0
2023/04/17,21:45:00,759.0
2023/04/17,21:45:01,761.0
2023/04/17,21:45:02,762.0
2023/04/17,21:45:03,764.0
2023/04/17,21:45:04,762.0
2023/04/17,21:45:05,760.0
2023/04/17,21:45:06,763.0
2023/04/17,21:45:07,762.0
2023/04/17,21:45:08,764.0
2023/04/17,21:45:09,766.0
2023/04/17,21:45:10,765.0
2023/04/17,21:45:11,765.0
2023/04/17,21:45:12,761.0
2023/04/17,21:45:13,760.0
2023/04/17,21:45:14,761.0
2023/04/17,21:45:15,761.0
2023/04/17,21:45:16,760.0
2023/04/17,21:45:17,761.0
2023/04/17,21:45:18,758.0
2023/04/17,21:45:19,759.0
2023/04/17,21:45:20,759.0
2023/04/17,21:45:21,760.0
2023/04/17,21:45:22,761.0
2023/04/17,21:45:23,762.0
2023/04/17,21:45:24,763.0
2023/04/17,21:45:25,762.0
2023/04/17,21:45:26,766.0
2023/04/17,21:45:27,764.0
2023/04/17,21:45:28,764.0
2023/04/17,21:45:29,768.0
2023/04/17,21:45:30,768.0
2023/04/17,21:45:31,762.0
2023/04/17,21:45:32,762.0
2023/04/17,21:45:33,763.0
2023/04/17,21:45:34,765.0
2023/04/17,21:45:35,766.0
2023/04/17,21:45:36,764.0
2023/04/17,21:45:37,763.0
2023/04/17,21:45:38,764.0
2023/04/17,21:45:39,767.0
2023/04/17,21:45:40,765.0
2023/04/17,21:45:41,762.0
2023/04/17,21:45:42,763.0
2023/04/17,21:45:43,765.0
2023/04/17,21:45:44,765.0
2023/04/17,21:45:45,767.0
2023/04/17,21:45:46,767.0
2023/04/17,21:45:47,763.0
2023/04/17,21:45:48,763.0
2023/04/17,21:45:49,766.0
2023/04/17,21:45:50,767.0
2023/04/17,21:45:51,767.0
2023/04/17,21:45:52,763.0
2023/04/17,21:45:53,762.0
2023/04/17,21:45:54,763.0
2023/04/17,21:45:55,765.0
2023/04/17,21:45:56,759.0
2023/04/17,21:45:57,758.0
2023/04/17,21:45:58,758.0
2023/04/17,21:45:59,757.0
2023/04/17,21:46:00,761.0
2023/04/17,21:46:01,760.0
2023/04/17,21:46:02,756.0
2023/04/17,21:46:03,757.0
2023/04/17,21:46:04,759.0
2023/04/17,21:46:05,764.0
2023/04/17,21:46:06,762.0
2023/04/17,21:46:07,761.0
2023/04/17,21:46:08,759.0
2023/04/17,21:46:09,761.0
2023/04/17,21:46:10,762.0
2023/04/17,21:46:11,764.0
2023/04/17,21:46:12,762.0
2023/04/17,21:46:13,758.0
2023/04/17,21:46:14,760.0
2023/04/17,21:46:15,759.0
2023/04/17,21:46:16,760.0
2023/04/17,21:46:17,763.0
2023/04/17,21:46:18,765.0
2023/04/17,21:46:19,762.0
2023/04/17,21:46:20,761.0
2023/04/17,21:46:21,762.0
2023/04/17,21:46:22,763.0
2023/04/17,21:46:23,764.0
2023/04/17,21:46:24,764.0
2023/04/17,21:46:25,761.0
2023/04/17,21:46:26,762.0
2023/04/17,21:46:27,762.0
2023/04/17,21:46:28,762.0
2023/04/17,21:46:29,767.0
2023/04/17,21:46:30,766.0
2023/04/17,21:46:31,761.0
2023/04/17,21:46:32,760.0
2023/04/17,21:46:34,760.0
2023/04/17,21:46:35,761.0
2023/04/17,21:46:36,762.0
2023/04/17,21:46:37,759.0
2023/04/17,21:46:38,760.0
2023/04/17,21:46:39,761.0
2023/04/17,21:46:40,763.0
2023/04/17,21:46:41,766.0
2023/04/17,21:46:42,764.0
2023/04/17,21:46:43,760.0
2023/04/17,21:46:44,762.0
2023/04/17,21:46:45,760.0
2023/04/17,21:46:46,759.0
2023/04/17,21:46:47,763.0
2023/04/17,21:46:48,763.0
2023/04/17,21:46:49,760.0
2023/04/17,21:46:50,759.0
2023/04/17,21:46:51,759.0
2023/04/17,21:46:52,758.0
2023/04/17,21:46:53,762.0
2023/04/17,21:46:54,761.0
2023/04/17,21:46:55,757.0
2023/04/17,21:46:56,757.0
2023/04/17,21:46:57,759.0
2023/04/17,21:46:58,758.0
2023/04/17,21:46:59,761.0
2023/04/17,21:47:00,761.0
2023/04/17,21:47:01,762.0
2023/04/17,21:47:02,760.0
2023/04/17,21:47:03,758.0
2023/04/17,21:47:04,761.0
2023/04/17,21:47:05,762.0
2023/04/17,21:47:06,766.0
2023/04/17,21:47:07,766.0
2023/04/17,21:47:08,766.0
2023/04/17,21:47:09,765.0
2023/04/17,21:47:10,762.0
2023/04/17,21:47:11,762.0
2023/04/17,21:47:12,764.0
2023/04/17,21:47:13,764.0
2023/04/17,21:47:14,765.0
2023/04/17,21:47:15,767.0
2023/04/17,21:47:16,763.0
2023/04/17,21:47:17,760.0
2023/04/17,21:47:18,760.0
2023/04/17,21:47:19,761.0
2023/04/17,21:47:20,761.0
2023/04/17,21:47:21,763.0
2023/04/17,21:47:22,763.0
2023/04/17,21:47:23,763.0
2023/04/17,21:47:24,758.0
2023/04/17,21:47:25,759.0
2023/04/17,21:47:26,759.0
2023/04/17,21:47:27,761.0
2023/04/17,21:47:28,763.0
2023/04/17,21:47:29,763.0
2023/04/17,21:47:30,760.0
2023/04/17,21:47:31,760.0
2023/04/17,21:47:32,761.0
2023/04/17,21:47:33,765.0
2023/04/17,21:47:34,766.0
2023/04/17,21:47:35,761.0
2023/04/17,21:47:36,761.0
2023/04/17,21:47:37,762.0
2023/04/17,21:47:38,762.0
2023/04/17,21:47:39,764.0
2023/04/17,21:47:40,764.0
2023/04/17,21:47:41,760.0
2023/04/17,21:47:42,761.0
2023/04/17,21:47:43,764.0
2023/04/17,21:47:44,765.0
2023/04/17,21:47:45,763.0
2023/04/17,21:47:46,759.0
2023/04/17,21:47:47,759.0
2023/04/17,21:47:48,760.0
2023/04/17,21:47:49,763.0
2023/04/17,21:47:50,762.0
2023/04/17,21:47:51,757.0
2023/04/17,21:47:52,761.0
2023/04/17,21:47:53,762.0
2023/04/17,21:47:54,766.0
2023/04/17,21:47:55,766.0
2023/04/17,21:47:56,762.0
2023/04/17,21:47:57,762.0
2023/04/17,21:47:58,768.0
2023/04/17,21:47:59,765.0
2023/04/17,21:48:00,760.0
2023/04/17,21:48:01,761.0
2023/04/17,21:48:02,764.0
2023/04/17,21:48:03,765.0
2023/04/17,21:48:04,766.0
2023/04/17,21:48:05,761.0
2023/04/17,21:48:06,764.0
2023/04/17,21:48:07,763.0
2023/04/17,21:48:08,765.0
2023/04/17,21:48:09,766.0
2023/04/17,21:48:10,766.0
2023/04/17,21:48:11,766.0
2023/04/17,21:48:12,764.0
2023/04/17,21:48:13,764.0
2023/04/17,21:48:14,766.0
2023/04/17,21:48:15,766.0
2023/04/17,21:48:16,761.0
2023/04/17,21:48:17,761.0
2023/04/17,21:48:18,762.0
2023/04/17,21:48:19,765.0
2023/04/17,21:48:20,768.0
2023/04/17,21:48:21,761.0
2023/04/17,21:48:22,762.0
2023/04/17,21:48:23,763.0
2023/04/17,21:48:24,766.0
2023/04/17,21:48:25,764.0
2023/04/17,21:48:26,760.0
2023/04/17,21:48:27,761.0
2023/04/17,21:48:28,762.0
2023/04/17,21:48:29,762.0
2023/04/17,21:48:30,761.0
2023/04/17,21:48:31,757.0
2023/04/17,21:48:32,758.0
2023/04/17,21:48:33,761.0
2023/04/17,21:48:34,759.0
2023/04/17,21:48:35,762.0
2023/04/17,21:48:36,765.0
2023/04/17,21:48:37,762.0
2023/04/17,21:48:38,761.0
2023/04/17,21:48:39,761.0
2023/04/17,21:48:40,763.0
2023/04/17,21:48:41,763.0
2023/04/17,21:48:42,759.0
2023/04/17,21:48:43,759.0
2023/04/17,21:48:44,761.0
2023/04/17,21:48:45,762.0
