年月日,時刻,データ01(mG)
2023/12/11,03:06:47,5.2
2023/12/11,03:06:48,5.1
2023/12/11,03:06:49,5.1
2023/12/11,03:06:50,5.1
2023/12/11,03:06:51,5.1
2023/12/11,03:06:52,5.1
2023/12/11,03:06:53,5.2
2023/12/11,03:06:54,5.2
2023/12/11,03:06:55,5.2
2023/12/11,03:06:56,5.3
2023/12/11,03:06:57,5.2
2023/12/11,03:06:58,5.2
2023/12/11,03:06:59,5.2
2023/12/11,03:07:00,5.2
2023/12/11,03:07:01,5.3
2023/12/11,03:07:02,5.4
2023/12/11,03:07:03,5.5
2023/12/11,03:07:04,5.5
2023/12/11,03:07:05,5.5
2023/12/11,03:07:06,5.5
2023/12/11,03:07:07,5.4
2023/12/11,03:07:08,5.4
2023/12/11,03:07:09,5.4
2023/12/11,03:07:10,5.4
2023/12/11,03:07:11,5.2
2023/12/11,03:07:12,5.1
2023/12/11,03:07:13,5.1
2023/12/11,03:07:14,5.2
2023/12/11,03:07:15,5.2
2023/12/11,03:07:16,5.3
2023/12/11,03:07:17,5.2
2023/12/11,03:07:18,5.1
2023/12/11,03:07:19,5.1
2023/12/11,03:07:20,5.1
2023/12/11,03:07:21,5.2
2023/12/11,03:07:22,5.2
2023/12/11,03:07:23,5.2
2023/12/11,03:07:24,5.2
2023/12/11,03:07:25,5.3
2023/12/11,03:07:26,5.4
2023/12/11,03:07:27,5.5
2023/12/11,03:07:28,5.6
2023/12/11,03:07:29,5.6
2023/12/11,03:07:30,5.4
2023/12/11,03:07:31,5.3
2023/12/11,03:07:32,5.1
2023/12/11,03:07:33,5.0
2023/12/11,03:07:34,4.9
2023/12/11,03:07:35,4.8
2023/12/11,03:07:36,4.8
2023/12/11,03:07:37,4.7
2023/12/11,03:07:38,4.7
2023/12/11,03:07:39,4.7
2023/12/11,03:07:40,4.7
2023/12/11,03:07:41,4.7
2023/12/11,03:07:42,4.7
2023/12/11,03:07:43,4.7
2023/12/11,03:07:44,4.8
2023/12/11,03:07:45,4.8
2023/12/11,03:07:46,4.8
2023/12/11,03:07:47,4.9
2023/12/11,03:07:48,4.9
2023/12/11,03:07:49,4.9
2023/12/11,03:07:50,4.8
2023/12/11,03:07:51,4.8
2023/12/11,03:07:52,4.8
2023/12/11,03:07:53,4.8
2023/12/11,03:07:54,4.8
2023/12/11,03:07:55,5.0
2023/12/11,03:07:56,5.1
2023/12/11,03:07:57,5.4
2023/12/11,03:07:58,5.5
2023/12/11,03:07:59,5.7
2023/12/11,03:08:00,5.8
2023/12/11,03:08:01,5.9
2023/12/11,03:08:02,6.0
2023/12/11,03:08:03,5.9
2023/12/11,03:08:04,5.9
2023/12/11,03:08:05,5.9
2023/12/11,03:08:06,6.0
2023/12/11,03:08:07,5.9
2023/12/11,03:08:08,5.8
2023/12/11,03:08:09,5.8
2023/12/11,03:08:10,5.8
2023/12/11,03:08:11,5.9
2023/12/11,03:08:12,6.0
2023/12/11,03:08:13,6.1
2023/12/11,03:08:14,6.2
2023/12/11,03:08:15,6.2
2023/12/11,03:08:16,6.2
2023/12/11,03:08:17,6.3
2023/12/11,03:08:18,6.3
2023/12/11,03:08:19,6.3
2023/12/11,03:08:20,6.2
2023/12/11,03:08:21,6.2
2023/12/11,03:08:22,6.1
2023/12/11,03:08:23,6.1
2023/12/11,03:08:24,6.1
2023/12/11,03:08:25,6.0
2023/12/11,03:08:26,6.0
2023/12/11,03:08:27,5.9
2023/12/11,03:08:28,5.8
2023/12/11,03:08:29,5.8
2023/12/11,03:08:30,5.8
2023/12/11,03:08:31,5.7
2023/12/11,03:08:32,5.7
2023/12/11,03:08:33,5.7
2023/12/11,03:08:34,5.7
2023/12/11,03:08:35,5.8
2023/12/11,03:08:36,5.7
2023/12/11,03:08:37,5.7
2023/12/11,03:08:39,5.7
2023/12/11,03:08:40,5.7
2023/12/11,03:08:41,5.7
2023/12/11,03:08:42,5.7
2023/12/11,03:08:43,5.7
2023/12/11,03:08:44,5.7
2023/12/11,03:08:45,5.7
2023/12/11,03:08:46,5.7
2023/12/11,03:08:47,5.7
2023/12/11,03:08:48,5.6
2023/12/11,03:08:49,5.7
2023/12/11,03:08:50,5.7
2023/12/11,03:08:51,5.7
2023/12/11,03:08:52,5.7
2023/12/11,03:08:53,5.7
2023/12/11,03:08:54,5.8
2023/12/11,03:08:55,5.9
2023/12/11,03:08:56,6.0
2023/12/11,03:08:57,6.1
2023/12/11,03:08:58,6.0
2023/12/11,03:08:59,6.1
2023/12/11,03:09:00,6.1
2023/12/11,03:09:01,6.0
2023/12/11,03:09:02,5.9
2023/12/11,03:09:03,5.9
2023/12/11,03:09:04,5.9
2023/12/11,03:09:05,5.8
2023/12/11,03:09:06,5.8
2023/12/11,03:09:07,5.8
2023/12/11,03:09:08,5.9
2023/12/11,03:09:09,5.9
2023/12/11,03:09:10,5.8
2023/12/11,03:09:11,5.8
2023/12/11,03:09:12,5.6
2023/12/11,03:09:13,5.5
2023/12/11,03:09:14,5.3
2023/12/11,03:09:15,5.2
2023/12/11,03:09:16,4.9
2023/12/11,03:09:17,4.9
2023/12/11,03:09:18,4.7
2023/12/11,03:09:19,4.6
2023/12/11,03:09:20,4.7
2023/12/11,03:09:21,4.8
2023/12/11,03:09:22,4.9
2023/12/11,03:09:23,4.9
2023/12/11,03:09:24,5.1
2023/12/11,03:09:25,5.1
2023/12/11,03:09:26,5.1
2023/12/11,03:09:27,5.2
2023/12/11,03:09:28,5.1
2023/12/11,03:09:29,5.0
2023/12/11,03:09:30,4.9
2023/12/11,03:09:31,5.0
2023/12/11,03:09:32,5.1
2023/12/11,03:09:33,5.2
2023/12/11,03:09:34,5.3
2023/12/11,03:09:35,5.3
2023/12/11,03:09:36,5.4
2023/12/11,03:09:37,5.4
2023/12/11,03:09:38,5.4
2023/12/11,03:09:39,5.5
2023/12/11,03:09:40,5.4
2023/12/11,03:09:41,5.2
2023/12/11,03:09:42,5.1
2023/12/11,03:09:43,5.1
2023/12/11,03:09:44,5.0
2023/12/11,03:09:45,5.1
2023/12/11,03:09:46,5.1
2023/12/11,03:09:47,5.1
2023/12/11,03:09:48,5.2
2023/12/11,03:09:49,5.1
2023/12/11,03:09:50,5.0
2023/12/11,03:09:51,5.0
2023/12/11,03:09:52,5.0
2023/12/11,03:09:53,4.9
2023/12/11,03:09:54,4.9
2023/12/11,03:09:55,4.9
2023/12/11,03:09:56,4.8
2023/12/11,03:09:57,5.0
2023/12/11,03:09:58,5.0
2023/12/11,03:09:59,5.1
2023/12/11,03:10:00,5.1
