年月日,時刻,データ01(mG)
2023/12/08,03:33:13,-7.1
2023/12/08,03:33:14,-7.2
2023/12/08,03:33:15,-7.3
2023/12/08,03:33:16,-7.2
2023/12/08,03:33:17,-7.1
2023/12/08,03:33:18,-7.1
2023/12/08,03:33:19,-7.0
2023/12/08,03:33:20,-6.9
2023/12/08,03:33:21,-6.9
2023/12/08,03:33:22,-6.8
2023/12/08,03:33:23,-6.7
2023/12/08,03:33:24,-6.8
2023/12/08,03:33:25,-6.8
2023/12/08,03:33:26,-6.6
2023/12/08,03:33:27,-6.6
2023/12/08,03:33:28,-6.6
2023/12/08,03:33:29,-6.7
2023/12/08,03:33:30,-6.7
2023/12/08,03:33:31,-6.7
2023/12/08,03:33:32,-6.7
2023/12/08,03:33:33,-6.7
2023/12/08,03:33:34,-6.6
2023/12/08,03:33:35,-6.6
2023/12/08,03:33:36,-6.5
2023/12/08,03:33:37,-6.4
2023/12/08,03:33:38,-6.3
2023/12/08,03:33:39,-6.2
2023/12/08,03:33:40,-6.1
2023/12/08,03:33:41,-6.0
2023/12/08,03:33:42,-6.1
2023/12/08,03:33:43,-6.1
2023/12/08,03:33:44,-6.1
2023/12/08,03:33:45,-6.0
2023/12/08,03:33:46,-6.0
2023/12/08,03:33:47,-6.0
2023/12/08,03:33:48,-6.1
2023/12/08,03:33:49,-6.1
2023/12/08,03:33:50,-6.1
2023/12/08,03:33:51,-6.1
2023/12/08,03:33:52,-6.2
2023/12/08,03:33:53,-6.3
2023/12/08,03:33:54,-6.3
2023/12/08,03:33:55,-6.4
2023/12/08,03:33:56,-6.4
2023/12/08,03:33:57,-6.6
2023/12/08,03:33:58,-6.7
2023/12/08,03:33:59,-6.8
2023/12/08,03:34:00,-6.7
2023/12/08,03:34:01,-6.7
2023/12/08,03:34:02,-6.7
2023/12/08,03:34:03,-6.8
2023/12/08,03:34:04,-6.8
2023/12/08,03:34:05,-6.7
2023/12/08,03:34:06,-6.5
2023/12/08,03:34:07,-6.4
2023/12/08,03:34:08,-6.4
2023/12/08,03:34:09,-6.4
2023/12/08,03:34:10,-6.3
2023/12/08,03:34:11,-6.1
2023/12/08,03:34:12,-6.2
2023/12/08,03:34:13,-6.4
2023/12/08,03:34:15,-6.5
2023/12/08,03:34:16,-6.8
2023/12/08,03:34:17,-6.9
2023/12/08,03:34:18,-6.9
2023/12/08,03:34:19,-7.0
2023/12/08,03:34:20,-7.1
2023/12/08,03:34:21,-7.2
2023/12/08,03:34:22,-7.2
2023/12/08,03:34:23,-7.2
2023/12/08,03:34:24,-7.2
2023/12/08,03:34:25,-7.2
2023/12/08,03:34:26,-7.3
2023/12/08,03:34:27,-7.4
2023/12/08,03:34:28,-7.4
2023/12/08,03:34:29,-7.4
2023/12/08,03:34:30,-7.4
2023/12/08,03:34:31,-7.3
2023/12/08,03:34:32,-7.2
2023/12/08,03:34:33,-7.4
2023/12/08,03:34:34,-7.2
2023/12/08,03:34:35,-7.2
2023/12/08,03:34:36,-7.3
2023/12/08,03:34:37,-7.4
2023/12/08,03:34:38,-7.5
2023/12/08,03:34:39,-7.6
