"[Software version]","Ver.2.46"
"[Measurement beginning time]",#18/03/2023 20:09:40#
"[Measurement end       time]",#18/03/2023 20:20:10#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",630
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.17,20.9,32.2
"Min.",0.00,20.7,31.8
"Avg.",0.01,20.9,32.1
" SD ",0.028,0.05,0.13
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.00,20.8,32.2,1013,0
"2",0.00,20.8,32.2,1013,0
"3",0.00,20.9,32.2,1013,0
"4",0.00,20.9,32.2,1013,0
"5",0.00,20.8,32.2,1013,0
"6",0.00,20.9,32.2,1013,0
"7",0.00,20.9,32.2,1013,0
"8",0.00,20.9,32.2,1013,0
"9",0.00,20.9,32.2,1013,0
"10",0.01,20.8,32.2,1013,0
"11",0.00,20.8,32.2,1013,0
"12",0.00,20.8,32.2,1013,0
"13",0.00,20.8,32.2,1013,0
"14",0.00,20.8,32.2,1013,0
"15",0.00,20.9,32.2,1013,0
"16",0.00,20.9,32.2,1013,0
"17",0.01,20.8,32.2,1013,0
"18",0.01,20.9,32.1,1013,0
"19",0.01,20.8,32.2,1013,0
"20",0.01,20.8,32.2,1013,0
"21",0.01,20.8,32.2,1013,0
"22",0.00,20.8,32.2,1013,0
"23",0.00,20.8,32.2,1013,0
"24",0.00,20.8,32.2,1013,0
"25",0.00,20.8,32.2,1013,0
"26",0.00,20.8,32.2,1013,0
"27",0.00,20.9,32.2,1013,0
"28",0.00,20.8,32.2,1013,0
"29",0.00,20.9,32.2,1013,0
"30",0.00,20.9,32.2,1013,0
"31",0.00,20.8,32.2,1013,0
"32",0.00,20.8,32.2,1013,0
"33",0.01,20.9,32.2,1013,0
"34",0.00,20.8,32.2,1013,0
"35",0.00,20.8,32.2,1013,0
"36",0.00,20.9,32.2,1013,0
"37",0.00,20.9,32.2,1013,0
"38",0.00,20.8,32.2,1013,0
"39",0.01,20.8,32.2,1013,0
"40",0.03,20.8,32.2,1013,0
"41",0.05,20.8,32.2,1013,0
"42",0.04,20.8,32.2,1013,0
"43",0.05,20.8,32.2,1013,0
"44",0.05,20.8,32.2,1013,0
"45",0.02,20.8,32.2,1013,0
"46",0.00,20.8,32.2,1013,0
"47",0.00,20.8,32.2,1013,0
"48",0.00,20.8,32.2,1013,0
"49",0.00,20.8,32.2,1013,0
"50",0.01,20.8,32.2,1013,0
"51",0.01,20.8,32.2,1013,0
"52",0.01,20.8,32.2,1013,0
"53",0.00,20.8,32.2,1013,0
"54",0.00,20.8,32.2,1013,0
"55",0.00,20.8,32.2,1013,0
"56",0.00,20.8,32.2,1013,0
"57",0.00,20.9,32.2,1013,0
"58",0.00,20.8,32.2,1013,0
"59",0.00,20.8,32.2,1013,0
"60",0.00,20.9,32.2,1013,0
"61",0.00,20.8,32.2,1013,0
"62",0.00,20.9,32.2,1013,0
"63",0.00,20.9,32.2,1013,0
"64",0.00,20.9,32.2,1013,0
"65",0.00,20.8,32.2,1013,0
"66",0.00,20.9,32.2,1013,0
"67",0.00,20.9,32.2,1013,0
"68",0.00,20.9,32.2,1013,0
"69",0.00,20.9,32.2,1013,0
"70",0.00,20.9,32.2,1013,0
"71",0.00,20.9,32.2,1013,0
"72",0.00,20.8,32.2,1013,0
"73",0.00,20.9,32.2,1013,0
"74",0.00,20.9,32.2,1013,0
"75",0.00,20.9,32.2,1013,0
"76",0.00,20.9,32.2,1013,0
"77",0.00,20.9,32.2,1013,0
"78",0.00,20.9,32.2,1013,0
"79",0.00,20.9,32.2,1013,0
"80",0.00,20.9,32.2,1013,0
"81",0.00,20.9,32.2,1013,0
"82",0.00,20.9,32.2,1013,0
"83",0.00,20.9,32.2,1013,0
"84",0.00,20.9,32.2,1013,0
"85",0.00,20.9,32.2,1013,0
"86",0.00,20.9,32.2,1013,0
"87",0.00,20.9,32.2,1013,0
"88",0.00,20.9,32.2,1013,0
"89",0.00,20.9,32.2,1013,0
"90",0.00,20.9,32.2,1013,0
"91",0.00,20.9,32.2,1013,0
"92",0.00,20.9,32.2,1013,0
"93",0.00,20.9,32.2,1013,0
"94",0.00,20.9,32.2,1013,0
"95",0.00,20.9,32.2,1013,0
"96",0.00,20.9,32.2,1013,0
"97",0.00,20.9,32.2,1013,0
"98",0.00,20.9,32.2,1013,0
"99",0.00,20.9,32.2,1013,0
"100",0.00,20.9,32.2,1013,0
"101",0.00,20.9,32.1,1013,0
"102",0.00,20.9,32.2,1013,0
"103",0.01,20.9,32.2,1013,0
"104",0.00,20.9,32.2,1013,0
"105",0.00,20.9,32.2,1013,0
"106",0.00,20.9,32.2,1013,0
"107",0.00,20.9,32.2,1013,0
"108",0.00,20.9,32.1,1013,0
"109",0.00,20.9,32.2,1013,0
"110",0.01,20.9,32.2,1013,0
"111",0.03,20.9,32.2,1013,0
"112",0.03,20.9,32.2,1013,0
"113",0.03,20.9,32.2,1013,0
"114",0.01,20.9,32.2,1013,0
"115",0.01,20.9,32.2,1013,0
"116",0.00,20.8,32.2,1013,0
"117",0.00,20.9,32.2,1013,0
"118",0.00,20.9,32.2,1013,0
"119",0.00,20.8,32.2,1013,0
"120",0.00,20.9,32.2,1013,0
"121",0.00,20.9,32.2,1013,0
"122",0.00,20.9,32.1,1013,0
"123",0.00,20.9,32.2,1013,0
"124",0.00,20.9,32.2,1013,0
"125",0.00,20.9,32.2,1013,0
"126",0.00,20.9,32.2,1013,0
"127",0.00,20.9,32.2,1013,0
"128",0.00,20.9,32.2,1013,0
"129",0.04,20.9,32.2,1013,0
"130",0.04,20.8,32.2,1013,0
"131",0.03,20.8,32.2,1013,0
"132",0.02,20.8,32.2,1013,0
"133",0.02,20.8,32.2,1013,0
"134",0.01,20.8,32.2,1013,0
