"[Software version]","Ver.2.46"
"[Measurement beginning time]",#17/04/2023 20:38:48#
"[Measurement end       time]",#17/04/2023 20:49:17#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",630
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.36,25.8,25.7
"Min.",0.00,25.4,24.3
"Avg.",0.07,25.6,25.4
" SD ",0.059,0.09,0.15
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.01,25.7,25.2,1013,0
"2",0.01,25.7,25.2,1013,0
"3",0.02,25.7,25.2,1013,0
"4",0.08,25.7,25.2,1013,0
"5",0.13,25.7,25.2,1013,0
"6",0.10,25.7,25.2,1013,0
"7",0.04,25.7,25.3,1013,0
"8",0.02,25.7,25.3,1013,0
"9",0.02,25.7,25.3,1013,0
"10",0.01,25.7,25.3,1013,0
"11",0.01,25.7,25.2,1013,0
"12",0.01,25.7,25.3,1013,0
"13",0.01,25.7,25.2,1013,0
"14",0.01,25.7,25.2,1013,0
"15",0.01,25.7,25.2,1013,0
"16",0.01,25.8,25.2,1013,0
"17",0.01,25.7,25.2,1013,0
"18",0.01,25.7,25.2,1013,0
"19",0.02,25.8,25.2,1013,0
"20",0.11,25.7,25.2,1013,0
"21",0.14,25.7,25.2,1013,0
"22",0.10,25.7,25.2,1013,0
"23",0.06,25.7,25.2,1013,0
"24",0.04,25.7,25.2,1013,0
"25",0.02,25.7,25.2,1013,0
"26",0.02,25.7,25.2,1013,0
"27",0.02,25.7,25.2,1013,0
"28",0.01,25.7,25.1,1013,0
"29",0.01,25.7,25.2,1013,0
"30",0.01,25.7,25.2,1013,0
"31",0.01,25.7,25.2,1013,0
"32",0.02,25.7,25.2,1013,0
"33",0.10,25.7,25.3,1013,0
"34",0.13,25.7,25.4,1013,0
"35",0.12,25.7,25.4,1013,0
"36",0.07,25.7,25.4,1013,0
"37",0.03,25.7,25.4,1013,0
"38",0.03,25.7,25.4,1013,0
"39",0.02,25.7,25.4,1013,0
"40",0.01,25.7,25.4,1013,0
"41",0.01,25.7,25.4,1013,0
"42",0.01,25.7,25.4,1013,0
"43",0.01,25.7,25.4,1013,0
"44",0.01,25.7,25.4,1013,0
"45",0.00,25.7,25.4,1013,0
"46",0.00,25.7,25.4,1013,0
"47",0.00,25.7,25.4,1013,0
"48",0.00,25.8,25.4,1013,0
"49",0.00,25.7,25.4,1013,0
"50",0.00,25.7,25.4,1013,0
"51",0.01,25.7,25.3,1013,0
"52",0.01,25.7,25.3,1013,0
"53",0.05,25.7,25.3,1013,0
"54",0.17,25.7,25.3,1013,0
"55",0.18,25.7,25.3,1013,0
"56",0.21,25.7,25.4,1013,0
"57",0.18,25.7,25.3,1013,0
"58",0.15,25.6,25.3,1013,0
"59",0.12,25.6,25.4,1013,0
"60",0.10,25.6,25.4,1013,0
"61",0.06,25.7,25.3,1013,0
"62",0.03,25.7,25.3,1013,0
"63",0.02,25.7,25.3,1013,0
"64",0.01,25.7,25.2,1013,0
"65",0.01,25.7,25.3,1013,0
"66",0.01,25.7,25.2,1013,0
"67",0.01,25.7,25.2,1013,0
"68",0.01,25.7,25.2,1013,0
"69",0.04,25.7,25.2,1013,0
"70",0.02,25.7,25.2,1013,0
"71",0.03,25.7,25.2,1013,0
"72",0.02,25.7,25.2,1013,0
"73",0.01,25.7,25.2,1013,0
"74",0.01,25.7,25.2,1013,0
"75",0.02,25.7,25.3,1013,0
"76",0.06,25.7,25.2,1013,0
"77",0.05,25.7,25.3,1013,0
"78",0.03,25.7,25.3,1013,0
"79",0.01,25.7,25.3,1013,0
"80",0.01,25.7,25.3,1013,0
"81",0.02,25.7,25.3,1013,0
"82",0.04,25.7,25.3,1013,0
"83",0.04,25.7,25.4,1013,0
"84",0.03,25.7,25.4,1013,0
"85",0.04,25.7,25.4,1013,0
"86",0.04,25.7,25.3,1013,0
"87",0.02,25.7,25.3,1013,0
"88",0.01,25.7,25.3,1013,0
"89",0.01,25.7,25.3,1013,0
"90",0.01,25.7,25.4,1013,0
"91",0.01,25.7,25.4,1013,0
"92",0.01,25.7,25.4,1013,0
"93",0.01,25.7,25.3,1013,0
"94",0.03,25.7,25.3,1013,0
"95",0.05,25.7,25.3,1013,0
"96",0.08,25.7,25.3,1013,0
"97",0.04,25.7,25.3,1013,0
"98",0.02,25.7,25.3,1013,0
"99",0.01,25.7,25.3,1013,0
"100",0.01,25.7,25.3,1013,0
"101",0.02,25.7,25.3,1013,0
"102",0.02,25.7,25.3,1013,0
"103",0.03,25.7,25.3,1013,0
"104",0.05,25.7,25.3,1013,0
"105",0.03,25.7,25.4,1013,0
"106",0.03,25.7,25.4,1013,0
"107",0.09,25.7,25.4,1013,0
"108",0.12,25.7,25.3,1013,0
"109",0.09,25.7,25.4,1013,0
"110",0.04,25.7,25.3,1013,0
"111",0.06,25.7,25.4,1013,0
"112",0.15,25.6,25.4,1013,0
"113",0.15,25.7,25.4,1013,0
"114",0.15,25.7,25.4,1013,0
"115",0.10,25.6,25.4,1013,0
"116",0.05,25.6,25.4,1013,0
"117",0.02,25.6,25.4,1013,0
"118",0.02,25.7,25.4,1013,0
"119",0.02,25.7,25.4,1013,0
"120",0.03,25.6,25.4,1013,0
"121",0.05,25.7,25.4,1013,0
"122",0.03,25.7,25.4,1013,0
"123",0.03,25.7,25.3,1013,0
"124",0.05,25.7,25.3,1013,0
"125",0.16,25.6,25.3,1013,0
"126",0.19,25.6,25.4,1013,0
"127",0.17,25.6,25.4,1013,0
"128",0.14,25.6,25.4,1013,0
"129",0.15,25.6,25.4,1013,0
"130",0.13,25.6,25.4,1013,0
"131",0.08,25.6,25.4,1013,0
"132",0.06,25.6,25.4,1013,0
"133",0.08,25.6,25.4,1013,0
"134",0.07,25.6,25.4,1013,0
"135",0.06,25.6,25.4,1013,0
"136",0.04,25.6,25.4,1013,0
"137",0.03,25.6,25.4,1013,0
"138",0.03,25.6,25.4,1013,0
"139",0.03,25.6,25.4,1013,0
"140",0.03,25.6,25.3,1013,0
"141",0.03,25.6,25.4,1013,0
"142",0.02,25.6,25.4,1013,0
"143",0.02,25.6,25.4,1013,0
"144",0.03,25.6,25.4,1013,0
"145",0.03,25.6,25.4,1013,0
"146",0.04,25.6,25.4,1013,0
"147",0.04,25.6,25.4,1013,0
"148",0.05,25.6,25.3,1013,0
"149",0.03,25.6,25.4,1013,0
"150",0.03,25.6,25.4,1013,0
"151",0.01,25.7,25.4,1013,0
"152",0.02,25.7,25.4,1013,0
"153",0.04,25.6,25.4,1013,0
"154",0.05,25.6,25.4,1013,0
"155",0.03,25.6,25.4,1013,0
"156",0.02,25.6,25.5,1013,0
"157",0.03,25.6,25.4,1013,0
"158",0.06,25.6,25.4,1013,0
"159",0.09,25.6,25.4,1013,0
"160",0.06,25.6,25.4,1013,0
"161",0.04,25.6,25.4,1013,0
"162",0.02,25.6,25.4,1013,0
"163",0.08,25.7,25.4,1013,0
"164",0.14,25.6,25.4,1013,0
"165",0.14,25.6,25.4,1013,0
"166",0.11,25.6,25.3,1013,0
"167",0.07,25.6,25.3,1013,0
"168",0.07,25.6,25.3,1013,0
"169",0.06,25.6,25.2,1013,0
"170",0.04,25.6,25.1,1013,0
"171",0.03,25.6,25.2,1013,0
"172",0.02,25.6,25.2,1013,0
"173",0.03,25.6,25.2,1013,0
"174",0.02,25.6,25.3,1013,0
"175",0.01,25.6,25.2,1013,0
"176",0.01,25.7,25.3,1013,0
"177",0.01,25.7,25.2,1013,0
"178",0.01,25.7,25.3,1013,0
"179",0.02,25.7,25.3,1013,0
"180",0.05,25.7,25.3,1013,0
"181",0.17,25.6,25.4,1013,0
"182",0.22,25.6,25.5,1013,0
"183",0.22,25.6,25.5,1013,0
"184",0.20,25.6,25.5,1013,0
"185",0.23,25.6,25.4,1013,0
"186",0.20,25.6,25.5,1013,0
"187",0.16,25.6,25.5,1013,0
"188",0.13,25.6,25.5,1013,0
"189",0.15,25.6,25.5,1013,0
"190",0.14,25.6,25.4,1013,0
"191",0.13,25.6,25.3,1013,0
"192",0.16,25.5,25.2,1013,0
"193",0.15,25.5,25.3,1013,0
"194",0.10,25.5,25.3,1013,0
"195",0.05,25.5,25.4,1013,0
"196",0.06,25.5,25.4,1013,0
"197",0.06,25.5,25.4,1013,0
"198",0.08,25.5,25.4,1013,0
"199",0.11,25.6,25.4,1013,0
"200",0.08,25.6,25.4,1013,0
"201",0.08,25.6,25.4,1013,0
"202",0.08,25.6,25.4,1013,0
"203",0.06,25.6,25.4,1013,0
"204",0.05,25.6,25.4,1013,0
"205",0.03,25.6,25.4,1013,0
"206",0.03,25.6,25.4,1013,0
"207",0.02,25.6,25.4,1013,0
"208",0.02,25.6,25.4,1013,0
"209",0.05,25.6,25.4,1013,0
"210",0.18,25.6,25.4,1013,0
"211",0.18,25.6,25.4,1013,0
"212",0.15,25.5,25.4,1013,0
"213",0.11,25.6,25.4,1013,0
"214",0.13,25.6,25.4,1013,0
"215",0.13,25.6,25.4,1013,0
"216",0.15,25.5,25.4,1013,0
"217",0.18,25.5,25.4,1013,0
"218",0.16,25.5,25.4,1013,0
"219",0.09,25.5,25.4,1013,0
