"[Software version]","Ver.2.46"
"[Measurement beginning time]",#21/06/2023 21:20:39#
"[Measurement end       time]",#21/06/2023 21:31:09#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",630
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.49,24.5,56.7
"Min.",0.03,23.8,54.1
"Avg.",0.21,24.2,55.6
" SD ",0.082,0.16,0.83
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.31,23.8,54.3,1013,0
"2",0.34,23.8,54.3,1013,0
"3",0.22,23.8,54.3,1013,0
"4",0.19,23.8,54.2,1013,0
"5",0.17,23.8,54.3,1013,0
"6",0.16,23.8,54.2,1013,0
"7",0.18,23.8,54.2,1013,0
"8",0.15,23.8,54.2,1013,0
"9",0.10,23.8,54.1,1013,0
"10",0.11,23.8,54.2,1013,0
"11",0.18,23.8,54.2,1013,0
"12",0.18,23.8,54.2,1013,0
"13",0.20,23.8,54.2,1013,0
"14",0.28,23.8,54.2,1013,0
"15",0.19,23.8,54.2,1013,0
"16",0.18,23.8,54.2,1013,0
"17",0.17,23.8,54.2,1013,0
"18",0.16,23.9,54.2,1013,0
"19",0.13,23.9,54.1,1013,0
"20",0.14,23.9,54.1,1013,0
"21",0.15,23.9,54.1,1013,0
"22",0.13,23.9,54.2,1013,0
"23",0.18,23.9,54.2,1013,0
"24",0.17,23.9,54.2,1013,0
"25",0.13,23.9,54.2,1013,0
"26",0.08,23.9,54.2,1013,0
"27",0.09,23.9,54.1,1013,0
"28",0.08,23.9,54.1,1013,0
"29",0.05,23.9,54.1,1013,0
"30",0.05,23.9,54.1,1013,0
"31",0.11,23.9,54.1,1013,0
"32",0.18,23.9,54.2,1013,0
"33",0.24,23.9,54.2,1013,0
"34",0.21,23.9,54.3,1013,0
"35",0.15,23.9,54.2,1013,0
"36",0.12,23.9,54.2,1013,0
"37",0.19,23.9,54.2,1013,0
"38",0.22,23.9,54.2,1013,0
"39",0.16,23.9,54.3,1013,0
"40",0.13,23.9,54.3,1013,0
"41",0.10,23.9,54.2,1013,0
"42",0.05,23.9,54.2,1013,0
"43",0.03,23.9,54.2,1013,0
"44",0.04,23.9,54.2,1013,0
"45",0.07,23.9,54.1,1013,0
"46",0.14,23.9,54.2,1013,0
"47",0.16,23.9,54.3,1013,0
"48",0.12,23.9,54.2,1013,0
"49",0.07,23.9,54.2,1013,0
"50",0.10,23.9,54.2,1013,0
"51",0.13,23.9,54.2,1013,0
"52",0.11,24.0,54.2,1013,0
"53",0.13,24.0,54.2,1013,0
"54",0.12,24.0,54.2,1013,0
"55",0.15,24.0,54.3,1013,0
"56",0.16,24.0,54.3,1013,0
"57",0.16,24.0,54.4,1013,0
"58",0.16,24.0,54.4,1013,0
"59",0.18,24.0,54.4,1013,0
"60",0.19,24.0,54.4,1013,0
"61",0.20,24.0,54.4,1013,0
"62",0.20,24.0,54.4,1013,0
"63",0.17,24.0,54.4,1013,0
"64",0.19,24.0,54.3,1013,0
"65",0.23,24.0,54.3,1013,0
"66",0.28,24.0,54.3,1013,0
"67",0.35,24.0,54.3,1013,0
"68",0.26,24.0,54.3,1013,0
"69",0.18,24.0,54.2,1013,0
"70",0.27,24.0,54.4,1013,0
"71",0.49,24.0,54.4,1013,0
"72",0.35,24.0,54.4,1013,0
"73",0.43,24.0,54.4,1013,0
"74",0.27,24.0,54.3,1013,0
"75",0.31,24.0,54.5,1013,0
"76",0.26,24.0,54.5,1013,0
"77",0.34,24.0,54.5,1013,0
"78",0.30,24.0,54.5,1013,0
"79",0.25,24.0,54.5,1013,0
"80",0.23,24.0,54.5,1013,0
"81",0.30,24.0,54.5,1013,0
"82",0.31,24.0,54.6,1013,0
"83",0.25,24.0,54.6,1013,0
"84",0.23,24.0,54.6,1013,0
"85",0.16,24.0,54.6,1013,0
"86",0.19,24.0,54.5,1013,0
"87",0.25,24.0,54.5,1013,0
"88",0.24,24.0,54.5,1013,0
"89",0.17,24.0,54.5,1013,0
"90",0.19,24.0,54.4,1013,0
"91",0.29,24.0,54.4,1013,0
"92",0.20,24.0,54.3,1013,0
"93",0.19,24.0,54.4,1013,0
"94",0.18,24.0,54.4,1013,0
"95",0.21,24.0,54.4,1013,0
"96",0.18,24.0,54.3,1013,0
"97",0.21,24.0,54.4,1013,0
"98",0.22,24.0,54.3,1013,0
"99",0.22,24.0,54.4,1013,0
"100",0.23,24.0,54.4,1013,0
"101",0.19,24.0,54.5,1013,0
"102",0.19,24.0,54.5,1013,0
"103",0.24,24.0,54.5,1013,0
"104",0.20,24.0,54.6,1013,0
"105",0.17,24.0,54.6,1013,0
"106",0.19,24.0,54.6,1013,0
"107",0.18,24.0,54.6,1013,0
"108",0.13,24.0,54.6,1013,0
"109",0.12,24.0,54.5,1013,0
"110",0.16,24.0,54.5,1013,0
"111",0.18,24.0,54.6,1013,0
"112",0.16,24.0,54.6,1013,0
"113",0.17,24.0,54.6,1013,0
"114",0.22,24.0,54.6,1013,0
"115",0.18,24.0,54.7,1013,0
"116",0.20,24.0,54.6,1013,0
"117",0.25,24.0,54.6,1013,0
"118",0.24,24.0,54.6,1013,0
"119",0.28,24.0,54.5,1013,0
"120",0.29,24.0,54.6,1013,0
"121",0.21,24.0,54.6,1013,0
"122",0.20,24.0,54.5,1013,0
"123",0.20,24.0,54.6,1013,0
"124",0.22,24.0,54.6,1013,0
"125",0.21,24.0,54.5,1013,0
"126",0.21,24.1,54.6,1013,0
"127",0.20,24.1,54.5,1013,0
"128",0.23,24.0,54.4,1013,0
"129",0.22,24.0,54.5,1013,0
"130",0.25,24.0,54.6,1013,0
"131",0.20,24.0,54.6,1013,0
"132",0.32,24.1,54.7,1013,0
"133",0.25,24.0,54.8,1013,0
"134",0.28,24.1,54.8,1013,0
"135",0.37,24.0,54.9,1013,0
"136",0.29,24.0,54.9,1013,0
"137",0.28,24.0,54.9,1013,0
"138",0.26,24.0,54.9,1013,0
"139",0.17,24.1,54.8,1013,0
"140",0.14,24.0,54.9,1013,0
"141",0.12,24.0,54.8,1013,0
"142",0.09,24.0,54.8,1013,0
"143",0.08,24.1,54.7,1013,0
"144",0.06,24.0,54.8,1013,0
"145",0.06,24.1,54.7,1013,0
"146",0.10,24.1,54.7,1013,0
"147",0.20,24.1,54.8,1013,0
"148",0.18,24.1,54.6,1013,0
"149",0.15,24.1,54.6,1013,0
"150",0.15,24.1,54.5,1013,0
"151",0.15,24.1,54.5,1013,0
"152",0.15,24.1,54.6,1013,0
"153",0.15,24.1,54.7,1013,0
"154",0.13,24.1,54.7,1013,0
"155",0.17,24.1,54.8,1013,0
"156",0.19,24.1,54.8,1013,0
"157",0.13,24.1,54.8,1013,0
"158",0.09,24.1,54.8,1013,0
"159",0.08,24.1,54.8,1013,0
"160",0.11,24.1,54.9,1013,0
"161",0.18,24.1,54.9,1013,0
"162",0.17,24.1,55.1,1013,0
"163",0.19,24.1,55.0,1013,0
"164",0.17,24.1,54.9,1013,0
"165",0.17,24.1,54.9,1013,0
"166",0.15,24.1,54.8,1013,0
"167",0.13,24.1,54.8,1013,0
"168",0.14,24.1,54.8,1013,0
"169",0.14,24.1,54.8,1013,0
"170",0.14,24.1,54.8,1013,0
"171",0.14,24.1,54.8,1013,0
"172",0.09,24.1,54.8,1013,0
"173",0.11,24.1,54.8,1013,0
"174",0.13,24.1,54.7,1013,0
"175",0.15,24.1,54.6,1013,0
"176",0.16,24.2,54.8,1013,0
"177",0.13,24.2,54.8,1013,0
"178",0.15,24.1,54.8,1013,0
"179",0.26,24.2,54.9,1013,0
"180",0.21,24.1,55.0,1013,0
"181",0.19,24.1,55.0,1013,0
"182",0.32,24.1,55.1,1013,0
"183",0.20,24.2,55.2,1013,0
"184",0.17,24.1,55.1,1013,0
"185",0.16,24.1,55.1,1013,0
"186",0.13,24.1,55.0,1013,0
"187",0.10,24.1,54.9,1013,0
"188",0.12,24.1,55.0,1013,0
"189",0.18,24.2,55.1,1013,0
"190",0.29,24.1,55.2,1013,0
"191",0.31,24.1,55.3,1013,0
"192",0.21,24.1,55.2,1013,0
