"[Software version]","Ver.2.46"
"[Measurement beginning time]",#09/11/2023 17:24:43#
"[Measurement end       time]",#09/11/2023 17:25:52#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",68
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.20,26.3,35.7
"Min.",0.02,25.9,35.2
"Avg.",0.13,26.1,35.6
" SD ",0.042,0.11,0.12
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.02,26.3,35.3,1013,0
"2",0.02,26.3,35.3,1013,0
"3",0.03,26.3,35.2,1013,0
"4",0.10,26.3,35.3,1013,0
"5",0.14,26.3,35.4,1013,0
"6",0.14,26.3,35.4,1013,0
"7",0.14,26.3,35.5,1013,0
"8",0.13,26.2,35.5,1013,0
"9",0.13,26.2,35.5,1013,0
"10",0.11,26.2,35.5,1013,0
"11",0.14,26.2,35.4,1013,0
"12",0.13,26.2,35.5,1013,0
"13",0.13,26.2,35.4,1013,0
"14",0.15,26.2,35.5,1013,0
"15",0.15,26.2,35.5,1013,0
"16",0.16,26.2,35.6,1013,0
"17",0.16,26.1,35.5,1013,0
"18",0.17,26.1,35.6,1013,0
"19",0.17,26.1,35.6,1013,0
"20",0.18,26.0,35.7,1013,0
"21",0.15,26.0,35.7,1013,0
"22",0.12,26.1,35.7,1013,0
"23",0.10,26.1,35.7,1013,0
"24",0.16,26.1,35.6,1013,0
"25",0.20,26.0,35.5,1013,0
"26",0.18,26.0,35.6,1013,0
"27",0.15,26.0,35.6,1013,0
"28",0.15,26.0,35.7,1013,0
"29",0.16,26.0,35.7,1013,0
"30",0.18,26.0,35.7,1013,0
"31",0.17,25.9,35.7,1013,0
"32",0.14,26.0,35.7,1013,0
"33",0.14,26.0,35.7,1013,0
"34",0.17,26.0,35.7,1013,0
"35",0.17,25.9,35.7,1013,0
"36",0.15,25.9,35.7,1013,0
"37",0.14,25.9,35.7,1013,0
"38",0.14,26.0,35.7,1013,0
"39",0.16,26.0,35.7,1013,0
"40",0.11,26.0,35.7,1013,0
"41",0.12,26.0,35.7,1013,0
"42",0.14,26.0,35.7,1013,0
"43",0.13,26.0,35.7,1013,0
"44",0.14,26.0,35.7,1013,0
"45",0.16,26.0,35.7,1013,0
"46",0.15,26.0,35.7,1013,0
"47",0.15,26.0,35.7,1013,0
"48",0.16,26.0,35.7,1013,0
"49",0.12,26.0,35.7,1013,0
"50",0.16,26.0,35.7,1013,0
"51",0.17,25.9,35.7,1013,0
"52",0.15,25.9,35.7,1013,0
"53",0.14,26.0,35.7,1013,0
"54",0.09,26.0,35.7,1013,0
"55",0.08,26.0,35.7,1013,0
"56",0.14,26.0,35.7,1013,0
"57",0.14,26.0,35.7,1013,0
"58",0.10,26.0,35.7,1013,0
"59",0.15,26.0,35.6,1013,0
"60",0.11,26.0,35.7,1013,0
"61",0.09,26.0,35.7,1013,0
"62",0.09,26.0,35.7,1013,0
"63",0.06,26.0,35.6,1013,0
"64",0.03,26.0,35.6,1013,0
"65",0.02,26.1,35.6,1013,0
"66",0.03,26.1,35.6,1013,0
"67",0.10,26.1,35.6,1013,0
"68",0.13,26.0,35.6,1013,0
