"[Software version]","Ver.2.46"
"[Measurement beginning time]",#12/12/2023 02:06:11#
"[Measurement end       time]",#12/12/2023 02:11:35#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",324
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.23,20.8,44.9
"Min.",0.00,20.4,42.3
"Avg.",0.05,20.6,43.2
" SD ",0.053,0.09,0.41
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.00,20.8,42.5,1013,0
"2",0.00,20.8,42.4,1013,0
"3",0.00,20.8,42.5,1013,0
"4",0.00,20.8,42.5,1013,0
"5",0.00,20.8,42.5,1013,0
"6",0.00,20.8,42.5,1013,0
"7",0.00,20.8,42.5,1013,0
"8",0.00,20.8,42.4,1013,0
"9",0.02,20.8,42.3,1013,0
"10",0.09,20.8,42.5,1013,0
"11",0.03,20.8,42.5,1013,0
"12",0.01,20.8,42.5,1013,0
"13",0.01,20.8,42.5,1013,0
"14",0.06,20.8,42.5,1013,0
"15",0.04,20.8,42.4,1013,0
"16",0.01,20.7,42.5,1013,0
"17",0.07,20.7,42.5,1013,0
"18",0.13,20.7,42.5,1013,0
"19",0.18,20.6,42.5,1013,0
"20",0.17,20.6,42.6,1013,0
"21",0.14,20.6,42.6,1013,0
"22",0.12,20.6,42.8,1013,0
"23",0.12,20.6,43.3,1013,0
"24",0.09,20.6,43.6,1013,0
"25",0.04,20.6,43.5,1013,0
"26",0.01,20.7,43.4,1013,0
"27",0.00,20.7,43.3,1013,0
"28",0.00,20.7,43.3,1013,0
"29",0.00,20.7,43.2,1013,0
"30",0.04,20.7,43.1,1013,0
"31",0.09,20.7,43.0,1013,0
"32",0.07,20.7,42.9,1013,0
"33",0.06,20.7,43.0,1013,0
"34",0.03,20.7,42.9,1013,0
"35",0.04,20.7,43.0,1013,0
"36",0.02,20.7,43.1,1013,0
"37",0.04,20.7,43.0,1013,0
"38",0.08,20.7,43.1,1013,0
"39",0.05,20.7,43.3,1013,0
"40",0.03,20.7,43.3,1013,0
"41",0.04,20.7,43.1,1013,0
"42",0.03,20.7,43.0,1013,0
"43",0.01,20.7,43.0,1013,0
"44",0.05,20.7,43.0,1013,0
"45",0.03,20.7,43.1,1013,0
"46",0.01,20.7,43.0,1013,0
"47",0.02,20.7,43.0,1013,0
"48",0.03,20.7,43.1,1013,0
"49",0.04,20.7,43.3,1013,0
"50",0.03,20.7,43.1,1013,0
"51",0.05,20.7,43.1,1013,0
"52",0.09,20.7,43.2,1013,0
"53",0.06,20.7,43.3,1013,0
"54",0.03,20.7,43.2,1013,0
"55",0.01,20.7,43.3,1013,0
"56",0.01,20.7,43.3,1013,0
"57",0.00,20.7,43.3,1013,0
"58",0.03,20.7,43.3,1013,0
"59",0.10,20.7,43.1,1013,0
"60",0.09,20.7,43.0,1013,0
"61",0.12,20.6,42.9,1013,0
"62",0.11,20.6,43.0,1013,0
"63",0.13,20.6,43.1,1013,0
"64",0.16,20.5,43.1,1013,0
"65",0.16,20.5,43.2,1013,0
"66",0.11,20.5,43.1,1013,0
"67",0.07,20.6,43.3,1013,0
"68",0.05,20.6,43.3,1013,0
"69",0.05,20.6,43.3,1013,0
"70",0.11,20.6,43.2,1013,0
"71",0.08,20.6,43.1,1013,0
"72",0.13,20.6,43.5,1013,0
"73",0.17,20.6,44.1,1013,0
"74",0.13,20.6,44.4,1013,0
"75",0.05,20.6,44.3,1013,0
"76",0.02,20.6,44.1,1013,0
"77",0.01,20.7,43.8,1013,0
"78",0.04,20.7,43.6,1013,0
"79",0.05,20.7,43.6,1013,0
"80",0.02,20.7,43.6,1013,0
"81",0.01,20.7,43.3,1013,0
"82",0.01,20.7,43.0,1013,0
"83",0.00,20.7,43.0,1013,0
"84",0.03,20.7,42.9,1013,0
"85",0.03,20.7,42.9,1013,0
"86",0.02,20.7,42.8,1013,0
"87",0.02,20.6,42.9,1013,0
"88",0.02,20.7,42.9,1013,0
"89",0.01,20.6,42.9,1013,0
