"[Software version]","Ver.2.46"
"[Measurement beginning time]",#07/12/2023 04:36:06#
"[Measurement end       time]",#07/12/2023 04:41:50#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",341
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.23,20.5,36.2
"Min.",0.00,19.7,34.0
"Avg.",0.07,20.0,34.9
" SD ",0.054,0.19,0.40
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.08,20.5,34.1,1013,0
"2",0.08,20.5,34.1,1013,0
"3",0.07,20.5,34.1,1013,0
"4",0.06,20.5,34.2,1013,0
"5",0.05,20.5,34.1,1013,0
"6",0.04,20.5,34.1,1013,0
"7",0.02,20.5,34.0,1013,0
"8",0.04,20.5,34.1,1013,0
"9",0.04,20.5,34.1,1013,0
"10",0.04,20.5,34.1,1013,0
"11",0.02,20.5,34.1,1013,0
"12",0.01,20.4,34.1,1013,0
"13",0.00,20.4,34.1,1013,0
"14",0.00,20.5,34.1,1013,0
"15",0.00,20.5,34.1,1013,0
"16",0.00,20.5,34.1,1013,0
"17",0.00,20.5,34.1,1013,0
"18",0.00,20.5,34.1,1013,0
"19",0.00,20.5,34.1,1013,0
"20",0.00,20.5,34.1,1013,0
"21",0.01,20.5,34.1,1013,0
"22",0.01,20.5,34.1,1013,0
"23",0.00,20.5,34.1,1013,0
"24",0.00,20.5,34.1,1013,0
"25",0.01,20.5,34.1,1013,0
"26",0.04,20.4,34.1,1013,0
"27",0.14,20.3,34.1,1013,0
"28",0.15,20.3,34.1,1013,0
"29",0.14,20.3,34.2,1013,0
"30",0.11,20.2,34.3,1013,0
"31",0.07,20.2,34.3,1013,0
"32",0.03,20.2,34.3,1013,0
"33",0.01,20.3,34.3,1013,0
"34",0.01,20.3,34.3,1013,0
"35",0.01,20.3,34.3,1013,0
"36",0.05,20.3,34.3,1013,0
"37",0.13,20.3,34.3,1013,0
"38",0.16,20.3,34.3,1013,0
"39",0.17,20.3,34.4,1013,0
"40",0.15,20.3,34.4,1013,0
"41",0.11,20.3,34.4,1013,0
"42",0.08,20.3,34.4,1013,0
"43",0.07,20.3,34.5,1013,0
"44",0.10,20.3,34.5,1013,0
"45",0.14,20.2,34.5,1013,0
"46",0.13,20.2,34.5,1013,0
"47",0.14,20.2,34.6,1013,0
"48",0.12,20.2,34.6,1013,0
"49",0.11,20.2,34.6,1013,0
"50",0.08,20.2,34.6,1013,0
"51",0.08,20.2,34.6,1013,0
"52",0.10,20.2,34.5,1013,0
"53",0.10,20.2,34.6,1013,0
"54",0.11,20.2,34.6,1013,0
"55",0.15,20.2,34.6,1013,0
"56",0.11,20.2,34.6,1013,0
"57",0.10,20.2,34.6,1013,0
"58",0.15,20.1,34.6,1013,0
"59",0.16,20.1,34.6,1013,0
"60",0.16,20.1,34.6,1013,0
"61",0.10,20.1,34.6,1013,0
"62",0.04,20.1,34.6,1013,0
"63",0.02,20.1,34.6,1013,0
"64",0.03,20.1,34.6,1013,0
"65",0.06,20.2,34.6,1013,0
"66",0.07,20.2,34.6,1013,0
"67",0.11,20.1,34.6,1013,0
"68",0.16,20.1,34.6,1013,0
"69",0.13,20.1,34.6,1013,0
"70",0.07,20.1,34.6,1013,0
"71",0.04,20.1,34.6,1013,0
"72",0.05,20.1,34.6,1013,0
"73",0.04,20.1,34.6,1013,0
"74",0.04,20.1,34.6,1013,0
"75",0.03,20.1,34.6,1013,0
"76",0.01,20.2,34.6,1013,0
"77",0.00,20.2,34.6,1013,0
"78",0.01,20.2,34.6,1013,0
"79",0.02,20.2,34.6,1013,0
"80",0.02,20.2,34.6,1013,0
"81",0.05,20.2,34.6,1013,0
"82",0.14,20.1,34.6,1013,0
"83",0.18,20.0,34.6,1013,0
"84",0.19,20.0,34.7,1013,0
"85",0.16,20.0,34.8,1013,0
"86",0.14,20.0,34.7,1013,0
"87",0.11,20.0,34.8,1013,0
"88",0.06,20.0,34.8,1013,0
"89",0.10,20.0,34.8,1013,0
"90",0.16,20.0,34.8,1013,0
"91",0.20,19.9,35.0,1013,0
"92",0.23,19.8,35.1,1013,0
"93",0.19,19.8,35.2,1013,0
"94",0.17,19.8,35.1,1013,0
"95",0.13,19.9,35.1,1013,0
"96",0.14,19.9,35.1,1013,0
"97",0.13,19.9,35.1,1013,0
"98",0.11,19.9,35.1,1013,0
"99",0.06,19.9,35.1,1013,0
"100",0.06,20.0,35.0,1013,0
"101",0.03,20.0,35.0,1013,0
"102",0.04,20.0,35.0,1013,0
"103",0.03,20.0,34.9,1013,0
"104",0.02,20.0,34.9,1013,0
"105",0.01,20.0,34.9,1013,0
"106",0.00,20.1,34.9,1013,0
"107",0.01,20.1,34.9,1013,0
"108",0.03,20.1,34.9,1013,0
"109",0.07,20.1,34.9,1013,0
"110",0.07,20.0,34.8,1013,0
"111",0.05,20.0,34.9,1013,0
"112",0.02,20.1,34.9,1013,0
"113",0.01,20.1,34.9,1013,0
"114",0.02,20.1,34.9,1013,0
"115",0.02,20.1,34.9,1013,0
"116",0.01,20.1,34.9,1013,0
"117",0.00,20.1,34.9,1013,0
"118",0.01,20.1,34.9,1013,0
"119",0.06,20.1,34.9,1013,0
"120",0.11,20.0,35.0,1013,0
"121",0.12,20.0,35.1,1013,0
"122",0.13,20.0,35.1,1013,0
"123",0.09,20.0,35.1,1013,0
"124",0.11,20.0,35.1,1013,0
"125",0.10,19.9,35.0,1013,0
"126",0.09,20.0,35.0,1013,0
"127",0.06,20.0,35.0,1013,0
"128",0.04,20.0,35.0,1013,0
"129",0.02,20.0,34.9,1013,0
"130",0.00,20.0,34.9,1013,0
"131",0.00,20.1,34.9,1013,0
"132",0.00,20.1,34.9,1013,0
"133",0.00,20.1,34.9,1013,0
"134",0.00,20.1,34.9,1013,0
"135",0.01,20.1,34.9,1013,0
"136",0.06,20.1,34.9,1013,0
"137",0.04,20.1,34.9,1013,0
"138",0.02,20.1,34.9,1013,0
"139",0.00,20.1,34.9,1013,0
"140",0.00,20.1,34.9,1013,0
"141",0.00,20.1,34.9,1013,0
"142",0.00,20.1,34.9,1013,0
"143",0.03,20.1,34.9,1013,0
"144",0.09,20.1,34.9,1013,0
"145",0.10,20.1,35.0,1013,0
