"[Software version]","Ver.2.46"
"[Measurement beginning time]",#01/12/2023 04:13:02#
"[Measurement end       time]",#01/12/2023 04:19:22#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",376
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.40,21.3,25.5
"Min.",0.00,20.6,20.5
"Avg.",0.05,21.0,21.4
" SD ",0.073,0.12,0.67
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.00,21.0,20.7,1013,0
"2",0.00,21.0,20.7,1013,0
"3",0.00,21.0,20.7,1013,0
"4",0.00,21.0,20.7,1013,0
"5",0.00,21.0,20.7,1013,0
"6",0.00,21.0,20.8,1013,0
"7",0.00,21.0,20.8,1013,0
"8",0.00,21.0,20.8,1013,0
"9",0.00,21.0,20.7,1013,0
"10",0.00,21.0,20.7,1013,0
"11",0.00,21.0,20.7,1013,0
"12",0.00,21.0,20.7,1013,0
"13",0.00,21.0,20.7,1013,0
"14",0.00,21.0,20.6,1013,0
"15",0.00,21.0,20.6,1013,0
"16",0.00,21.0,20.6,1013,0
"17",0.00,21.0,20.5,1013,0
"18",0.00,21.0,20.6,1013,0
"19",0.00,21.0,20.6,1013,0
"20",0.00,21.0,20.6,1013,0
"21",0.00,21.0,20.6,1013,0
"22",0.00,21.0,20.6,1013,0
"23",0.05,21.0,20.7,1013,0
"24",0.17,21.0,21.0,1013,0
"25",0.24,20.9,21.1,1013,0
"26",0.19,20.9,21.3,1013,0
"27",0.13,20.9,21.1,1013,0
"28",0.06,20.9,21.0,1013,0
"29",0.05,20.9,20.9,1013,0
"30",0.04,20.9,20.9,1013,0
"31",0.01,20.9,20.9,1013,0
"32",0.00,20.9,20.8,1013,0
"33",0.00,21.0,20.8,1013,0
"34",0.00,21.0,20.8,1013,0
"35",0.00,21.0,20.8,1013,0
"36",0.00,21.0,20.9,1013,0
"37",0.02,21.0,21.0,1013,0
"38",0.02,21.0,21.2,1013,0
"39",0.00,21.0,21.3,1013,0
"40",0.00,21.0,21.3,1013,0
"41",0.01,21.0,21.3,1013,0
"42",0.00,21.0,21.4,1013,0
"43",0.00,21.0,21.5,1013,0
"44",0.00,21.0,21.5,1013,0
"45",0.00,21.0,21.5,1013,0
"46",0.04,21.0,21.9,1013,0
"47",0.04,21.0,22.0,1013,0
"48",0.04,21.0,22.1,1013,0
"49",0.03,21.0,22.1,1013,0
"50",0.00,21.0,22.0,1013,0
"51",0.00,21.0,21.8,1013,0
"52",0.00,21.0,21.6,1013,0
"53",0.00,21.0,21.3,1013,0
"54",0.00,21.0,21.2,1013,0
"55",0.00,21.0,21.1,1013,0
"56",0.00,21.0,21.0,1013,0
"57",0.00,21.0,21.0,1013,0
"58",0.00,21.0,20.9,1013,0
"59",0.01,21.0,20.9,1013,0
"60",0.00,21.0,20.9,1013,0
"61",0.00,21.0,20.9,1013,0
"62",0.00,21.0,20.8,1013,0
"63",0.00,21.0,20.9,1013,0
"64",0.01,21.0,20.8,1013,0
"65",0.02,21.0,20.8,1013,0
"66",0.03,21.0,20.8,1013,0
"67",0.09,21.0,20.8,1013,0
"68",0.17,20.9,21.0,1013,0
"69",0.14,20.9,21.1,1013,0
"70",0.12,20.9,21.2,1013,0
