"[Software version]","Ver.2.46"
"[Measurement beginning time]",#16/12/2023 06:04:21#
"[Measurement end       time]",#16/12/2023 06:09:42#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",320
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.30,24.7,41.7
"Min.",0.00,22.0,36.6
"Avg.",0.17,23.8,37.9
" SD ",0.068,0.51,1.18
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.00,22.0,41.2,1013,0
"2",0.01,22.1,41.4,1013,0
"3",0.01,22.0,41.7,1013,0
"4",0.00,22.0,41.7,1013,0
"5",0.01,22.1,41.5,1013,0
"6",0.01,22.0,41.3,1013,0
"7",0.01,22.0,41.3,1013,0
"8",0.01,22.0,41.3,1013,0
"9",0.02,22.0,41.3,1013,0
"10",0.01,22.0,41.3,1013,0
"11",0.09,22.1,41.2,1013,0
"12",0.12,22.2,41.1,1013,0
"13",0.17,22.4,41.0,1013,0
"14",0.18,22.7,40.8,1013,0
"15",0.16,22.7,40.7,1013,0
"16",0.15,22.7,40.7,1013,0
"17",0.16,22.8,40.6,1013,0
"18",0.18,22.9,40.5,1013,0
"19",0.16,22.9,40.5,1013,0
"20",0.16,22.9,40.4,1013,0
"21",0.16,22.9,40.4,1013,0
"22",0.16,22.9,40.3,1013,0
"23",0.16,23.0,40.3,1013,0
"24",0.14,23.0,40.3,1013,0
"25",0.15,23.1,40.2,1013,0
"26",0.15,23.1,40.1,1013,0
"27",0.16,23.2,40.1,1013,0
"28",0.17,23.2,40.0,1013,0
"29",0.16,23.2,40.0,1013,0
"30",0.17,23.3,40.0,1013,0
"31",0.18,23.5,39.8,1013,0
"32",0.17,23.6,39.7,1013,0
"33",0.17,23.6,39.5,1013,0
"34",0.17,23.7,39.5,1013,0
"35",0.16,23.7,39.5,1013,0
"36",0.17,23.8,39.4,1013,0
"37",0.18,23.8,39.2,1013,0
"38",0.19,23.8,39.2,1013,0
"39",0.19,23.9,39.1,1013,0
"40",0.20,24.0,38.9,1013,0
"41",0.20,24.0,38.9,1013,0
"42",0.21,24.0,38.8,1013,0
"43",0.19,23.9,38.8,1013,0
"44",0.18,23.8,38.9,1013,0
"45",0.15,23.7,38.9,1013,0
"46",0.16,23.6,38.9,1013,0
"47",0.17,23.5,39.0,1013,0
"48",0.20,23.6,39.0,1013,0
"49",0.20,23.7,38.9,1013,0
"50",0.19,23.7,38.9,1013,0
"51",0.20,23.7,38.8,1013,0
"52",0.19,23.6,38.8,1013,0
"53",0.19,23.7,38.7,1013,0
"54",0.20,23.7,38.8,1013,0
"55",0.20,23.6,38.7,1013,0
"56",0.21,23.7,38.7,1013,0
"57",0.21,23.8,38.7,1013,0
"58",0.21,23.8,38.6,1013,0
"59",0.21,23.8,38.5,1013,0
"60",0.20,23.8,38.5,1013,0
"61",0.24,23.8,38.4,1013,0
"62",0.22,23.9,38.4,1013,0
"63",0.20,23.9,38.3,1013,0
"64",0.17,23.9,38.3,1013,0
"65",0.16,23.9,38.2,1013,0
"66",0.13,23.7,38.2,1013,0
"67",0.14,23.7,38.3,1013,0
"68",0.13,23.6,38.3,1013,0
"69",0.15,23.7,38.4,1013,0
"70",0.19,23.7,38.4,1013,0
"71",0.21,23.8,38.3,1013,0
"72",0.18,23.7,38.3,1013,0
"73",0.15,23.7,38.2,1013,0
"74",0.12,23.6,38.3,1013,0
"75",0.14,23.6,38.4,1013,0
"76",0.18,23.7,38.3,1013,0
"77",0.21,23.8,38.2,1013,0
"78",0.21,23.8,38.1,1013,0
"79",0.18,23.8,38.1,1013,0
"80",0.19,23.8,38.1,1013,0
"81",0.17,23.8,38.1,1013,0
"82",0.18,23.8,38.1,1013,0
"83",0.20,23.8,38.1,1013,0
"84",0.20,23.8,38.1,1013,0
"85",0.17,23.7,38.1,1013,0
"86",0.16,23.7,38.1,1013,0
"87",0.19,23.7,38.1,1013,0
"88",0.19,23.7,38.1,1013,0
"89",0.20,23.6,38.1,1013,0
"90",0.23,23.7,38.1,1013,0
"91",0.25,23.8,38.0,1013,0
"92",0.25,24.0,37.9,1013,0
"93",0.24,24.0,37.8,1013,0
"94",0.20,24.0,37.8,1013,0
"95",0.23,24.0,37.7,1013,0
"96",0.18,24.0,37.7,1013,0
"97",0.18,23.9,37.7,1013,0
"98",0.16,23.9,37.7,1013,0
"99",0.16,23.9,37.7,1013,0
"100",0.20,23.9,37.8,1013,0
"101",0.26,23.9,37.8,1013,0
"102",0.23,24.0,37.7,1013,0
"103",0.22,24.0,37.7,1013,0
"104",0.22,24.1,37.6,1013,0
"105",0.23,24.1,37.6,1013,0
"106",0.23,24.1,37.5,1013,0
"107",0.22,24.1,37.5,1013,0
"108",0.19,24.2,37.5,1013,0
"109",0.18,24.2,37.5,1013,0
"110",0.19,24.1,37.4,1013,0
"111",0.21,24.2,37.4,1013,0
"112",0.21,24.2,37.4,1013,0
"113",0.19,24.2,37.3,1013,0
"114",0.19,24.2,37.3,1013,0
"115",0.19,24.3,37.3,1013,0
"116",0.21,24.2,37.2,1013,0
"117",0.21,24.3,37.2,1013,0
"118",0.19,24.3,37.2,1013,0
"119",0.18,24.2,37.2,1013,0
"120",0.17,24.1,37.2,1013,0
"121",0.15,24.0,37.3,1013,0
"122",0.12,24.0,37.3,1013,0
"123",0.09,23.9,37.4,1013,0
"124",0.07,23.8,37.5,1013,0
"125",0.04,23.8,37.5,1013,0
"126",0.03,23.8,37.5,1013,0
"127",0.03,23.7,37.6,1013,0
"128",0.04,23.7,37.6,1013,0
"129",0.05,23.6,37.6,1013,0
"130",0.05,23.6,37.7,1013,0
"131",0.03,23.6,37.7,1013,0
"132",0.04,23.5,37.7,1013,0
"133",0.03,23.5,37.7,1013,0
"134",0.04,23.5,37.8,1013,0
"135",0.06,23.5,37.8,1013,0
"136",0.03,23.5,37.9,1013,0
"137",0.02,23.4,37.9,1013,0
"138",0.02,23.4,37.9,1013,0
"139",0.02,23.4,37.9,1013,0
"140",0.03,23.4,37.9,1013,0
"141",0.03,23.4,37.9,1013,0
"142",0.05,23.4,37.9,1013,0
"143",0.05,23.4,38.0,1013,0
"144",0.06,23.4,38.0,1013,0
"145",0.05,23.4,38.0,1013,0
"146",0.07,23.4,38.0,1013,0
"147",0.07,23.3,38.0,1013,0
"148",0.05,23.3,38.0,1013,0
"149",0.05,23.3,38.1,1013,0
"150",0.04,23.3,38.1,1013,0
"151",0.06,23.3,38.1,1013,0
"152",0.08,23.3,38.1,1013,0
"153",0.04,23.2,38.1,1013,0
"154",0.06,23.3,38.2,1013,0
"155",0.06,23.2,38.2,1013,0
"156",0.08,23.2,38.2,1013,0
"157",0.07,23.2,38.2,1013,0
"158",0.07,23.2,38.2,1013,0
"159",0.10,23.2,38.2,1013,0
"160",0.10,23.3,38.2,1013,0
"161",0.12,23.3,38.2,1013,0
"162",0.09,23.3,38.2,1013,0
"163",0.06,23.2,38.3,1013,0
"164",0.05,23.2,38.3,1013,0
"165",0.12,23.3,38.3,1013,0
"166",0.16,23.3,38.2,1013,0
"167",0.17,23.4,38.3,1013,0
"168",0.20,23.5,38.2,1013,0
"169",0.20,23.5,38.2,1013,0
"170",0.20,23.6,38.2,1013,0
"171",0.19,23.8,38.1,1013,0
"172",0.19,23.9,37.9,1013,0
"173",0.20,24.0,37.8,1013,0
"174",0.21,24.2,37.7,1013,0
"175",0.22,24.3,37.6,1013,0
"176",0.22,24.4,37.5,1013,0
"177",0.22,24.4,37.4,1013,0
"178",0.21,24.5,37.4,1013,0
"179",0.21,24.5,37.3,1013,0
"180",0.23,24.6,37.2,1013,0
"181",0.22,24.7,37.1,1013,0
"182",0.18,24.5,37.1,1013,0
"183",0.18,24.4,37.3,1013,0
"184",0.17,24.3,37.3,1013,0
"185",0.14,24.2,37.4,1013,0
"186",0.14,24.1,37.4,1013,0
"187",0.12,24.0,37.6,1013,0
"188",0.12,23.9,37.6,1013,0
"189",0.15,23.9,37.6,1013,0
"190",0.12,23.8,37.7,1013,0
"191",0.09,23.7,37.7,1013,0
"192",0.06,23.7,37.7,1013,0
"193",0.15,23.6,37.8,1013,0
"194",0.17,23.6,37.8,1013,0
"195",0.20,23.7,37.9,1013,0
"196",0.21,23.8,37.8,1013,0
"197",0.20,24.0,37.7,1013,0
"198",0.20,24.2,37.6,1013,0
"199",0.23,24.3,37.4,1013,0
"200",0.24,24.4,37.2,1013,0
"201",0.24,24.4,37.2,1013,0
"202",0.23,24.5,37.1,1013,0
"203",0.22,24.6,37.0,1013,0
"204",0.22,24.6,37.0,1013,0
"205",0.21,24.6,36.9,1013,0
"206",0.20,24.6,36.8,1013,0
"207",0.19,24.6,36.9,1013,0
"208",0.19,24.5,36.8,1013,0
"209",0.18,24.5,36.9,1013,0
"210",0.19,24.5,36.8,1013,0
"211",0.16,24.5,36.9,1013,0
"212",0.17,24.4,36.9,1013,0
"213",0.17,24.4,36.9,1013,0
"214",0.17,24.3,36.9,1013,0
"215",0.18,24.3,37.0,1013,0
"216",0.17,24.2,37.0,1013,0
"217",0.16,24.2,37.0,1013,0
"218",0.17,24.2,37.0,1013,0
"219",0.16,24.2,37.0,1013,0
"220",0.19,24.2,36.9,1013,0
"221",0.21,24.2,37.0,1013,0
"222",0.23,24.3,36.9,1013,0
"223",0.24,24.3,36.8,1013,0
"224",0.23,24.3,36.8,1013,0
"225",0.22,24.4,36.8,1013,0
"226",0.25,24.5,36.7,1013,0
"227",0.23,24.5,36.6,1013,0
"228",0.21,24.5,36.6,1013,0
"229",0.23,24.4,36.6,1013,0
"230",0.23,24.3,36.7,1013,0
"231",0.22,24.3,36.7,1013,0
"232",0.21,24.3,36.7,1013,0
"233",0.21,24.2,36.6,1013,0
"234",0.24,24.3,36.7,1013,0
"235",0.26,24.2,36.7,1013,0
"236",0.22,24.3,36.6,1013,0
"237",0.26,24.2,36.7,1013,0
"238",0.27,24.1,36.7,1013,0
"239",0.21,24.1,36.7,1013,0
"240",0.25,24.1,36.7,1013,0
"241",0.28,24.1,36.8,1013,0
"242",0.27,24.1,36.8,1013,0
"243",0.19,24.0,36.8,1013,0
"244",0.18,23.9,36.8,1013,0
"245",0.18,23.9,36.9,1013,0
"246",0.20,23.9,36.9,1013,0
"247",0.17,23.9,36.8,1013,0
"248",0.15,23.9,36.9,1013,0
"249",0.12,23.8,36.9,1013,0
"250",0.10,23.8,37.0,1013,0
"251",0.06,23.7,37.0,1013,0
"252",0.06,23.7,37.0,1013,0
"253",0.09,23.8,37.0,1013,0
"254",0.07,23.7,37.0,1013,0
"255",0.11,23.7,37.1,1013,0
"256",0.14,23.7,37.1,1013,0
"257",0.15,23.8,37.1,1013,0
"258",0.16,23.7,37.0,1013,0
"259",0.15,23.7,37.1,1013,0
"260",0.16,23.7,37.0,1013,0
"261",0.17,23.7,37.1,1013,0
"262",0.18,23.7,37.1,1013,0
"263",0.17,23.7,37.1,1013,0
"264",0.16,23.7,37.1,1013,0
"265",0.17,23.7,37.1,1013,0
"266",0.18,23.7,37.1,1013,0
"267",0.17,23.7,37.0,1013,0
"268",0.16,23.7,37.1,1013,0
"269",0.17,23.7,37.1,1013,0
"270",0.20,23.8,37.1,1013,0
"271",0.19,23.8,37.0,1013,0
"272",0.25,23.9,37.0,1013,0
"273",0.23,23.9,37.0,1013,0
"274",0.27,23.9,36.9,1013,0
"275",0.30,23.9,36.9,1013,0
"276",0.28,24.0,36.8,1013,0
"277",0.27,24.1,36.8,1013,0
"278",0.26,24.1,36.7,1013,0
"279",0.24,24.1,36.7,1013,0
"280",0.23,24.1,36.6,1013,0
"281",0.25,24.0,36.7,1013,0
"282",0.22,24.0,36.7,1013,0
"283",0.19,24.0,36.7,1013,0
"284",0.19,24.0,36.7,1013,0
"285",0.23,23.9,36.8,1013,0
"286",0.26,24.0,36.8,1013,0
"287",0.27,24.0,36.7,1013,0
"288",0.29,23.9,36.8,1013,0
"289",0.25,23.9,36.8,1013,0
"290",0.19,23.9,36.7,1013,0
"291",0.20,23.9,36.8,1013,0
"292",0.21,23.9,36.8,1013,0
"293",0.22,24.0,36.7,1013,0
"294",0.20,24.0,36.7,1013,0
"295",0.19,23.9,36.7,1013,0
"296",0.19,23.9,36.8,1013,0
"297",0.21,23.9,36.8,1013,0
"298",0.21,23.9,36.8,1013,0
"299",0.26,23.9,36.8,1013,0
"300",0.26,23.9,36.8,1013,0
"301",0.25,23.9,36.8,1013,0
"302",0.26,23.9,36.8,1013,0
"303",0.26,23.8,36.8,1013,0
"304",0.26,23.8,36.8,1013,0
"305",0.26,23.9,36.8,1013,0
"306",0.24,23.9,36.8,1013,0
"307",0.24,24.0,36.7,1013,0
"308",0.23,24.0,36.7,1013,0
"309",0.23,24.0,36.7,1013,0
"310",0.28,24.1,36.6,1013,0
"311",0.24,24.0,36.6,1013,0
"312",0.26,24.0,36.6,1013,0
"313",0.17,23.9,36.7,1013,0
"314",0.14,23.9,36.7,1013,0
"315",0.13,23.7,36.9,1013,0
"316",0.14,23.7,36.9,1013,0
"317",0.15,23.6,37.0,1013,0
"318",0.14,23.6,37.0,1013,0
"319",0.11,23.6,37.0,1013,0
"320",0.08,23.6,37.1,1013,0
