"[Software version]","Ver.2.46"
"[Measurement beginning time]",#16/12/2023 03:06:51#
"[Measurement end       time]",#16/12/2023 03:13:24#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",391
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.16,22.2,47.0
"Min.",0.00,22.0,45.7
"Avg.",0.00,22.1,46.2
" SD ",0.013,0.07,0.24
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.00,22.1,46.4,1013,0
"2",0.00,22.1,46.4,1013,0
"3",0.00,22.1,46.4,1013,0
"4",0.00,22.1,46.4,1013,0
"5",0.00,22.1,46.3,1013,0
"6",0.00,22.1,46.3,1013,0
"7",0.00,22.1,46.3,1013,0
"8",0.00,22.1,46.3,1013,0
"9",0.00,22.1,46.4,1013,0
"10",0.00,22.1,46.4,1013,0
"11",0.00,22.1,46.3,1013,0
"12",0.00,22.1,46.3,1013,0
"13",0.00,22.1,46.3,1013,0
"14",0.00,22.1,46.2,1013,0
"15",0.00,22.1,46.3,1013,0
"16",0.08,22.1,46.2,1013,0
"17",0.16,22.0,46.7,1013,0
"18",0.13,22.0,47.0,1013,0
"19",0.06,22.0,47.0,1013,0
"20",0.03,22.0,46.8,1013,0
"21",0.01,22.0,46.6,1013,0
"22",0.00,22.0,46.6,1013,0
"23",0.00,22.0,46.5,1013,0
"24",0.00,22.0,46.5,1013,0
"25",0.00,22.0,46.5,1013,0
"26",0.00,22.0,46.6,1013,0
"27",0.00,22.0,46.6,1013,0
"28",0.00,22.0,46.8,1013,0
"29",0.00,22.0,46.7,1013,0
"30",0.00,22.0,46.7,1013,0
"31",0.00,22.0,46.7,1013,0
"32",0.00,22.0,46.6,1013,0
"33",0.00,22.0,46.5,1013,0
"34",0.00,22.0,46.5,1013,0
"35",0.00,22.0,46.4,1013,0
"36",0.00,22.0,46.4,1013,0
"37",0.00,22.0,46.3,1013,0
"38",0.00,22.0,46.3,1013,0
"39",0.00,22.0,46.3,1013,0
"40",0.00,22.1,46.3,1013,0
"41",0.00,22.0,46.3,1013,0
"42",0.00,22.0,46.4,1013,0
"43",0.00,22.0,46.4,1013,0
"44",0.00,22.0,46.4,1013,0
"45",0.00,22.1,46.4,1013,0
"46",0.00,22.0,46.4,1013,0
"47",0.00,22.0,46.4,1013,0
