"[Software version]","Ver.2.46"
"[Measurement beginning time]",#08/12/2023 05:06:59#
"[Measurement end       time]",#08/12/2023 05:12:57#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",355
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.14,19.4,21.9
"Min.",0.00,19.2,20.6
"Avg.",0.00,19.3,20.8
" SD ",0.016,0.04,0.17
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.01,19.4,20.7,1013,0
"2",0.02,19.4,20.7,1013,0
"3",0.02,19.4,20.7,1013,0
"4",0.01,19.4,20.8,1013,0
"5",0.00,19.4,20.8,1013,0
"6",0.00,19.4,20.8,1013,0
"7",0.00,19.4,20.7,1013,0
"8",0.00,19.4,20.7,1013,0
"9",0.00,19.4,20.7,1013,0
"10",0.00,19.4,20.7,1013,0
"11",0.00,19.4,20.7,1013,0
"12",0.00,19.4,20.7,1013,0
"13",0.00,19.4,20.7,1013,0
"14",0.00,19.4,20.7,1013,0
"15",0.00,19.4,20.7,1013,0
"16",0.00,19.4,20.7,1013,0
"17",0.00,19.4,20.7,1013,0
"18",0.00,19.4,20.7,1013,0
"19",0.00,19.4,20.7,1013,0
"20",0.00,19.4,20.7,1013,0
"21",0.00,19.4,20.7,1013,0
"22",0.00,19.4,20.7,1013,0
"23",0.00,19.4,20.6,1013,0
"24",0.00,19.4,20.7,1013,0
"25",0.00,19.4,20.7,1013,0
"26",0.00,19.4,20.7,1013,0
"27",0.00,19.4,20.7,1013,0
"28",0.00,19.4,20.7,1013,0
"29",0.00,19.3,20.7,1013,0
"30",0.00,19.3,20.7,1013,0
"31",0.00,19.3,20.7,1013,0
"32",0.00,19.3,20.7,1013,0
"33",0.00,19.3,20.7,1013,0
"34",0.00,19.4,20.7,1013,0
"35",0.00,19.3,20.7,1013,0
"36",0.00,19.3,20.7,1013,0
"37",0.00,19.3,20.7,1013,0
"38",0.00,19.3,20.6,1013,0
"39",0.00,19.3,20.7,1013,0
"40",0.00,19.3,20.7,1013,0
"41",0.00,19.3,20.7,1013,0
"42",0.00,19.3,20.7,1013,0
"43",0.00,19.3,20.7,1013,0
"44",0.00,19.3,20.7,1013,0
"45",0.00,19.3,20.7,1013,0
"46",0.00,19.3,20.6,1013,0
"47",0.00,19.3,20.7,1013,0
"48",0.00,19.3,20.6,1013,0
"49",0.01,19.3,20.7,1013,0
"50",0.01,19.3,20.6,1013,0
"51",0.00,19.3,20.6,1013,0
"52",0.00,19.3,20.7,1013,0
"53",0.00,19.3,20.6,1013,0
"54",0.00,19.3,20.6,1013,0
"55",0.00,19.3,20.7,1013,0
"56",0.00,19.3,20.7,1013,0
"57",0.00,19.3,20.7,1013,0
"58",0.00,19.3,20.7,1013,0
"59",0.00,19.3,20.7,1013,0
"60",0.00,19.3,20.7,1013,0
"61",0.00,19.3,20.7,1013,0
"62",0.00,19.3,20.6,1013,0
"63",0.00,19.3,20.7,1013,0
"64",0.00,19.3,20.6,1013,0
"65",0.00,19.3,20.7,1013,0
