"[Software version]","Ver.2.46"
"[Measurement beginning time]",#18/03/2023 19:50:28#
"[Measurement end       time]",#18/03/2023 20:00:58#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",630
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.32,20.7,33.9
"Min.",0.00,20.1,32.6
"Avg.",0.05,20.4,33.2
" SD ",0.058,0.17,0.35
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.03,20.1,33.8,1013,0
"2",0.03,20.1,33.8,1013,0
"3",0.01,20.1,33.8,1013,0
"4",0.00,20.1,33.8,1013,0
"5",0.00,20.1,33.8,1013,0
"6",0.00,20.1,33.8,1013,0
"7",0.00,20.1,33.8,1013,0
"8",0.00,20.1,33.8,1013,0
"9",0.00,20.1,33.8,1013,0
"10",0.00,20.1,33.8,1013,0
"11",0.00,20.1,33.8,1013,0
"12",0.00,20.1,33.8,1013,0
"13",0.00,20.1,33.8,1013,0
"14",0.00,20.1,33.8,1013,0
"15",0.00,20.1,33.8,1013,0
"16",0.00,20.1,33.7,1013,0
"17",0.00,20.1,33.8,1013,0
"18",0.03,20.1,33.8,1013,0
"19",0.13,20.1,33.8,1013,0
"20",0.13,20.1,33.9,1013,0
"21",0.11,20.1,33.8,1013,0
"22",0.09,20.1,33.9,1013,0
"23",0.05,20.1,33.8,1013,0
"24",0.01,20.1,33.8,1013,0
"25",0.00,20.1,33.8,1013,0
"26",0.01,20.2,33.8,1013,0
"27",0.00,20.1,33.8,1013,0
"28",0.00,20.1,33.8,1013,0
"29",0.00,20.1,33.8,1013,0
"30",0.00,20.1,33.7,1013,0
"31",0.00,20.2,33.8,1013,0
"32",0.00,20.1,33.8,1013,0
"33",0.00,20.1,33.8,1013,0
"34",0.00,20.1,33.7,1013,0
"35",0.00,20.2,33.8,1013,0
"36",0.00,20.2,33.7,1013,0
"37",0.00,20.2,33.7,1013,0
"38",0.07,20.2,33.7,1013,0
"39",0.12,20.2,33.8,1013,0
"40",0.16,20.2,33.8,1013,0
"41",0.17,20.1,33.8,1013,0
"42",0.12,20.2,33.8,1013,0
"43",0.08,20.2,33.8,1013,0
"44",0.06,20.2,33.8,1013,0
"45",0.04,20.1,33.8,1013,0
"46",0.05,20.1,33.8,1013,0
"47",0.06,20.1,33.8,1013,0
"48",0.04,20.2,33.8,1013,0
"49",0.02,20.2,33.8,1013,0
"50",0.00,20.2,33.7,1013,0
"51",0.00,20.2,33.7,1013,0
"52",0.00,20.2,33.8,1013,0
"53",0.02,20.2,33.7,1013,0
"54",0.07,20.2,33.7,1013,0
"55",0.11,20.2,33.8,1013,0
"56",0.16,20.1,33.7,1013,0
"57",0.15,20.2,33.7,1013,0
"58",0.12,20.1,33.8,1013,0
"59",0.08,20.2,33.7,1013,0
"60",0.06,20.2,33.8,1013,0
"61",0.08,20.1,33.7,1013,0
"62",0.11,20.1,33.8,1013,0
"63",0.11,20.2,33.7,1013,0
"64",0.10,20.2,33.7,1013,0
"65",0.06,20.2,33.7,1013,0
"66",0.01,20.2,33.7,1013,0
"67",0.00,20.2,33.7,1013,0
"68",0.02,20.2,33.7,1013,0
"69",0.03,20.2,33.7,1013,0
"70",0.07,20.2,33.7,1013,0
"71",0.10,20.2,33.6,1013,0
"72",0.10,20.2,33.7,1013,0
"73",0.06,20.2,33.7,1013,0
"74",0.03,20.2,33.7,1013,0
"75",0.01,20.2,33.7,1013,0
"76",0.00,20.2,33.6,1013,0
"77",0.00,20.2,33.7,1013,0
"78",0.01,20.2,33.6,1013,0
"79",0.07,20.2,33.6,1013,0
"80",0.14,20.2,33.7,1013,0
"81",0.12,20.2,33.7,1013,0
"82",0.07,20.2,33.6,1013,0
"83",0.03,20.2,33.7,1013,0
"84",0.02,20.2,33.6,1013,0
"85",0.02,20.2,33.6,1013,0
"86",0.01,20.2,33.6,1013,0
"87",0.01,20.2,33.6,1013,0
"88",0.00,20.2,33.6,1013,0
"89",0.00,20.2,33.6,1013,0
"90",0.00,20.2,33.6,1013,0
"91",0.00,20.2,33.6,1013,0
"92",0.06,20.2,33.5,1013,0
"93",0.06,20.2,33.6,1013,0
"94",0.04,20.2,33.6,1013,0
"95",0.00,20.2,33.6,1013,0
"96",0.00,20.2,33.5,1013,0
"97",0.00,20.2,33.6,1013,0
"98",0.07,20.2,33.6,1013,0
"99",0.10,20.2,33.5,1013,0
"100",0.18,20.2,33.6,1013,0
"101",0.18,20.2,33.6,1013,0
"102",0.13,20.2,33.6,1013,0
"103",0.06,20.2,33.6,1013,0
"104",0.09,20.2,33.6,1013,0
"105",0.13,20.2,33.6,1013,0
"106",0.15,20.2,33.6,1013,0
"107",0.16,20.2,33.6,1013,0
"108",0.16,20.2,33.7,1013,0
"109",0.14,20.2,33.6,1013,0
"110",0.08,20.2,33.6,1013,0
"111",0.04,20.2,33.6,1013,0
"112",0.05,20.2,33.6,1013,0
"113",0.05,20.2,33.6,1013,0
"114",0.04,20.2,33.6,1013,0
"115",0.04,20.2,33.6,1013,0
"116",0.04,20.2,33.6,1013,0
"117",0.07,20.2,33.6,1013,0
"118",0.04,20.2,33.6,1013,0
"119",0.01,20.2,33.5,1013,0
"120",0.01,20.2,33.5,1013,0
"121",0.02,20.2,33.6,1013,0
"122",0.01,20.2,33.5,1013,0
"123",0.00,20.2,33.5,1013,0
"124",0.00,20.2,33.5,1013,0
"125",0.00,20.2,33.5,1013,0
"126",0.00,20.2,33.5,1013,0
"127",0.01,20.2,33.5,1013,0
"128",0.02,20.2,33.5,1013,0
"129",0.01,20.2,33.5,1013,0
"130",0.02,20.2,33.5,1013,0
"131",0.01,20.2,33.5,1013,0
"132",0.00,20.2,33.5,1013,0
"133",0.00,20.2,33.4,1013,0
"134",0.00,20.2,33.5,1013,0
"135",0.00,20.2,33.5,1013,0
"136",0.00,20.3,33.5,1013,0
"137",0.00,20.3,33.5,1013,0
"138",0.00,20.2,33.5,1013,0
"139",0.00,20.3,33.5,1013,0
"140",0.00,20.3,33.4,1013,0
"141",0.00,20.3,33.5,1013,0
"142",0.00,20.3,33.5,1013,0
"143",0.00,20.2,33.5,1013,0
"144",0.00,20.3,33.5,1013,0
"145",0.00,20.3,33.5,1013,0
"146",0.00,20.3,33.5,1013,0
"147",0.00,20.3,33.4,1013,0
"148",0.00,20.3,33.4,1013,0
"149",0.01,20.3,33.5,1013,0
"150",0.03,20.3,33.5,1013,0
"151",0.07,20.3,33.5,1013,0
"152",0.12,20.3,33.5,1013,0
"153",0.11,20.2,33.5,1013,0
"154",0.08,20.3,33.5,1013,0
"155",0.10,20.3,33.5,1013,0
"156",0.11,20.3,33.5,1013,0
"157",0.11,20.2,33.5,1013,0
"158",0.10,20.2,33.5,1013,0
"159",0.11,20.3,33.5,1013,0
"160",0.08,20.2,33.5,1013,0
"161",0.06,20.3,33.4,1013,0
"162",0.02,20.3,33.5,1013,0
"163",0.00,20.3,33.5,1013,0
"164",0.00,20.3,33.4,1013,0
"165",0.02,20.3,33.5,1013,0
"166",0.04,20.3,33.4,1013,0
"167",0.03,20.3,33.4,1013,0
"168",0.04,20.3,33.4,1013,0
"169",0.04,20.3,33.4,1013,0
"170",0.06,20.3,33.4,1013,0
"171",0.09,20.3,33.5,1013,0
"172",0.04,20.3,33.4,1013,0
"173",0.00,20.3,33.4,1013,0
"174",0.00,20.3,33.4,1013,0
"175",0.04,20.3,33.4,1013,0
"176",0.05,20.3,33.4,1013,0
"177",0.08,20.3,33.4,1013,0
"178",0.12,20.3,33.4,1013,0
"179",0.11,20.3,33.4,1013,0
"180",0.07,20.3,33.4,1013,0
"181",0.03,20.3,33.4,1013,0
"182",0.02,20.3,33.4,1013,0
"183",0.00,20.3,33.4,1013,0
"184",0.00,20.3,33.4,1013,0
"185",0.00,20.3,33.4,1013,0
"186",0.00,20.3,33.4,1013,0
"187",0.00,20.4,33.4,1013,0
"188",0.00,20.3,33.3,1013,0
"189",0.00,20.3,33.4,1013,0
"190",0.00,20.4,33.3,1013,0
"191",0.00,20.3,33.4,1013,0
"192",0.00,20.3,33.4,1013,0
"193",0.00,20.3,33.3,1013,0
"194",0.00,20.4,33.4,1013,0
"195",0.00,20.4,33.3,1013,0
"196",0.00,20.4,33.4,1013,0
"197",0.00,20.4,33.3,1013,0
"198",0.00,20.4,33.3,1013,0
"199",0.00,20.4,33.3,1013,0
"200",0.00,20.4,33.3,1013,0
"201",0.00,20.4,33.3,1013,0
"202",0.01,20.4,33.3,1013,0
"203",0.03,20.4,33.3,1013,0
"204",0.09,20.4,33.3,1013,0
"205",0.18,20.4,33.3,1013,0
"206",0.32,20.4,33.4,1013,0
"207",0.27,20.3,33.4,1013,0
"208",0.19,20.3,33.4,1013,0
"209",0.16,20.3,33.4,1013,0
"210",0.11,20.3,33.4,1013,0
"211",0.04,20.3,33.4,1013,0
"212",0.01,20.3,33.4,1013,0
"213",0.00,20.4,33.3,1013,0
"214",0.00,20.3,33.3,1013,0
"215",0.00,20.4,33.3,1013,0
"216",0.01,20.4,33.2,1013,0
"217",0.00,20.4,33.3,1013,0
"218",0.00,20.4,33.3,1013,0
"219",0.00,20.4,33.2,1013,0
"220",0.00,20.4,33.2,1013,0
"221",0.00,20.4,33.2,1013,0
"222",0.00,20.4,33.2,1013,0
"223",0.00,20.4,33.2,1013,0
"224",0.00,20.4,33.2,1013,0
"225",0.00,20.4,33.2,1013,0
"226",0.02,20.4,33.2,1013,0
