"[Software version]","Ver.2.46"
"[Measurement beginning time]",#17/04/2023 21:44:17#
"[Measurement end       time]",#17/04/2023 21:54:48#
"[Model number]","6531"
"[Measurement mode]","VTH"
"[Data transfer mode]","Original Data Transfer"
"[Calculation mode]","Instant"
"[S-TIME(S) -- Sampling interval(s)]",1
"[No.TRIAL -- the Number of Trial]",630
"[WIDTH -- Width of Duct]","-----"
"[HEIGHT -- Height of Duct]","-----"
"[DIAMETER -- Diameter of Duct]","-----"
"[Atmospheric pressure]",1013
"    ","V(m/s)","T(C)","H(%RH)"
"Max.",0.20,26.3,25.8
"Min.",0.01,25.8,24.8
"Avg.",0.04,26.0,25.3
" SD ",0.038,0.15,0.29
"No.","V(m/s)","T(C)","H(%RH)","A(hPa)","Atom.F"
"1",0.01,26.3,24.8,1013,0
"2",0.01,26.3,24.9,1013,0
"3",0.01,26.3,24.9,1013,0
"4",0.01,26.3,24.9,1013,0
"5",0.01,26.3,24.9,1013,0
"6",0.01,26.3,24.9,1013,0
"7",0.01,26.3,24.9,1013,0
"8",0.01,26.3,24.9,1013,0
"9",0.01,26.3,24.8,1013,0
"10",0.01,26.3,24.9,1013,0
"11",0.01,26.3,24.9,1013,0
"12",0.01,26.3,24.9,1013,0
"13",0.01,26.3,24.9,1013,0
"14",0.01,26.3,24.9,1013,0
"15",0.01,26.3,24.9,1013,0
"16",0.01,26.3,24.9,1013,0
"17",0.01,26.3,24.9,1013,0
"18",0.01,26.3,24.9,1013,0
"19",0.01,26.3,24.9,1013,0
"20",0.01,26.3,24.9,1013,0
"21",0.01,26.3,24.9,1013,0
"22",0.03,26.3,24.9,1013,0
"23",0.02,26.3,24.9,1013,0
"24",0.01,26.3,24.9,1013,0
"25",0.01,26.3,24.9,1013,0
"26",0.01,26.3,24.9,1013,0
"27",0.01,26.3,24.9,1013,0
"28",0.01,26.3,24.9,1013,0
"29",0.01,26.3,24.9,1013,0
"30",0.01,26.3,24.9,1013,0
"31",0.01,26.3,24.9,1013,0
"32",0.01,26.3,24.9,1013,0
"33",0.01,26.3,24.9,1013,0
"34",0.01,26.3,24.9,1013,0
"35",0.01,26.3,24.9,1013,0
"36",0.01,26.3,24.9,1013,0
"37",0.01,26.3,24.9,1013,0
"38",0.01,26.3,24.9,1013,0
"39",0.01,26.3,24.9,1013,0
"40",0.01,26.3,24.9,1013,0
"41",0.01,26.3,24.9,1013,0
"42",0.05,26.3,24.9,1013,0
"43",0.06,26.3,25.0,1013,0
