1, train_cross_en_loss, 0.44832075, train_accuracy, 0.8793511111111111, 2023-07-11 15:35:00.584202
2, train_cross_en_loss, 0.35421297, train_accuracy, 0.9007222222222223, 2023-07-11 15:35:47.789731
3, train_cross_en_loss, 0.3518326, train_accuracy, 0.901071111111111, 2023-07-11 15:36:34.880156
4, train_cross_en_loss, 0.35488144, train_accuracy, 0.9010044444444444, 2023-07-11 15:37:21.959203
5, train_cross_en_loss, 0.35499942, train_accuracy, 0.9010333333333335, 2023-07-11 15:38:08.907347
6, train_cross_en_loss, 0.35463345, train_accuracy, 0.9011555555555554, 2023-07-11 15:38:57.513136
7, train_cross_en_loss, 0.3550112, train_accuracy, 0.9009399999999999, 2023-07-11 15:39:47.358082
8, train_cross_en_loss, 0.3553525, train_accuracy, 0.90078, 2023-07-11 15:40:37.755433
9, train_cross_en_loss, 0.35523707, train_accuracy, 0.9008466666666667, 2023-07-11 15:41:28.776270
10, train_cross_en_loss, 0.3551954, train_accuracy, 0.9008044444444443, 2023-07-11 15:42:20.122772
11, train_cross_en_loss, 0.35399017, train_accuracy, 0.9008911111111111, 2023-07-11 15:43:10.448484
12, train_cross_en_loss, 0.35450414, train_accuracy, 0.9008222222222222, 2023-07-11 15:44:00.762899
13, train_cross_en_loss, 0.35380647, train_accuracy, 0.9008355555555555, 2023-07-11 15:44:51.031677
14, train_cross_en_loss, 0.3539983, train_accuracy, 0.9008977777777777, 2023-07-11 15:45:41.607546
15, train_cross_en_loss, 0.3529269, train_accuracy, 0.9010133333333333, 2023-07-11 15:46:32.230515
16, train_cross_en_loss, 0.35449597, train_accuracy, 0.9008866666666666, 2023-07-11 15:47:22.438652
17, train_cross_en_loss, 0.35491842, train_accuracy, 0.9006488888888889, 2023-07-11 15:48:13.465071
18, train_cross_en_loss, 0.3543082, train_accuracy, 0.9010044444444444, 2023-07-11 15:49:04.016911
19, train_cross_en_loss, 0.35328907, train_accuracy, 0.9010644444444443, 2023-07-11 15:49:54.721857
20, train_cross_en_loss, 0.35422742, train_accuracy, 0.9009422222222223, 2023-07-11 15:50:45.100176
21, train_cross_en_loss, 0.35397476, train_accuracy, 0.9007333333333333, 2023-07-11 15:51:36.033527
22, train_cross_en_loss, 0.3539213, train_accuracy, 0.9008066666666666, 2023-07-11 15:52:27.098652
23, train_cross_en_loss, 0.35467342, train_accuracy, 0.9008399999999999, 2023-07-11 15:53:17.090854
24, train_cross_en_loss, 0.3541546, train_accuracy, 0.900791111111111, 2023-07-11 15:54:07.528697
25, train_cross_en_loss, 0.35429114, train_accuracy, 0.9008377777777777, 2023-07-11 15:54:57.659137
26, train_cross_en_loss, 0.3548715, train_accuracy, 0.9008222222222222, 2023-07-11 15:55:48.228472
27, train_cross_en_loss, 0.35347354, train_accuracy, 0.9009222222222222, 2023-07-11 15:56:38.958527
28, train_cross_en_loss, 0.35347936, train_accuracy, 0.9009111111111112, 2023-07-11 15:57:29.728775
29, train_cross_en_loss, 0.35456923, train_accuracy, 0.9006622222222223, 2023-07-11 15:58:20.395725
30, train_cross_en_loss, 0.35513142, train_accuracy, 0.9005955555555556, 2023-07-11 15:59:10.765562
