1, train_cross_en_loss, 0.78416836, train_accuracy, 0.49886666666666674, 2023-06-06 22:24:59.749995
2, train_cross_en_loss, 0.78694826, train_accuracy, 0.4976666666666667, 2023-06-06 22:25:01.693519
3, train_cross_en_loss, 0.7844463, train_accuracy, 0.4993000000000001, 2023-06-06 22:25:03.762763
4, train_cross_en_loss, 0.78525037, train_accuracy, 0.49393333333333334, 2023-06-06 22:25:05.821484
5, train_cross_en_loss, 0.7791152, train_accuracy, 0.5030666666666667, 2023-06-06 22:25:07.576529
6, train_cross_en_loss, 0.7846655, train_accuracy, 0.49620000000000003, 2023-06-06 22:25:09.489420
7, train_cross_en_loss, 0.7813015, train_accuracy, 0.49820000000000003, 2023-06-06 22:25:11.445177
8, train_cross_en_loss, 0.7837828, train_accuracy, 0.49923333333333325, 2023-06-06 22:25:13.396923
9, train_cross_en_loss, 0.784622, train_accuracy, 0.49946666666666667, 2023-06-06 22:25:15.354419
10, train_cross_en_loss, 0.787655, train_accuracy, 0.4951, 2023-06-06 22:25:17.311844
11, train_cross_en_loss, 0.7796938, train_accuracy, 0.5038333333333332, 2023-06-06 22:25:19.239741
12, train_cross_en_loss, 0.78394574, train_accuracy, 0.49893333333333334, 2023-06-06 22:25:21.183037
13, train_cross_en_loss, 0.7802712, train_accuracy, 0.5057, 2023-06-06 22:25:23.139303
14, train_cross_en_loss, 0.78266305, train_accuracy, 0.4998333333333333, 2023-06-06 22:25:25.084647
15, train_cross_en_loss, 0.7829396, train_accuracy, 0.4997, 2023-06-06 22:25:27.044074
16, train_cross_en_loss, 0.7835865, train_accuracy, 0.5003666666666667, 2023-06-06 22:25:28.990980
17, train_cross_en_loss, 0.7857501, train_accuracy, 0.49593333333333345, 2023-06-06 22:25:30.940689
18, train_cross_en_loss, 0.78543323, train_accuracy, 0.49376666666666663, 2023-06-06 22:25:32.887720
19, train_cross_en_loss, 0.7848121, train_accuracy, 0.4996, 2023-06-06 22:25:34.626713
20, train_cross_en_loss, 0.7812096, train_accuracy, 0.49876666666666664, 2023-06-06 22:25:36.166936
21, train_cross_en_loss, 0.78390664, train_accuracy, 0.4994333333333334, 2023-06-06 22:25:37.670673
22, train_cross_en_loss, 0.78372836, train_accuracy, 0.5009, 2023-06-06 22:25:39.147551
23, train_cross_en_loss, 0.7860206, train_accuracy, 0.49700000000000005, 2023-06-06 22:25:40.625894
