1, train_cross_en_loss, 0.40723628, train_accuracy, 0.9134680272108844, 2023-07-18 08:59:10.957225
2, train_cross_en_loss, 0.18812695, train_accuracy, 0.9582367346938775, 2023-07-18 09:01:39.117425
3, train_cross_en_loss, 0.16056637, train_accuracy, 0.9610585034013606, 2023-07-18 09:04:07.253867
4, train_cross_en_loss, 0.15101162, train_accuracy, 0.9622748299319729, 2023-07-18 09:06:35.368807
5, train_cross_en_loss, 0.14795272, train_accuracy, 0.9625809523809524, 2023-07-18 09:09:01.772061
6, train_cross_en_loss, 0.14688313, train_accuracy, 0.9626625850340136, 2023-07-18 09:11:29.124790
7, train_cross_en_loss, 0.14802082, train_accuracy, 0.9630272108843537, 2023-07-18 09:13:56.156731
8, train_cross_en_loss, 0.15064134, train_accuracy, 0.9626571428571429, 2023-07-18 09:16:23.476616
9, train_cross_en_loss, 0.15263423, train_accuracy, 0.9622979591836734, 2023-07-18 09:18:51.718270
10, train_cross_en_loss, 0.15456484, train_accuracy, 0.9619877551020408, 2023-07-18 09:21:17.916855
11, train_cross_en_loss, 0.15500458, train_accuracy, 0.9618054421768708, 2023-07-18 09:23:42.693384
12, train_cross_en_loss, 0.15424438, train_accuracy, 0.961882993197279, 2023-07-18 09:26:13.035043
13, train_cross_en_loss, 0.15385965, train_accuracy, 0.9618544217687074, 2023-07-18 09:28:46.197555
14, train_cross_en_loss, 0.15389538, train_accuracy, 0.9620040816326532, 2023-07-18 09:31:20.436518
15, train_cross_en_loss, 0.15372144, train_accuracy, 0.9620285714285715, 2023-07-18 09:33:51.439745
16, train_cross_en_loss, 0.15434156, train_accuracy, 0.9619945578231291, 2023-07-18 09:36:22.307152
17, train_cross_en_loss, 0.1543136, train_accuracy, 0.961938775510204, 2023-07-18 09:38:53.595484
18, train_cross_en_loss, 0.1540045, train_accuracy, 0.9620544217687075, 2023-07-18 09:41:24.898224
19, train_cross_en_loss, 0.15483245, train_accuracy, 0.9618503401360544, 2023-07-18 09:43:56.041388
20, train_cross_en_loss, 0.15475166, train_accuracy, 0.9618122448979592, 2023-07-18 09:46:29.707257
21, train_cross_en_loss, 0.1542927, train_accuracy, 0.9618421768707482, 2023-07-18 09:49:02.258072
22, train_cross_en_loss, 0.15430725, train_accuracy, 0.9617687074829931, 2023-07-18 09:51:33.858888
23, train_cross_en_loss, 0.15445165, train_accuracy, 0.961930612244898, 2023-07-18 09:54:05.953499
24, train_cross_en_loss, 0.15436493, train_accuracy, 0.9619673469387755, 2023-07-18 09:56:40.042838
25, train_cross_en_loss, 0.15444861, train_accuracy, 0.9620707482993197, 2023-07-18 09:59:11.584306
26, train_cross_en_loss, 0.15492958, train_accuracy, 0.9618530612244898, 2023-07-18 10:01:46.063181
27, train_cross_en_loss, 0.1544837, train_accuracy, 0.9619265306122449, 2023-07-18 10:04:18.691761
28, train_cross_en_loss, 0.15436934, train_accuracy, 0.9620312925170068, 2023-07-18 10:06:50.400658
29, train_cross_en_loss, 0.15455338, train_accuracy, 0.9618721088435374, 2023-07-18 10:09:22.742952
30, train_cross_en_loss, 0.15512069, train_accuracy, 0.9616666666666666, 2023-07-18 10:11:55.044719
