1, train_cross_en_loss, 0.37110355, train_accuracy, 0.9254088888888888, 2023-07-11 16:29:12.283935
2, train_cross_en_loss, 0.24048562, train_accuracy, 0.9438288888888889, 2023-07-11 16:29:59.535137
3, train_cross_en_loss, 0.23258047, train_accuracy, 0.9447599999999999, 2023-07-11 16:30:45.236151
4, train_cross_en_loss, 0.23262802, train_accuracy, 0.9445977777777776, 2023-07-11 16:31:32.061083
5, train_cross_en_loss, 0.23293634, train_accuracy, 0.94482, 2023-07-11 16:32:18.456748
6, train_cross_en_loss, 0.23245907, train_accuracy, 0.944571111111111, 2023-07-11 16:33:05.854413
7, train_cross_en_loss, 0.23186088, train_accuracy, 0.9452555555555555, 2023-07-11 16:33:54.887071
8, train_cross_en_loss, 0.23306286, train_accuracy, 0.9445666666666666, 2023-07-11 16:34:44.884059
9, train_cross_en_loss, 0.23300016, train_accuracy, 0.9444555555555555, 2023-07-11 16:35:34.256742
10, train_cross_en_loss, 0.2324971, train_accuracy, 0.9449888888888888, 2023-07-11 16:36:24.770584
11, train_cross_en_loss, 0.23242481, train_accuracy, 0.9448711111111109, 2023-07-11 16:37:15.043192
12, train_cross_en_loss, 0.23225735, train_accuracy, 0.9445822222222221, 2023-07-11 16:38:04.671665
13, train_cross_en_loss, 0.23203006, train_accuracy, 0.9447844444444445, 2023-07-11 16:38:56.117514
14, train_cross_en_loss, 0.2322645, train_accuracy, 0.9449155555555555, 2023-07-11 16:39:47.163125
15, train_cross_en_loss, 0.23197109, train_accuracy, 0.9451711111111111, 2023-07-11 16:40:37.012702
16, train_cross_en_loss, 0.23133744, train_accuracy, 0.9450577777777778, 2023-07-11 16:41:26.999262
17, train_cross_en_loss, 0.2329194, train_accuracy, 0.9447599999999999, 2023-07-11 16:42:16.786454
18, train_cross_en_loss, 0.2310243, train_accuracy, 0.9451266666666667, 2023-07-11 16:43:06.336397
19, train_cross_en_loss, 0.23155713, train_accuracy, 0.9451711111111111, 2023-07-11 16:43:55.410309
20, train_cross_en_loss, 0.23282385, train_accuracy, 0.9444711111111112, 2023-07-11 16:44:44.934530
21, train_cross_en_loss, 0.23213308, train_accuracy, 0.9447888888888889, 2023-07-11 16:45:34.432329
22, train_cross_en_loss, 0.232616, train_accuracy, 0.9448822222222222, 2023-07-11 16:46:23.793769
23, train_cross_en_loss, 0.23166066, train_accuracy, 0.9448577777777776, 2023-07-11 16:47:13.500357
24, train_cross_en_loss, 0.23204033, train_accuracy, 0.94482, 2023-07-11 16:48:03.545707
25, train_cross_en_loss, 0.23277566, train_accuracy, 0.9446622222222222, 2023-07-11 16:48:53.532956
26, train_cross_en_loss, 0.23096405, train_accuracy, 0.9452044444444443, 2023-07-11 16:49:43.333586
27, train_cross_en_loss, 0.23202091, train_accuracy, 0.9448711111111111, 2023-07-11 16:50:32.659116
28, train_cross_en_loss, 0.23236105, train_accuracy, 0.9447355555555554, 2023-07-11 16:51:23.084211
29, train_cross_en_loss, 0.2332837, train_accuracy, 0.9447177777777778, 2023-07-11 16:52:12.941362
30, train_cross_en_loss, 0.23186053, train_accuracy, 0.9450066666666667, 2023-07-11 16:53:02.788357
