,v0,v1,v2,v3
,-1.04505e+06,-1.17347e+06,-790010,-844820
,-1.04494e+06,-1.17044e+06,-793071,-847565
,-1.04424e+06,-1.16683e+06,-794623,-850124
,-1.04422e+06,-1.12872e+06,-794908,-851654
,-1.04371e+06,-1.12356e+06,-794574,-787460
,-1.04301e+06,-1.11698e+06,-793129,-788699
,-1.04238e+06,-1.11058e+06,-791028,-789543
,-1.0419e+06,-1.10414e+06,-788470,-790295
,-1.04139e+06,-1.06476e+06,-850720,-791056
,-1.04015e+06,-1.05804e+06,-847130,-791533
,-1.03933e+06,-1.05184e+06,-844056,-792560
,-1.0353e+06,-1.11257e+06,-842553,-794130
,-993993,-1.10851e+06,-843752,-797995
,-977666,-1.10595e+06,-846037,-802807
,-926227,-1.1036e+06,-847328,-839429
,-970994,-1.1029e+06,-851655,-845307
,-917964,-1.10255e+06,-790007,-849669
,-903214,-1.10338e+06,-795947,-856114
,-861948,-1.10563e+06,-837075,-863505
,-860118,-1.11056e+06,-849431,-907714
,-858875,-1.054e+06,-868075,-857324
,-857032,-1.06468e+06,-857072,-907490
,-854479,-1.10996e+06,-915162,-927787
,-916194,-1.12353e+06,-975566,-982519
,-913930,-1.17021e+06,-970811,-971753
,-913866,-1.11878e+06,-1.03299e+06,-994094
,-914937,-1.16561e+06,-998339,-985079
,-852265,-1.17861e+06,-1.05984e+06,-1.03964e+06
,-859593,-1.19019e+06,-1.05569e+06,-1.06093e+06
,-864799,-1.2342e+06,-1.1172e+06,-1.05033e+06
,-902113,-1.24266e+06,-1.17652e+06,-1.10235e+06
,-904162,-1.18455e+06,-1.16895e+06,-1.12125e+06
,-904677,-1.18857e+06,-1.18987e+06,-1.16962e+06
,-904496,-1.1899e+06,-1.24079e+06,-1.11714e+06
,-905700,-1.18753e+06,-1.18881e+06,-1.12689e+06
,-903638,-1.1842e+06,-1.2349e+06,-1.16884e+06
,-866321,-1.24206e+06,-1.24312e+06,-1.17478e+06
,-860885,-1.23213e+06,-1.2478e+06,-1.17762e+06
,-860101,-1.18633e+06,-1.24874e+06,-1.17785e+06
,-907465,-1.18428e+06,-1.29816e+06,-1.19068e+06
,-841778,-1.16919e+06,-1.29619e+06,-1.18916e+06
,-795901,-1.1192e+06,-1.25821e+06,-1.18507e+06
,-849423,-1.17091e+06,-1.25743e+06,-1.18533e+06
,-842280,-1.1241e+06,-1.25667e+06,-1.18686e+06
,-798760,-1.11537e+06,-1.29541e+06,-1.19326e+06
,-787444,-1.1074e+06,-1.30284e+06,-1.23418e+06
,-776655,-1.10077e+06,-1.24667e+06,-1.2437e+06
,-770834,-1.06337e+06,-1.25877e+06,-1.19018e+06
,-732699,-1.06369e+06,-1.30864e+06,-1.23932e+06
,-729369,-1.09854e+06,-1.36166e+06,-1.25797e+06
,-726024,-1.10315e+06,-1.31887e+06,-1.24641e+06
,-726029,-1.10954e+06,-1.37604e+06,-1.30173e+06
,-726550,-1.11846e+06,-1.43597e+06,-1.32585e+06
,-728379,-1.12894e+06,-1.43084e+06,-1.31815e+06
,-733444,-1.17121e+06,-1.45559e+06,-1.37247e+06
,-788940,-848183,-1.12569e+06,-1.50555e+06
,-800969,-1.17049e+06,-1.56626e+06,-1.43688e+06
,-844798,-1.1822e+06,-1.55936e+06,-1.45739e+06
,-851984,-1.18995e+06,-1.57872e+06,-1.50452e+06
,-857660,-1.19452e+06,-1.6269e+06,-1.4485e+06
,-864990,-1.19554e+06,-1.6348e+06,-1.45203e+06
,-904133,-1.19495e+06,-1.57493e+06,-1.4518e+06
,-908995,-1.19046e+06,-1.57415e+06,-1.4466e+06
,-912899,-1.18368e+06,-1.63555e+06,-1.50276e+06
,-916697,-1.17203e+06,-1.62539e+06,-1.45505e+06
,-855493,-1.12506e+06,-1.57906e+06,-1.43619e+06
,-857380,-1.17581e+06,-1.56366e+06,-1.38295e+06
,-858139,-1.12439e+06,-1.51095e+06,-1.3916e+06
,-862208,-1.10202e+06,-1.52086e+06,-1.36348e+06
,-864478,-1.11257e+06,-1.4979e+06,-1.36888e+06
,-866516,-1.05548e+06,-1.50457e+06,-1.30694e+06
,-867781,-998856,-1.44772e+06,-1.24668e+06
,-868345,-1.03811e+06,-1.38704e+06,-1.24909e+06
,-902691,-980163,-1.42692e+06,-1.18884e+06
,-902649,-921124,-1.36886e+06,-1.19446e+06
,-904998,-928250,-1.37621e+06,-1.16864e+06
,-907021,-904766,-1.3202e+06,-1.17866e+06
,-908515,-915167,-1.29712e+06,-1.12432e+06
,-909829,-860926,-1.30969e+06,-1.10598e+06
,-907488,-843460,-1.25975e+06,-1.05885e+06
,-907754,-791494,-1.23908e+06,-1.10851e+06
,-910532,-842723,-1.19196e+06,-1.06476e+06
,-911313,-796647,-1.24242e+06,-1.05548e+06
,-913722,-786229,-1.22912e+06,-1.04836e+06
,-913621,-780018,-1.18608e+06,-1.04493e+06
,-914636,-775408,-1.17678e+06,-1.04241e+06
,-914237,-774371,-1.1699e+06,-1.04268e+06
,-915737,-774415,-1.12901e+06,-1.04241e+06
