1, train_cross_en_loss, 0.6313488, train_accuracy, 0.6488333333333333, 2023-06-07 22:42:50.269264
2, train_cross_en_loss, 0.48133153, train_accuracy, 0.8220666666666666, 2023-06-07 22:42:53.129970
3, train_cross_en_loss, 0.38546836, train_accuracy, 0.8642, 2023-06-07 22:42:55.999302
4, train_cross_en_loss, 0.3258351, train_accuracy, 0.8863333333333333, 2023-06-07 22:42:58.750639
5, train_cross_en_loss, 0.28951824, train_accuracy, 0.8992666666666668, 2023-06-07 22:43:01.531730
6, train_cross_en_loss, 0.25724232, train_accuracy, 0.9088333333333334, 2023-06-07 22:43:04.290198
7, train_cross_en_loss, 0.23552348, train_accuracy, 0.9151666666666668, 2023-06-07 22:43:07.184662
8, train_cross_en_loss, 0.2247165, train_accuracy, 0.9174, 2023-06-07 22:43:10.135628
9, train_cross_en_loss, 0.21469308, train_accuracy, 0.9210999999999999, 2023-06-07 22:43:13.121191
10, train_cross_en_loss, 0.20318396, train_accuracy, 0.9234666666666668, 2023-06-07 22:43:16.073039
11, train_cross_en_loss, 0.19646695, train_accuracy, 0.9242333333333335, 2023-06-07 22:43:18.836027
12, train_cross_en_loss, 0.19526315, train_accuracy, 0.9254999999999999, 2023-06-07 22:43:21.639742
13, train_cross_en_loss, 0.19389296, train_accuracy, 0.9259333333333334, 2023-06-07 22:43:24.428554
14, train_cross_en_loss, 0.19604635, train_accuracy, 0.9254666666666669, 2023-06-07 22:43:27.190373
15, train_cross_en_loss, 0.1947222, train_accuracy, 0.9234000000000001, 2023-06-07 22:43:29.880980
16, train_cross_en_loss, 0.1937694, train_accuracy, 0.9231333333333336, 2023-06-07 22:43:32.668146
17, train_cross_en_loss, 0.19436976, train_accuracy, 0.9244, 2023-06-07 22:43:35.570485
18, train_cross_en_loss, 0.19110332, train_accuracy, 0.9246333333333335, 2023-06-07 22:43:38.548224
19, train_cross_en_loss, 0.19424853, train_accuracy, 0.9232333333333334, 2023-06-07 22:43:41.552759
20, train_cross_en_loss, 0.19261318, train_accuracy, 0.9251333333333333, 2023-06-07 22:43:44.549023
21, train_cross_en_loss, 0.19398673, train_accuracy, 0.9235333333333334, 2023-06-07 22:43:47.555487
22, train_cross_en_loss, 0.18935117, train_accuracy, 0.9252000000000002, 2023-06-07 22:43:50.554965
23, train_cross_en_loss, 0.1867195, train_accuracy, 0.9286666666666665, 2023-06-07 22:43:53.502615
24, train_cross_en_loss, 0.19106339, train_accuracy, 0.9249666666666668, 2023-06-07 22:43:56.488402
25, train_cross_en_loss, 0.19245003, train_accuracy, 0.9260000000000002, 2023-06-07 22:43:59.446037
26, train_cross_en_loss, 0.18690187, train_accuracy, 0.9280333333333335, 2023-06-07 22:44:02.301775
27, train_cross_en_loss, 0.19282213, train_accuracy, 0.9248333333333334, 2023-06-07 22:44:05.280361
28, train_cross_en_loss, 0.19116786, train_accuracy, 0.924, 2023-06-07 22:44:08.199753
29, train_cross_en_loss, 0.18801382, train_accuracy, 0.9262666666666667, 2023-06-07 22:44:11.144247
30, train_cross_en_loss, 0.1883843, train_accuracy, 0.9260666666666666, 2023-06-07 22:44:13.976465
